web-scraper-order,web-scraper-start-url,nnn
1631826570-14165,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Flash Furniture High-Pressure Folding Training Table, 30""H x 18""W x 96""D, Mahoga..."
1631826570-14297,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Flash Furniture High-Pressure Folding Banquet Table, 30""H x 24""W x 48""D, Mahogan..."
1631826570-14236,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Flash Furniture Rectangular Folding Banquet Table, 30-1/4""H x 30""W x 72""D, Natur...5.0 out of 5 stars. 5 reviews5.0 out of 5 stars. 5 reviews"
1631826570-14212,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Flash Furniture Rectangular Folding Banquet Table, 30-1/4""H x 30""W x 72""D, Natur...5.0 out of 5 stars. 5 reviews"
1631826570-14191,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"HON® Between Nesting Table, 72""W, Silver"
1631826570-14253,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"HON Between Nesting Table, 60""H x 30""W x 29""D, Brown/Black0.0 out of 5 stars.0.0 out of 5 stars."
1631826570-14294,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Bush Business Furniture 72""W x 24""D Folding Training Table With Set Of 2 Folding..."
1631826570-14213,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Flash Furniture High-Pressure Folding Training Table, 30""H x 18""W x 96""D, Mahoga...5.0 out of 5 stars. 1 review"
1631826570-14258,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Flash Furniture Half-Round Folding Banquet Table, 30-1/4""H x 60""W x 30""D, Natura...4.8 out of 5 stars. 6 reviews4.8 out of 5 stars. 6 reviews"
1631826570-14300,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Bush Business Furniture 72""W x 24""D Folding Training Table With Wheels, Hansen C..."
1631826570-14195,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Bush Business Furniture 60""W x 24""D Folding Training Table With Wheels, Hansen C..."
1631826570-14295,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Bush Business Furniture 60""W x 24""D Folding Training Table With Wheels, Mocha Ch..."
1631826570-14173,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Flash Furniture Folding Training Table, 30""H x 18""W x 60""D, Mahogany"
1631826570-14287,https://www.officedepot.com/a/browse/wood-and-laminate-folding-tables/N=5+532593/,"Bush Business Furniture 60""W x 24""D Folding Training Table With Wheels, Storm Gr..."
