web-scraper-order,web-scraper-start-url,nnn
1631827638-18344,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Sauder® Canal Street Lift-Top Coffee Table, Rectangular, Coastal Oak/White0.0 out of 5 stars."
1631827638-18563,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Monarch Specialties Leigh Accent Table, 24""H x 18-1/4""W x 12""D, Cappuccino/Gold0.0 out of 5 stars."
1631827638-17076,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Sauder® International Lux Coffee Table, 16-3/4""H x 36""W x 36""D, Taupe Gray Deco ...0.0 out of 5 stars."
1631827638-19305,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Sauder® Nova Loft Coffee Table With Lift Top, 19""H x 33""W x 32""D, Grand Walnut"
1631827638-17029,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Powell Balfour 2-Door Console Table, 41""H x 36-1/4""W x 11""D, Black0.0 out of 5 stars."
1631827638-19392,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Monarch Specialties Davis 3-Piece Table Set, Gray/Black"
1631827638-19398,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Baxton Studio Martens 2-Drawer Console Table, Brown"
1631827638-18464,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Monarch Specialties Tempered Glass Accent Table, Rectangular, Silver0.0 out of 5 stars."
1631827638-19260,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Sauder® Iron City Coffee Table With Casters, 21-1/4""H x 47-1/2""W x 24""D, Checker..."
1631827638-18297,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Monarch Specialties Console Table, Staggered, Cappuccino0.0 out of 5 stars."
1631827638-17576,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,Baxton Studio Modern And Contemporary 2-Tone Lift-Top Coffee Table With Storage ...0.0 out of 5 stars.
1631827638-18550,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Baxton Studio Xaver Coffee Table, Oak/Black0.0 out of 5 stars."
1631827638-17040,https://www.officedepot.com/a/browse/reception-and-lobby-tables/N=5+501919/,"Bush® Furniture Salinas End Table With Storage, Cape Cod Gray, Standard Delivery0.0 out of 5 stars."
