web-scraper-order,web-scraper-start-url,nnn
1631563748-1265,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Tape Logic® Removable Inventory Labels, DL1389FY, Round, 1"", Fluorescent Yellow,...0.0 out of 5 stars."
1631563748-1455,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Removable Round Color Inventory Labels, DL610B, 3/4"" Diameter, Dark Blue, Pack O...0.0 out of 5 stars."
1631563748-1221,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Tape Logic® Preprinted Special Handling Labels, DL1255, QC Approval, Round, 2"", ...0.0 out of 5 stars."
1631563748-840,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Removable Round Color Inventory Labels, DL690K, 1/2"" Diameter, Fluorescent Pink,...0.0 out of 5 stars."
1631563748-1212,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Removable Round Color Inventory Labels, DL690E, 1/2"" Diameter, White, Pack Of 50...0.0 out of 5 stars."
1631563748-852,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Avery® Removable Round Color-Coding Labels, 5052, 1/2"" Diameter, Green Glow, Pac...5.0 out of 5 stars. 3 reviews"
1631563748-610,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Avery® High-Visibility Print-To-The-Edge Permanent Laser Labels, 5294, 2 1/2"" Di...4.5 out of 5 stars. 21 reviews"
1631563748-649,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Avery® Removable Round Color-Coding Labels, 5461, 3/4"" Diameter, Light Blue, Pac..."
1631563748-1110,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"DYMO® Colored 3/4"" Vinyl Label Tape, DYM1805422, Permanent Adhesive, 3/4""W x 18 ...0.0 out of 5 stars."
1631563748-1429,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Removable Round Color Inventory Labels, DL612H, 1 1/2"" Diameter, Fluorescent Ora...0.0 out of 5 stars."
1631563748-1189,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Office Depot® Brand Foil Circle Laser Labels, LL217GD, 2 1/2"", Gold, Case Of 1,2...0.0 out of 5 stars."
1631563748-1298,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Office Depot® Brand Mailing Labels, DL705, Round, 1 1/2"", Clear, Roll Of 1,0000.0 out of 5 stars."
1631563748-1071,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Removable Round Color Inventory Labels, DL612J, 1 1/2"" Diameter, Fluorescent Gre...0.0 out of 5 stars."
1631563748-1050,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Office Depot® Brand Mailing Labels, DL707, Round, 2"", Clear, Roll Of 1,0000.0 out of 5 stars."
1631563748-689,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Avery® Print-to-the-Edge Labels With Pop-up Edge®, 4221, 3/4"", Matte White, Pack..."
1631563748-1459,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Tape Logic® Fluorescent Green - ""1"" Number Labels 2"", DL6769, Roll of 5000.0 out of 5 stars."
1631563748-807,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Avery® Print-To-The-Edge Water Resistant Labels, 22856, Round, 2 1/2"", White, Pa...4.7 out of 5 stars. 87 reviews"
1631563748-850,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Smead® ACCS Alphaz® Permanent Color-Coded Label Refill Pack, L, Lavender, Pack O...0.0 out of 5 stars."
1631563748-1517,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Advantus Color Border Adhesive Name Badges, AVT97048, 2 5/8"" x 3 3/4"" Rectangle,..."
1631563748-628,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Tape Logic® Removable Inventory Labels, DL1388FG, Round, 3/4"", Fluorescent Green..."
1631563748-1370,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Office Depot® Brand Labels, LL194OR, Circle, 2 1/2"", Fluorescent Orange, Case Of...0.0 out of 5 stars."
1631563748-703,https://www.officedepot.com/a/browse/color-coding-and-round-labels/N=5+1159757/,"Avery® Neon Permanent Adhesive Reinforcement Labels, 6754, 1/4"" Diameter, Pack O..."
