web-scraper-order,web-scraper-start-url,nnn
1631564936-1783,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"JAM Paper® Full-Page Mailing And Shipping Labels, 337628610, 8 1/2"" x 11"", Yello..."
1631564936-1702,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"JAM Paper® Full-Page Mailing And Shipping Labels, 337628609, 8 1/2"" x 11"", Neon ..."
1631564936-1725,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"Avery® Removable Full-Sheet Labels, 6470, 8 1/2"" x 11"", White, Pack Of 10"
1631564936-1767,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"JAM Paper® Full Page Mailing And Shipping Labels, 8-1/2"" x 11"", White, Pack Of 1..."
1631564936-1748,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"Avery® DIY Decals With Surface Safe™ Adhesive, 61512, 8-1/2"" x 11"", White, Pack ..."
1631564936-1719,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"Avery® Copier Permanent Address Labels, 5353, 8 1/2"" x 11"", White, Pack Of 100"
1631564936-1675,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"Avery® Easy Peel® Permanent Address Labels, Shipping, 18665, 8 1/2"" x 11"", Matte...4.3 out of 5 stars. 122 reviews"
1631564936-1737,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"Office Depot® Brand Inkjet/Laser Shipping Labels, White, 8 1/2"" x 11"", Full-Shee..."
1631564936-1721,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"Avery® Removable Inkjet/Laser Multipurpose Labels, 5454, 4"" x 6"", White, Pack Of..."
1631564936-1668,https://www.officedepot.com/a/browse/full-sheet-labels/N=5+1159759/,"Avery® Easy Peel® Permanent Address Labels, 8660, 1"" x 2 5/8"", Matte Clear, Box ...4.7 out of 5 stars. 333 reviews"
