web-scraper-order,web-scraper-start-url,nnn
1631559809-1106,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Tyvek® Shipping Tags, 5 3/4"" x 2 7/8"", Red, Case Of 100"
1631559809-671,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Avery Manila ""G"" Shipping Tags - 5.25"" Length x 2.62"" Width - Rectangular - Wire..."
1631559809-1253,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Color Shipping Tags, #7, 5 3/4"" x 2 7/8"", Light Blue, Box Of...0.0 out of 5 stars."
1631559809-1047,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Fluorescent Prestrung Shipping Tags, #1, 2 3/4"" x 1 3/8"", Pi..."
1631559809-1363,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prestrung Manila Shipping Tags, 10 Point, #2, 3 1/4"" x 1 5/8...0.0 out of 5 stars."
1631559809-733,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prewired Color Shipping Tags, #8, 6 1/4"" x 3 1/8"", Dark Blue..."
1631559809-1296,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prestrung Inspection Tags, ""Rejected,"" Red, Box Of 1,0000.0 out of 5 stars."
1631559809-896,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prewired Color Shipping Tags, #1, 2 3/4"" x 1 3/8"", Pink, Box..."
1631559809-970,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Shipping Tags, Pre-Strung, 100% Recycled, 6 1/4"" x 3 1/8"", A..."
1631559809-936,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prewired Color Shipping Tags, #3, 3 3/4"" x 1 7/8"", White, Bo...0.0 out of 5 stars."
1631559809-668,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prewired Manila Shipping Tags, 10 Point, #5, 4 3/4"" x 2 3/8""..."
1631559809-1250,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prestrung Color Shipping Tags, #7, 5 3/4"" x 2 7/8"", Yellow, ...0.0 out of 5 stars."
1631559809-890,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Color Shipping Tags, #2, 3 1/4"" x 1 5/8"", Pink, Box Of 1,000"
1631559809-959,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prewired Color Shipping Tags, #5, 4 3/4"" x 2 3/8"", Yellow, B..."
1631559809-876,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Prestrung Manila Shipping Tags, 15 Point, #12, 8"" x 4"", Box ..."
1631559809-1131,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Tyvek® Prewired Shipping Tags, 5 3/4"" x 2 7/8"", Green, Pack ..."
1631559809-880,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Manila Shipping Tags, 15 Point, #11, 7 1/2"" x 3 3/4"", Box Of..."
1631559809-779,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Tyvek® Shipping Tags, 5 3/4"" x 2 7/8"", Yellow, Case Of 100"
1631559809-1104,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Color Shipping Tags, #3, 3 3/4"" x 1 7/8"", Red, Box Of 1,000"
1631559809-1317,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Tyvek® Shipping Tags, 4 1/4"" x 2 1/8"", Green, Case Of 1000.0 out of 5 stars."
1631559809-977,https://www.officedepot.com/a/browse/inspection-and-shipping-tags/N=5+1012412/,"Office Depot® Brand Tyvek® Prewired Shipping Tags, 5 1/4"" x 2 5/8"", Blue, Pack O..."
