web-scraper-order,web-scraper-start-url,nnn
1631521986-1585,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® MBS-300 Precision Dietary Scale, 10""H x 12""W x 5""D, White"
1631521986-1563,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,DYMO® M10 Digital Postal Scale
1631521986-1557,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,DYMO® M5 Digital Postal Scale
1631521986-1580,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® 3900LP Portable Digital Shipping Scale, 600-lb/272-kg Capacity"
1631521986-1562,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,DYMO® M25 Digital Postal Scale
1631521986-1570,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell PS-USB Portable Digital Shipping Scale, 30-Lb/15-Kg Capacity"
1631521986-1565,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,Taylor Digital Portable Scale - 440 lb
1631521986-1576,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® PS-USB Shipping Scale, 16""H x 14""W x 3 3/16""D, 150-Lb Capacity, Gray"
1631521986-1581,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® Electromechanical Digital Bench Scale, 250-Lb Capacity, Black"
1631521986-1583,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,Brecknell 400 lb. Portable Shipping Scale - 400 lb / 181 kg Maximum Weight Capac...
1631521986-1575,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,OHS ATOM Multi-Function Pocket Scale - 2 kg Maximum Weight Capacity - Black
1631521986-1567,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® PS150 Slimline Portable Digital Shipping Scale, 150-Lb/70Kg Capacity"
1631521986-1572,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,Salter Brecknell 405-15 General Purpose Scale - 30 lb / 15 kg Maximum Weight Cap...
1631521986-1558,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"DYMO 400 lb Digital USB Shipping Scale, with Remote Display, Orange"
1631521986-1559,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"DYMO 100 lb. Digital USB Shipping Scales with Remote Display, Silver"
1631521986-1568,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"DYMO® Digital USB Shipping Scale With Remote Display, 250-Lb Capacity, Silver"
1631521986-1573,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® PS150 Bench Scale With Display, 10""H x 12""W x 11 3/4""D, 150 Lb, Black"
1631521986-1577,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® 3900LP Portable Digital Shipping Scale, 100-lb/45-kg Capacity"
1631521986-1586,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® PS330 Portable Digital Shipping Scale, 330-Lb/150Kg Capacity"
1631521986-1578,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® 3900LP Portable Digital Shipping Scale, 250-lb/113-kg Capacity"
1631521986-1574,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,AWS AWS-600 Digital Pocket Scale - 1.32 lb / 600 g Maximum Weight Capacity - Bla...
1631521986-1584,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® PS-USB Portable Digital Shipping Scale, 70-Lb/30-Kg Capacity"
1631521986-1566,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® PS165 Portable Digital Shipping Scale, 165-Lb/75-Kg Capacity"
1631521986-1582,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® Electromechanical Digital Scale, 100-Lb Capacity, Black"
1631521986-1579,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,AWS AWS-1KG Digital Pocket Scale - 2.20 lb / 1 kg Maximum Weight Capacity - Silv...
1631521986-1564,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® Electronic Office Scale, 11-Lb Capacity"
1631521986-1560,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,null
1631521986-1569,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,"Brecknell® Electronic Postal Scale, 25-Lb Capacity, Gray"
1631521986-1561,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,AWS PS-25 Digital Postal/Shipping Scale - 55 lb / 25 kg Maximum Weight Capacity ...
1631521986-1571,https://www.officedepot.com/a/browse/postal-scales/N=5+1012428/,AWS SE-50 Low-Profile Shipping Scale - 110 lb / 50 kg Maximum Weight Capacity
