web-scraper-order,web-scraper-start-url,nnn
1631520288-811,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Blown Hand Stretch Film, 70 Gauge, 18"" x 1500', Clear , Pack..."
1631520288-924,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand PVC Centerfold Shrink Film, 6"" x 75 Gauge x 2000'0.0 out of 5 stars."
1631520288-875,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Blown Hand Stretch Film, 120 Gauge, 12"" x 1000', Clear , Pac..."
1631520288-896,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Cast Color Hand Stretch Film, 80 Gauge, 18"" x 1500', Green, ..."
1631520288-848,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Polyolefin Centerfold Shrink Film, 6"" x 60 Gauge x 4375'"
1631520288-834,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Blown Hand Stretch Film, 120 Gauge, 15"" x 1000', Clear , Pac..."
1631520288-788,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Extended Core Blown Stretch Film, 80 Gauge, 20"" x 1,000', Cl..."
1631520288-966,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Cast Color Hand Stretch Film, 80 Gauge, 18"" x 1500', Red, Pa..."
1631520288-988,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Sparco Heavyweight Stretch Wrap Film with Handles - 20"" Width x 1000 ft Length -..."
1631520288-815,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Narrow-Width Bundling Stretch Film With One Handle, 80 Gauge..."
1631520288-741,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Hand Saver Stretch Film Dispenser, Yellow"
1631520288-822,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Blown Hand Stretch Film, 75 Gauge, 18"" x 1500', Clear, Pack ..."
1631520288-897,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Shrink Film System, 18"""
1631520288-768,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Polyolefin Centerfold Shrink Film, 18"" x 75 Gauge x 3500'"
1631520288-926,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Shrink Film Service Kit, 13""0.0 out of 5 stars."
1631520288-918,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Goodwrappers® Premium Stretch Film, 120 Gauge, 20"" x 800', Purple, Pack Of 4"
1631520288-953,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Adjustable Tension Dispenser, Black"
1631520288-743,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Stretch Wrap Film, 20"" x 1000' Roll, Clear4.8 out of 5 stars. 173 reviews"
1631520288-847,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Shrink Film System, 24"""
1631520288-1009,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"GoodWrappers® Bundling Stretch Film, 120 Gauge, 3"" x 650', Clear, Pack Of 18"
1631520288-841,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Extended Core Stretch Film, Opaque, 120 Gauge, 20"" x 800', B..."
1631520288-726,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"GoodWrappers® Stretch Film, Premium Puncture-Resistant Blown Film, 80 Gauge, 10""..."
1631520288-865,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand PVC Centerfold Shrink Film, 8"" x 75 Gauge x 2000'"
1631520288-894,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"GoodWrappers® Bundling Stretch Film, 80 Gauge, 5"" x 1500', , Clear, Pack Of 8"
1631520288-880,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"PVC Shrink Bags, 7"" x 10"", 100 Gauge, Pack Of 500"
1631520288-860,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Polyolefin Centerfold Shrink Film, 16"" x 75 Gauge x 3500'"
1631520288-833,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Goodwrappers® Premium Stretch Film, 80 Gauge, 5"" x 1,000', Purple, Pack Of 4"
1631520288-957,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand PVC Centerfold Shrink Film, 20"" x 60 Gauge x 3000'"
1631520288-968,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Shrink Film System, 13"""
1631520288-939,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Stretch Wrap Film, Cast, 20"" x 1000' Rolls, Clear, Pack Of 4"
1631520288-904,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Cast Machine Stretch Film, 90 Gauge, 20"" x 5000' Roll"
1631520288-914,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Cast Hand Stretch Film With Extended Cores, 90 Gauge, 15"" x ..."
1631520288-724,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Cast Clear Hand Stretch Film, 80 Gauge, 18"" x 1500', Pack Of..."
1631520288-798,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand PVC Centerfold Shrink Film, 16"" x 75 Gauge x 2000'"
1631520288-936,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Stretch Wrap Film, 20"" x 1000' Roll, Clear"
1631520288-760,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Hand Saver Stretch Film Dispenser, With Tensioner, Blue0.0 out of 5 stars."
1631520288-882,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Opaque Hand Stretch Film, 80 Gauge, 15"" x 1500', Pack Of 4"
1631520288-843,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"PVC Shrink Bags, 18"" x 24"", 100 Gauge, Pack Of 250"
1631520288-727,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Opaque Hand Stretch Film, 80 Gauge, 18"" x 1500', Pack Of 4"
1631520288-961,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Narrow-Width Bundling Stretch Film With One Handle, 100 Gaug..."
1631520288-764,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Cast Clear Hand Stretch Film, 120 Gauge, 18"" x 1000', Pack O...0.0 out of 5 stars."
1631520288-758,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"PVC Shrink Bags, 6"" x 6"", 100 Gauge, Pack Of 5005.0 out of 5 stars. 1 review"
1631520288-863,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Stretch Wrap Film, 15"" x 1500' Roll, Clear"
1631520288-819,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Color Bundling Stretch Film, 80 Gauge, 3"" x 1000', Red, Case..."
1631520288-970,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Polyolefin Centerfold Shrink Film, 10"" x 75 Gauge x 3500'"
1631520288-905,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Polyolefin Centerfold Shrink Film, 22"" x 60 Gauge x 4375'"
1631520288-754,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Extended Core Bundling Stretch Film, 100 Gauge, 5"" x 650', C...0.0 out of 5 stars."
1631520288-820,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand PVC Centerfold Shrink Film, 12"" x 100 Gauge x 1500'"
1631520288-729,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,Office Depot® Brand H.D. Handle Grip Stretch Film Dispenser
1631520288-987,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Extended Core Bundling Stretch Film, 120 Gauge, 3"" x 600', C..."
1631520288-855,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Polyolefin Centerfold Shrink Film, 8"" x 75 Gauge x 3500'"
1631520288-977,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Blown Hand Stretch Film, 90 Gauge, 15"" x 1500', Clear , Pack..."
1631520288-984,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Bundling Stretch Film, 7 1/2"" x 1,000', Clear, Case Of 4"
1631520288-887,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Cast Hand Stretch Film With Extended Cores, 90 Gauge, 30"" x ..."
1631520288-723,https://www.officedepot.com/a/browse/shrink-wrap/N=5+1012416/,"Office Depot® Brand Stretch Wrap Film, 18"" x 1500' Roll, Clear"
