web-scraper-order,web-scraper-start-url,nnn
1632737007-914,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Top Notch Teacher Products® Polka Dot Border Lined Index Cards, 3"" x 5"", Assorte..."
1632737007-921,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Major Metalfab 16"" Card File Box, Double Drawer, 3"" x 5"", 58% Recycled, Black"
1632737007-869,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Hygloss Bright Color Blank Note Cards - 100 Sheets - Plain - 3"" x 5"" - Assorted ..."
1632737007-828,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Ruled Index Cards, 3"" x 5"", White, Pack Of 500"
1632737007-822,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Index Cards, 3"" x 5"", Ruled, White, 100"
1632737007-851,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Viewfront Spiral Index Cards With Polypropylene Cover, 3"" x ..."
1632737007-844,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Major Metalfab Steel 2-Drawer Index Card Storage File Box, 4"" x 6"", Black"
1632737007-838,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Blank Index Cards, 3"" x 5"", White, Pack Of 100"
1632737007-845,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Spiral Ruled Index Cards, 4"" x 6"", Assorted Colors, Pack Of ..."
1632737007-829,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Blank Index Cards, 4"" x 6"", White, Pack Of 300"
1632737007-888,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® Shaded Bar Index Cards, 4"" x 6"", Assorted Colors, Pack Of 50 Cards"
1632737007-860,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"OfficeMax Heavyweight Index Cards, 3"" x 5"", Pack Of 100"
1632737007-916,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Top Notch Teacher Products® Bright Primary Lined Index Cards, 4"" x 6"", Assorted ..."
1632737007-909,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Top Notch Teacher Products® Bright Blank Primary Index Cards, 3"" x 5"", Assorted ..."
1632737007-878,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® At Hand Note Card Zip Pocket, Hyper Orange"
1632737007-824,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Blank Index Cards, 3"" x 5"", White, Pack Of 300"
1632737007-926,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Top Notch Teacher Products® Manila Pockets, 5 1/2"" x 3 1/2"", Manila, Case Of 500"
1632737007-861,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® Color Index Cards, Unruled, 3"" x 5"", Canary, Pack Of 100"
1632737007-862,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® Color Index Cards, Unruled, 4"" x 6"", Green, Pack Of 100"
1632737007-902,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Index Cards And Tray Set, 3"" x 5"", White, Pack Of 180 Cards"
1632737007-913,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"SteelMaster® 2-Drawer Index Card Storage Cabinet, 18 2/5"" x 16"" x 7 1/4"", Black"
1632737007-837,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Spiral Index Cards, 5"" x 8"", Ruled, White, Pack Of 50"
1632737007-848,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® Color Index Cards, Unruled, 3"" x 5"", Cherry, Pack Of 100"
1632737007-870,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® Color Index Cards, Unruled, 4"" x 6"", Canary, Pack Of 100"
1632737007-842,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® Index Card Storage Box, 4"" x 6"", Indigo/Black"
1632737007-835,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Office Depot® Brand Rainbow Index Cards, Ruled, 5"" x 8"", Assorted Colors, Pack O..."
1632737007-885,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® At Hand Note Card Zip Pocket, Shoreline Blue"
1632737007-889,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Oxford® at Hand Note Card Organizer, Charcoal"
1632737007-919,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"Bankers Box® Steel Plus™ Plastic Storage Drawer, 6 1/2"" x 10 1/2"" x 25 5/16"", Wh..."
1632737007-881,https://www.officedepot.com/a/browse/index-cards/N=5+1123261/,"C-Line® Index Card Cases, 100-Card Capacity, 3"" x 5"", Assorted Colors, Pack Of 2..."
