web-scraper-order,web-scraper-start-url,name
"1632425499-20933","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Roylco® Art Starter Kit"
"1632425499-20699","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Pacon® Rainbow Duo-Finish Kraft Paper Roll, 36"" x 1000', Orange"
"1632425499-20697","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Art Street® Sketch Book, 9"" x 9"", 40 Sheets, White"
"1632425499-20875","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","SmartLab QPG Lab For Kids, Squishy Human Body, Grade 3 - 8"
"1632425499-20714","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","SunWorks® Construction Paper, 9"" x 12"", Yellow, Pack Of 50"
"1632425499-20904","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Be Amazing Toys Insta-Snow® Powder, 454 Grams, Grades Pre-K - 4"
"1632425499-20692","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Pacon® Art1st® Sketch Diary, 11"" x 8 1/2"", 70 Sheets"
"1632425499-20781","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Tru-Ray® Construction Paper, 50% Recycled, 12"" x 18"", Festive Red, Pack Of 50"
"1632425499-20861","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Hygloss Create-A-Story Book Treasure Box"
"1632425499-20815","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Pacon® Tag Board, 24"" x 36"", 150 Lb, White, Pack Of 100"
"1632425499-20751","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/?cm_sp=school_supplies-_-art_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_3_0&promo_name=school_supplies&promo_id=school_supplies-art-learn-from-anywhere&promo_creative=art_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_3_0","Tru-Ray® Construction Paper, 12"" x 18"", 50% Recycled, Atomic Blue, Pack Of 50"
