web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
"1632423055-18142","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","K-Cups","https://www.officedepot.com/a/browse/coffee/N=5+1154874&cbxRefine=1507014/","New England Coffee K-Cups, Medium Roast, Hazelnut Creme, Box Of 24 K-Cups"
"1632424809-19218","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/beverages/N=5+1154865/?cm_sp=breakroom-_-beverages_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_2_0&promo_name=breakroom&promo_id=breakroom-beverages-learn-from-anywhere&promo_creative=beverages_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_2_0","Energy & Nutrition Drinks   (122)","https://www.officedepot.com/a/browse/energy-and-nutrition-drinks/N=5+1154866/","Powerade® Liquid Hydration Energy Drink, Mountain Blast (Berry), 20 Oz"
"1632423552-18548","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Executive Suite® Coffee Single-Serve Coffee Packets, French Vanilla, Carton Of 2..."
"1632423552-18317","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Maxwell House® Single-Serve Coffee Packets, Decaffeinated, Carton Of 42"
"1632424590-18934","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/beverages/N=5+1154865/?cm_sp=breakroom-_-beverages_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_2_0&promo_name=breakroom&promo_id=breakroom-beverages-learn-from-anywhere&promo_creative=beverages_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_2_0","Tea   (249)","https://www.officedepot.com/a/browse/tea/N=5+1154870/","Bigelow® English Breakfast Tea Single-Serve Pods, 1.9 Oz, Box Of 18"
"1632423552-18242","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Maxwell House® Ground Coffee, Medium Roast, Medium Roast, 1.91 Lb Per Bag"
"1632423552-18416","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Office Snax® Ground Coffee, Original Chock Full O'Nuts, 1.62 Lb Per Bag"
"1632424655-19153","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/beverages/N=5+1154865/?cm_sp=breakroom-_-beverages_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_2_0&promo_name=breakroom&promo_id=breakroom-beverages-learn-from-anywhere&promo_creative=beverages_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_2_0","Juice   (67)","https://www.officedepot.com/a/browse/juice/N=5+1154868/","Welch's Apple Juice, 5.5 Oz, Case Of 48"
"1632423552-18172","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Dunkin' Donuts® Single-Serve Coffee K-Cup®, Decaffeinated, Carton Of 22"
"1632424809-19243","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/beverages/N=5+1154865/?cm_sp=breakroom-_-beverages_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_2_0&promo_name=breakroom&promo_id=breakroom-beverages-learn-from-anywhere&promo_creative=beverages_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_2_0","Energy & Nutrition Drinks   (122)","https://www.officedepot.com/a/browse/energy-and-nutrition-drinks/N=5+1154866/","Carnation Breakfast Essentials Ready-To-Drink Rich Milk Chocolate Complete Nutri..."
