web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632414560-13947,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"Blue Sky™ Weekly/Monthly Planning Calendar, 8"" x 5"", Cali Pink, July 2021 To Jun...5.0 out of 5 stars. 1 review"
1632414560-14005,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"Blue Sky™ Trina Turk Weekly/Monthly Planner, 5"" x 8"", Soft Daisies Yellow, July ...5.0 out of 5 stars. 1 review"
1632414560-14088,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"Blue Sky™ Weekly/Monthly Planning Calendar, 8-1/2"" x 11"", Shadow Dots Frosted, J...5.0 out of 5 stars. 2 reviews"
1632414453-13583,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Printer Paper   (32),https://www.officedepot.com/a/browse/printer-paper/N=5+1155078/,"Office Depot® Brand Copy And Print Paper, Legal Size (8 1/2"" x 14""), 20 Lb, Ream...4.7 out of 5 stars. 19 reviews"
1632414400-13412,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Notebook & Paper Deals,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070&cbxRefine=549384/,"Just Basics® Spiral Notebook, 7 1/2"" x 10 1/2"", College Ruled, 140 Pages (70 She...4.8 out of 5 stars. 539 reviews"
1632414400-13446,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Notebook & Paper Deals,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070&cbxRefine=549384/,"Five Star® Notebook, 1 Subject, College Ruled, 8-1/2"" x 11"", 100 Sheets, Blue4.9 out of 5 stars. 29 reviews"
1632414560-13918,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"Office Depot® Brand Weekly/Monthly Academic Planner, Vertical Format, 6-5/8"" x 8...4.4 out of 5 stars. 9 reviews"
1632414560-14040,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"Blue Sky™ Aligned Weekly/Monthly Planner, 8-1/2"" x 11"", Black, July 2021 To June...3.5 out of 5 stars. 2 reviews"
1632414400-13452,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Notebook & Paper Deals,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070&cbxRefine=549384/,"Office Depot® Brand Stellar Poly Notebook, 8-1/2"" x 11"", 5 Subject, College Rule...4.9 out of 5 stars. 32 reviews"
1632414442-13565,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Index Cards   (31),https://www.officedepot.com/a/browse/index-cards/N=5+1155074/,"Oxford® Color Index Cards, Ruled, 3"" x 5"", Green, Pack Of 1004.0 out of 5 stars. 2 reviews"
1632414560-14036,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"Office Depot® Brand Weekly/Monthly Academic Planner, 8-1/2"" x 11"", 30% Recycled,...5.0 out of 5 stars. 1 review"
1632414560-14155,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"TF Publishing Large Weekly/Monthly Planner, 9"" x 11"", Plaid, July 2021 To June 2..."
1632414442-13548,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Index Cards   (31),https://www.officedepot.com/a/browse/index-cards/N=5+1155074/,"Office Depot® Brand Rainbow Index Cards, Ruled, 5"" x 8"", Assorted Colors, Pack O...4.8 out of 5 stars. 74 reviews"
1632414560-14150,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"Blueline® Cali 13-Month Weekly/Monthly Academic Planner, 8"" x 5"", Green, 100% Re...0.0 out of 5 stars."
1632414411-13518,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Legal Pads   (30),https://www.officedepot.com/a/browse/legal-pads/N=5+1155075/,"TOPS™ Second Nature® 100% Recycled Writing Pads, 8 1/2"" x 14"", Legal Ruled, 50 S..."
1632414442-13552,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Index Cards   (31),https://www.officedepot.com/a/browse/index-cards/N=5+1155074/,"Office Depot® Brand Fashion Index Cards, 3"" x 5"", Ruled, Assorted, Pack Of 1004.9 out of 5 stars. 58 reviews"
1632414464-13601,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Graph Paper   (13),https://www.officedepot.com/a/browse/graph-paper/N=5+1155072/,"National® Brand Laboratory Research Notebooks, 9 1/4"" x 11"", Quadrille Ruled, 10...4.5 out of 5 stars. 2 reviews"
1632414560-14166,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"Blue Sky™ Weekly/Monthly Planner, 7"" x 9"", Croix, July 2021 To June 2022, 127046"
1632414479-13666,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Composition Books   (61),https://www.officedepot.com/a/browse/composition-books/N=5+1155071/,"TOPS® Classified™ Colors Business Notebook, 5 1/2"" x 8 1/2"", 1 Subject, Narrow R...3.0 out of 5 stars. 5 reviews"
1632414560-14141,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Academic Planners,https://www.officedepot.com/a/browse/planners/N=5+1131212&cbxRefine=1130026/,"TF Publishing Medium Monthly Planner, 6-1/2"" x 8"", Bold, July 2021 To June 20220.0 out of 5 stars."
1632414514-13738,https://www.officedepot.com/a/browse/notebooks-and-paper/N=5+1155070/,Notebooks   (175),https://www.officedepot.com/a/browse/notebooks/N=5+1155077/,"Office Depot® Brand Composition Notebook, 9-3/4"" x 7-1/2"", Wide Ruled, 200 Pages...4.9 out of 5 stars. 241 reviews"
