web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632419587-15413,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pens,https://www.officedepot.com/a/browse/pens/N=5+1155088/,"Paper Mate® FlexGrip® Elite™ Retractable Ballpoint Pens, Fine Point, 0.8 mm, Bla..."
1632418949-14440,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Erasers,https://www.officedepot.com/a/browse/erasers/N=5+1155085/,"Office Depot® Brand Beveled Erasers, Pink, Pack Of 3 Erasers4.8 out of 5 stars. 571 reviews"
1632419096-14483,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Highlighters & Markers,https://www.officedepot.com/a/browse/highlighters-and-markers/N=5+1155086/,"Sharpie® Accent® Tank-Style Highlighters, Assorted Colors, Pack Of 124.8 out of 5 stars. 271 reviews"
1632419587-15294,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pens,https://www.officedepot.com/a/browse/pens/N=5+1155088/,"uni-ball® Jetstream™ 101 Rollerball Pens, Medium Point, 1.0mm, Assorted Barrels,..."
1632419096-14519,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Highlighters & Markers,https://www.officedepot.com/a/browse/highlighters-and-markers/N=5+1155086/,"Sharpie® King-Size™ Permanent Markers, Black, Pack Of 44.8 out of 5 stars. 176 reviews"
1632419587-15406,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pens,https://www.officedepot.com/a/browse/pens/N=5+1155088/,"Paper Mate Gel Pen, Profile Retractable Pen, 0.7mm, Blue, 4 Count"
1632419241-14771,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pencils,https://www.officedepot.com/a/browse/pencils/N=5+1155087/,"Ticonderoga® Pencils, Presharpened, #2 Lead, Soft, Pack of 12"
1632419096-14649,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Highlighters & Markers,https://www.officedepot.com/a/browse/highlighters-and-markers/N=5+1155086/,"Office Depot® Brand Low-Odor Dry-Erase Markers, 100% Recycled, Fine Point, Black..."
1632419096-14479,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Highlighters & Markers,https://www.officedepot.com/a/browse/highlighters-and-markers/N=5+1155086/,"Sharpie® Fine Point Permanent Markers, Gray Barrel, Black Ink, Pack Of 54.9 out of 5 stars. 1777 reviews"
1632419241-14810,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pencils,https://www.officedepot.com/a/browse/pencils/N=5+1155087/,"Pure Style Wood Pencil With Eraser Topper, #2 Lead, Green Dinosaur"
1632419241-14743,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pencils,https://www.officedepot.com/a/browse/pencils/N=5+1155087/,"Office Depot® Brand Dual-Powered Pencil Sharpener, Assorted Colors"
1632419587-15335,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pens,https://www.officedepot.com/a/browse/pens/N=5+1155088/,"Paper Mate® Ballpoint Stick Pens, Medium Point, 1.0 mm, Red Barrel, Red Ink, Pac..."
1632419587-15065,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pens,https://www.officedepot.com/a/browse/pens/N=5+1155088/,"Paper Mate® Flair Porous-Point Pens, Medium Point, 0.7 mm, Assorted Ink Colors, ...4.8 out of 5 stars. 823 reviews"
1632419587-15409,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pens,https://www.officedepot.com/a/browse/pens/N=5+1155088/,"Office Depot® Brand Fun with Writing Ballpoint Pen, Medium Point, 1.0 mm, Mermai..."
1632419587-15227,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pens,https://www.officedepot.com/a/browse/pens/N=5+1155088/,"BIC® Cristal® Bold Ballpoint Pens, Extra Bold Point, 1.6 mm, Translucent Smoked ..."
1632419587-15349,https://www.officedepot.com/a/browse/writing/N=5+1155083/,Pens,https://www.officedepot.com/a/browse/pens/N=5+1155088/,"Pilot® EasyTouch Retractable Ballpoint Pens, Medium Point, 1.0 mm, Clear Barrel,..."
