web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632508189-1375,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Envelopes,https://www.officedepot.com/a/browse/custom-envelopes/N=5+1212277/?cm_sp=copy_print_depot-_-customstationerycustomenvelopes_cpd_-_-category_custom-stationery--1212276_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomenvelopes-cpd&promo_creative=customstationerycustomenvelopes_cpd&promo_position=category_custom-stationery--1212276_main_1_1_0,"Anglers Self-stick Crystal Clear Poly Envelopes - File - 5"" Width x 8"" Length - ..."
1632508189-1371,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Envelopes,https://www.officedepot.com/a/browse/custom-envelopes/N=5+1212277/?cm_sp=copy_print_depot-_-customstationerycustomenvelopes_cpd_-_-category_custom-stationery--1212276_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomenvelopes-cpd&promo_creative=customstationerycustomenvelopes_cpd&promo_position=category_custom-stationery--1212276_main_1_1_0,"Custom Tinted Double Window Envelopes, Regular Gummed, 3 3/4"" x 8 7/8"", Box Of 2..."
1632508120-974,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Note Cards,https://www.officedepot.com/a/browse/custom-note-cards/N=5+1212279/?cm_sp=copy_print_depot-_-customstationerycustomnote_cpd_-_-category_custom-stationery--1212276_main_1_4_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomnote-cpd&promo_creative=customstationerycustomnote_cpd&promo_position=category_custom-stationery--1212276_main_1_4_0,"Custom Premium Stationery Folded Note Cards, 5-1/2"" x 4-1/4"", Edged In Ecru-Ivor...0.0 out of 5 stars."
1632508106-929,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Sticky Notes,https://www.officedepot.com/a/browse/custom-sticky-notes/N=5+1212281/?cm_sp=copy_print_depot-_-customstationerycustomsticky_cpd_-_-category_custom-stationery--1212276_main_1_5_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomsticky-cpd&promo_creative=customstationerycustomsticky_cpd&promo_position=category_custom-stationery--1212276_main_1_5_0,Post-It® Note 4-X 3- 50 Sheet0.0 out of 5 stars.
1632508120-936,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Note Cards,https://www.officedepot.com/a/browse/custom-note-cards/N=5+1212279/?cm_sp=copy_print_depot-_-customstationerycustomnote_cpd_-_-category_custom-stationery--1212276_main_1_4_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomnote-cpd&promo_creative=customstationerycustomnote_cpd&promo_position=category_custom-stationery--1212276_main_1_4_0,"Custom Full-Color Folded Note Card Invitation, Printed 2 Sides, 5-1/2"" x 4-1/4"",...4.0 out of 5 stars. 1 review"
1632508189-1415,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Envelopes,https://www.officedepot.com/a/browse/custom-envelopes/N=5+1212277/?cm_sp=copy_print_depot-_-customstationerycustomenvelopes_cpd_-_-category_custom-stationery--1212276_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomenvelopes-cpd&promo_creative=customstationerycustomenvelopes_cpd&promo_position=category_custom-stationery--1212276_main_1_1_0,"Quality Park Booklet Envelopes, 9"" x 12"", White, Box Of 100"
1632508189-1226,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Envelopes,https://www.officedepot.com/a/browse/custom-envelopes/N=5+1212277/?cm_sp=copy_print_depot-_-customstationerycustomenvelopes_cpd_-_-category_custom-stationery--1212276_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomenvelopes-cpd&promo_creative=customstationerycustomenvelopes_cpd&promo_position=category_custom-stationery--1212276_main_1_1_0,"Mead Press-it Seal-it No. 10 Security Envelopes - Security - #10 - 4 1/8"" Width ...4.7 out of 5 stars. 91 reviews"
1632508189-1387,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Envelopes,https://www.officedepot.com/a/browse/custom-envelopes/N=5+1212277/?cm_sp=copy_print_depot-_-customstationerycustomenvelopes_cpd_-_-category_custom-stationery--1212276_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomenvelopes-cpd&promo_creative=customstationerycustomenvelopes_cpd&promo_position=category_custom-stationery--1212276_main_1_1_0,"3M™ Full View Packing List/Invoice Enclosed Envelopes, Orange, Case Of 1,000 Env..."
1632508189-1222,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Envelopes,https://www.officedepot.com/a/browse/custom-envelopes/N=5+1212277/?cm_sp=copy_print_depot-_-customstationerycustomenvelopes_cpd_-_-category_custom-stationery--1212276_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomenvelopes-cpd&promo_creative=customstationerycustomenvelopes_cpd&promo_position=category_custom-stationery--1212276_main_1_1_0,"Custom #10, 1-Color Peel & Seal Security Business Envelopes, 4-1/8"" x 9-1/2""...0.0 out of 5 stars."
1632508189-1396,https://www.officedepot.com/a/browse/custom-stationery/N=5+1212276/,Custom Envelopes,https://www.officedepot.com/a/browse/custom-envelopes/N=5+1212277/?cm_sp=copy_print_depot-_-customstationerycustomenvelopes_cpd_-_-category_custom-stationery--1212276_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstationerycustomenvelopes-cpd&promo_creative=customstationerycustomenvelopes_cpd&promo_position=category_custom-stationery--1212276_main_1_1_0,"Custom #10, Full-Color Flat Print Envelopes, 4-1/8"" x 9-1/2"", White Recycled, Bo..."
