web-scraper-order,web-scraper-start-url,name
1632496377-447,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,"Custom Booklet, Square Edge3.7 out of 5 stars. 6 reviews"
1632496377-440,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,Copies3.5 out of 5 stars. 538 reviews
1632496377-442,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,"Custom Menus, Choose Design Or Upload Your Own1.7 out of 5 stars. 6 reviews"
1632496377-443,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,"Custom Booklet, Saddle-Stapled Binding2.7 out of 5 stars. 39 reviews"
1632496377-444,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,Multi Page Newsletters4.0 out of 5 stars. 4 reviews
1632496377-445,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,Manuals3.2 out of 5 stars. 42 reviews
1632496377-449,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,Single Page Newsletter0.0 out of 5 stars.
1632496377-448,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,Resumes2.7 out of 5 stars. 7 reviews
1632496377-441,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,Custom Flyers2.4 out of 5 stars. 33 reviews
1632496377-446,https://www.officedepot.com/a/browse/document-printing/N=5+1212282&Nu=p_STYLE_ID&viewAllSkus=true/,"Custom Blueprint, 24 Lb4.1 out of 5 stars. 25 reviews"
