web-scraper-order,web-scraper-start-url,nnn
1631906086-3612,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Motrin IB, Ibuprofen 200mg Tablets for Pain & Fever, 2 Tablets per Packet, 5..."
1631906086-3622,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Lil' Drugstore Advil Single-Dose Medicine Packs, 1 Per Packet, Box Of 30 Packets"
1631906086-3630,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"PhysiciansCare Aspirin Pain Reliever Medication, 2 Tablets Per Packet, Box Of 50..."
1631906086-3583,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Tylenol 8-Hour Arthritis Pain Extended-Release Tablets, 650 mg, Pack Of 290"
1631906086-3557,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Berkley & Jensen Acetaminophen Tablets, 500 mg, Pack Of 500"
1631906086-3620,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Aleve® All Day Strong Naproxen Sodium, 220mg, Bottle Of 320 Tablets"
1631906086-3585,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Halls Cough Suppressant Cherry Triple-Soothing Cough Drops, Pack Of 200 Cough Dr..."
1631906086-3566,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"PhysiciansCare Ibuprofen Single Dose Packets, 2 Tablets Per Box, Box of 125 Pack..."
1631906086-3577,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Lil' Drugstore® Single-dose Tylenol Extra Strength Capsules, Refill Box Of 30"
1631906086-3637,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Alka-Seltzer® Refills, 2 Per Packet, Box Of 36 Packets"
1631906086-3615,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"PhysiciansCare Antacid Heartburn Medication, 2 Tablets Per Packet, Box Of 50 Pac..."
1631906086-3538,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Advil Liqui-Gels Pain Reliever Refill, 2 Tablets Per Packet, Box Of 50 Packets"
1631906086-3578,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Lil' Drugstore Alka-Seltzer, 2 Per Packet, Box Of 15 Packets"
1631906086-3604,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Cadbury Halls Honey-Lemon Cough Drops, Honey Lemon, Box Of 120.0 out of 5 stars."
1631906086-3589,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Honees Cough Drops, Menthol, 20 Per Pouch, Case Of 6 Pouches"
1631906086-3641,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"First Aid Only™ SmartCompliance™ Ibuprofen Refill, 2 Tablets Per Packet, Box Of ..."
1631906086-3611,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Aleve® Pain Reliever Tablets, 1 Tablet Per Packet, Box Of 50 Packets"
1631906086-3617,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Tylenol Extra Strength Caplets with 500 mg Acetaminophen, Box of 100 Caplets"
1631906086-3634,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Bayer® Aspirin, 2 Tablets Per Packet, Box Of 50 Packets"
1631906086-3659,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Midol Complete Pain Reliever Caplets - For Menstrual Cramp, Backache, Muscular P..."
1631906086-3653,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Lil' Drug Store LIL' Drug Store Refill Severe Cold Medicine - For Headache, Sore..."
1631906086-3647,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Honees Cough Drops, Honey Lemon, 20 Per Pouch, Case Of 6 Pouches"
1631906086-3658,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Cadbury Halls Cherry Cough Drops, Cherry, Box Of 12"
1631906086-3541,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"PhysiciansCare Ibuprofen Pain Reliever Medication, 2 Tablets Per Packet, Box of ..."
1631906086-3638,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Berkley & Jensen Low-Dose Safety-Coated Aspirin, 81 mg, Pack Of 500"
1631906086-3546,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Motrin Ibuprofen Caplets - For Fever, Common Cold, Headache, Backache, Muscular ..."
1631906086-3590,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"First Aid Only™ SmartCompliance™ Asprin Refill, 2 Tablets Per Packet, Box Of 10 ..."
1631906086-3645,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"PhysiciansCare Non Aspirin Pain Reliever Medication, 2 Tablets Per Packet, Box O..."
1631906086-3552,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"PhysiciansCare Cold And Cough Congestion Medication, 2 Tablets Per Packet, Box O..."
1631906086-3655,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Tylenol Extra-Strength Blister Packs, Pack Of 10"
1631906086-3579,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Lil' Drug Store Ibuprofen Tablets - For Fever, Pain, Headache, Arthritis, Muscul..."
1631906086-3643,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"DayQuil VapoCOOL Cold & Flu Relief Medicine, Pack Of 2 Caplets"
1631906086-3652,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"NyQuil VapoCOOL Cold & Flu Relief Medicine, Pack Of 2 Caplets"
1631906086-3649,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Pure & Gentle Saline Laxative, 4.5 Oz, Case Of 24 Bottles"
1631906086-3544,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Berkley & Jensen Ibuprofen Tablets, 200 mg, Pack Of 750"
1631906086-3642,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Berkley & Jensen Extra-Strength Pain Reliever PM, Pack Of 500"
1631906086-3537,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"TYLENOL® Extra Strength Caplets, Fever Reducer and Pain Reliever, 500 mg, 2 Capl..."
1631906086-3600,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Lil' Drug Store DayQuil Cold and Flu Caplets - For Common Cold, Nasal Congestion...5.0 out of 5 stars. 2 reviews"
1631906086-3608,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Advil Ibuprofen Packets, 2 Tablets Per Packet, Box Of 50 Packets"
1631906086-3644,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Tylenol Cold & Flu Severe Day & Night Caplets, Pack Of 72"
1631906086-3573,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Excedrin Migraine Pain Reliever Caplets, Pack Of 300"
1631906086-3575,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"PhysiciansCare Non Aspirin Acetaminophen Pain Reliever Medication, 2 Tablets Per..."
1631906086-3596,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Mucinex DM Cough Tablets - For Cough, Nasal Congestion, Chest Congestion, Runny ...4.6 out of 5 stars. 25 reviews"
1631906086-3592,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Berkley & Jensen Extra-Strength Pain Reliever PM, Pack Of 5005.0 out of 5 stars. 2 reviews"
1631906086-3598,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Honees Cough Drops, Ambrosoli Menthol Eucalyptus, Box Of 245.0 out of 5 stars. 1 review"
1631906086-3654,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Cadbury Halls Honey-Lemon Cough Drops, Honey Lemon, Box Of 12"
1631906086-3602,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"NyQuil VapoCOOL Cold & Flu Relief Medicine, Pack Of 2 Caplets5.0 out of 5 stars. 2 reviews"
1631906086-3595,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"PhysiciansCare Non Aspirin Pain Reliever Medication, 2 Tablets Per Packet, Box O...4.9 out of 5 stars. 9 reviews"
1631906086-3547,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,"Medline Ibuprofen Tablets, 200mg, Pack Of 100"
1631906086-3586,https://www.officedepot.com/a/browse/pain-relievers/N=5+654544/,Neosporin Neo To Go Spray
