web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
1632411546-9590,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Kurtz Bros. PrintWrite® Drawing & Story Books, 8 1/2"" x 11"", 32 Pages (16 Sh..."
1632411546-9443,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Borden & Riley #116 Artist Drawing/Sketch Vellum Pads, 11"" x 14"", 40 Sheets ..."
1632411546-9581,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Black Ink Thai Mulberry Block Printing Paper, 9"" x 12"", White, Unbleached, Pack ...0.0 out of 5 stars."
1632410890-6997,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A6, 4 5/8"" x 6 1/4"", Sunflower Yellow, Pack Of 250"
1632411139-8185,https://www.officedepot.com/a/browse/paper/N=5+530715/,Filler & Graph Paper   (85),https://www.officedepot.com/a/browse/filler-and-graph-paper/N=5+549821/,Data Pads   (47),https://www.officedepot.com/a/browse/data-pads/N=5+549822/,"TOPS Quad-Ruling Cross Section Pad, Letter Size, Quadrille Ruled, 50 Sheets0.0 out of 5 stars."
1632411311-8503,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Notes   (309),https://www.officedepot.com/a/browse/sticky-notes/N=5+549834/,"Self stick notes in small 1 3/8 in. x 1 7/8 in. size. Eight pads per pack, 50 sh...4.8 out of 5 stars. 84 reviews"
1632410890-7001,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A9, 5 1/2"" x 8 1/2"", Garnet Red, Pack Of 250"
1632410890-7120,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Folded Cards, A1, 3 1/2"" x 4 7/8"", Boutique Blue, Pack Of 250"
1632411311-8713,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Notes   (309),https://www.officedepot.com/a/browse/sticky-notes/N=5+549834/,"Post-it® Notes, With 4 Bonus Pads, 3"" x 3"", Assorted Colors, Pack Of 18 Pads4.9 out of 5 stars. 23 reviews"
1632411546-9653,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Saral Transfer Paper, 12 1/2"" x 12' Roll, Blue0.0 out of 5 stars."
1632410890-6941,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A6, 4 5/8"" x 6 1/4"", Black Satin, Pack Of 5000.0 out of 5 stars."
1632411546-9586,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Pacon® Fadeless® Glossy Paper Roll, 48"" x 25', Festive Red"
1632411546-9447,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Pacon® Spectra® Art Kraft® Roll, 48"" x 200', Pink"
1632411581-9829,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Construction Paper   (160),https://www.officedepot.com/a/browse/construction-paper/N=5+530717/,"Riverside® Groundwood Construction Paper, 100% Recycled, 12"" x 18"", Brown, Pack ...0.0 out of 5 stars."
1632410925-7452,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Place Cards & Tent Cards   (143),https://www.officedepot.com/a/browse/place-cards-and-tent-cards/N=5+530739/,"TREND Desk Toppers® Reference Name Plates, Zaner-Bloser, 3 3/4"" x 18"", Grades 2-...0.0 out of 5 stars."
1632410890-6959,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A1, 3 1/2"" x 4 7/8"", Hottie Pink, Pack Of 250"
