web-scraper-order,web-scraper-start-url,nnn
1632707668-15,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Crucial 4GB DDR4 SDRAM Memory Module - 4 GB - DDR4-2400/PC4-19200 DDR4 SDRAM - 2...5.0 out of 5 stars. 1 review
1632707668-8,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Corsair Vengeance 8GB DDR3 SDRAM Memory Module - 8 GB (1 x 8GB) - DDR3-1600/PC3-...0.0 out of 5 stars.
1632707668-7,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Crucial 16GB DDR4 SDRAM Memory Module - 16 GB (1 x 16GB) - DDR4-2666/PC4-21300 D...0.0 out of 5 stars.
1632707668-11,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,"PNY 8GB DDR3 SDRAM 1600MHz Desktop Memory, MD8GSD31600NHS5.0 out of 5 stars. 1 review"
1632707668-1,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Crucial 8GB (2 x 4 GB) DDR4 SDRAM Memory Module - 8 GB (2 x 4GB) - DDR4-2400/PC4...0.0 out of 5 stars.
1632707668-4,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Cisco ASA5520-MEM-2GB= 2GB SDRAM Memory Module - 2 GB (2 x 1GB) SDRAM0.0 out of 5 stars.
1632707668-5,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Cisco ASA5540-MEM-2GB= 2 GB Memory Module0.0 out of 5 stars.
1632707668-16,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,EDGE K1240-208073-PE 2GB DDR2 SDRAM Memory Module - 2 GB (2 x 1GB) - DDR2-667/PC...0.0 out of 5 stars.
1632707668-17,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Crucial 16GB DDR4 SDRAM Memory Module - 16 GB - DDR4-2400/PC4-19200 DDR4 SDRAM -...5.0 out of 5 stars. 2 reviews
1632707668-18,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,"Centon 2GB PC2-6400 DDR2 DIMM Commercial Unbuffered Desktop Memory, CMP800PC2048...0.0 out of 5 stars."
1632707668-12,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Corsair 16GB (2 x 8GB) DDR3 SDRAM Memory Kit - 16 GB (2 x 8GB) DDR3 SDRAM - 1333...0.0 out of 5 stars.
1632707668-14,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Crucial 4GB DDR4 SDRAM Memory Module - 4 GB - DDR4-2400/PC4-19200 DDR4 SDRAM - 2...0.0 out of 5 stars.
1632707668-13,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Crucial 8GB DDR4 SDRAM Memory Module - 8 GB (1 x 8GB) - DDR4-2666/PC4-21300 DDR4...5.0 out of 5 stars. 1 review
1632707668-3,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Crucial 16GB DDR4 SDRAM Memory Module - 16 GB - DDR4-2400/PC4-19200 DDR4 SDRAM -...5.0 out of 5 stars. 5 reviews
1632707668-10,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,Crucial 16GB (2 x 8 GB) DDR4 SDRAM Memory Kit - 16 GB (2 x 8GB) - DDR4-2400/PC4-...0.0 out of 5 stars.
1632707668-9,https://www.officedepot.com/a/browse/cache-memory/N=5+1461937/,EDGE Tech 2GB DDR2 SDRAM Memory Module - 2GB (2 x 1GB) - 667MHz DDR2-667/PC2-530...0.0 out of 5 stars.
