web-scraper-order,web-scraper-start-url,nnn
1631902822-2923,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"CURAD® Instant Cold Packs, 5"" x 6"", Box Of 2 Cold Packs"
1631902822-2956,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"DMI® KOOLpress® Reusable Cold Compresses, 21"" x 11"", Blue, Case Of 3"
1631902822-2877,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Medline Deluxe Instant Cold Packs, 6 3/4"" x 9"", Case Of 24"
1631902822-2903,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Medline Perineal OB Pad Cold Packs, 4 1/2"" x 14 1/4"", Case Of 241.0 out of 5 stars. 1 review"
1631902822-2878,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,Ace Small Reusable Cold Compress - 1 Each - Blue
1631902822-2933,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Ergodyne N-Ferno 6990 Hand Warming Packs, Box Of 40 Pairs"
1631902822-2921,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Kimberly-Clark® Latex-free Instant Cold Pack, Pack Of 24"
1631902822-2912,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Ergodyne N-Ferno 6992 Toe Warming Packs, 2"" x 3"", White, Case Of 40 Packs"
1631902822-2918,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Cara English 9"" Ice Bag"
1631902822-2940,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Medline Perineal OB Pad Cold Packs, 4 1/2"" x 14 1/4"", Case Of 24"
1631902822-2866,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Versa-Pac® Reusable Heavy-Duty Cold Pack, 11"" x 14"""
1631902822-2870,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Medline Accu-Therm Reusable Hot/Cold Gel Packs, 5"" x 10"", Case Of 16"
1631902822-2952,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"PhysiciansCare Reusable Hot/Kold Pack - 6"" Width x 8.6"" Length - 1 / Each"
1631902822-2874,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Medline Instant Hot Packs, 6"" x 6"", Pack Of 24"
1631902822-2894,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Medline Accu-Therm Reusable Hot/Cold Gel Packs, 5"" x 10"", Case Of 160.0 out of 5 stars."
1631902822-2953,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Mabis DMI HealthCare Reusable Hot & Kold® Gel Packs, Large (8 1/2"" x 6"")/Sma..."
1631902822-2905,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Battle Creek® Equipment Ice It!® ColdCOMFORT™ Therapy System, Knee0.0 out of 5 stars."
1631902822-2861,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Arctic Ice Tundra Cold Pack - 9.5"" x 7.5"" - 2.50 lb"
1631902822-2863,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Medline Standard Instant Cold Packs, 4 3/4"" X 6 1/4"", Case Of 50"
1631902822-2951,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"DMI® Rubber Ice Bag, Medium, 1 Qt, Blue"
1631902822-2882,https://www.officedepot.com/a/browse/cold-packs/N=5+654540/,"Battle Creek® Equipment Ice It!® ColdCOMFORT™ Therapy System, Shoulder"
