web-scraper-order,web-scraper-start-url,name
1632498206-495,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 9.5' Teardrop Sail Sign Flag With Ground Spike, 2-Sided0.0 out of 5 stars."
1632498206-496,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 9.5' Teardrop Sail Sign Flag With Ground Spike, Printed 1-Side0.0 out of 5 stars."
1632498206-478,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 7.5' Razor Sail Sign Flag With Ground Spike, 2-Sided0.0 out of 5 stars."
1632498206-483,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 7.5' Razor Sail Sign With Ground Spike, 1-Sided0.0 out of 5 stars."
1632498206-477,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 10.5' Razor Sail Sign Flag With Ground Spike, 2-Sided0.0 out of 5 stars."
1632498206-492,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 6.5' Teardrop Sail Sign Flag With Ground Spike, 2-Sided0.0 out of 5 stars."
1632498206-479,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,Custom Full-Color 10.5' Razor Sail Sign Flag With Cross Base & Water Ballast...0.0 out of 5 stars.
1632498206-494,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,Custom Full-Color 6.5' Teardrop Sail Sign Flag With Cross Base & Water Balla...0.0 out of 5 stars.
1632498206-489,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 15' Razor Sail Sign Flag With Ground Spike, 1-Sided0.0 out of 5 stars."
1632498206-491,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,Custom Full-Color 9.5' Teardrop Sail Sign Flag With Cross Base & Water Balla...0.0 out of 5 stars.
1632498206-482,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 10.5' Razor Sail Sign Flag With Ground Spike, 1-Sided0.0 out of 5 stars."
1632498206-485,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Teardrop And Razor Sail Sign Accessories, Sail Sign Carry Case0.0 out of 5 stars."
1632498206-500,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,Custom Full-Color 13' Teardrop Sail Sign Flag With Cross Base & Water Ballas...0.0 out of 5 stars.
1632498206-498,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 15' Razor Sail Sign Flag With Cross Base & Water Ballast, ...0.0 out of 5 stars."
1632498206-488,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 7.5' Razor Sail Sign Flag With Cross Base & Water Ballast,...0.0 out of 5 stars."
1632498206-486,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Teardrop And Razor Sail Sign Accessories, Value Cross Base For Sail Signs0.0 out of 5 stars."
1632498206-487,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Teardrop And Razor Sail Sign Accessories, Value Spike For Sail Sign0.0 out of 5 stars."
1632498206-484,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color  6.5' Teardrop Sail Sign Flag With Ground Spike, Printed 1-Sid...0.0 out of 5 stars."
1632498206-497,https://www.officedepot.com/a/browse/custom-flags/N=5+1475465/?cm_sp=copy_print_depot-_-copy_print_custom_flags_-_-category_large-format-printing--1212308-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-custom_flags&promo_creative=copy_print_custom_flags&promo_position=category_large-format-printing--1212308-2020_main_1_3_0,"Custom Full-Color 13' Teardrop Sail Sign Flag With Ground Spike, Printed 1-Side0.0 out of 5 stars."
