web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632507992-867,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,Deposit Stamps,https://www.officedepot.com/a/browse/deposit-stamps/N=5+1212267/?cm_sp=copy_print_depot-_-customstampsdeposit_cpd_-_-category_custom-stamps--1212264-desktop_main_0_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsdeposit-cpd&promo_creative=customstampsdeposit_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_7_0,"Custom 2000 PLUS® Green Line® Self-Inking Stamp, P30GL, 80% Recycled, 11/16"" x 1..."
1632507920-816,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,Date Stamps,https://www.officedepot.com/a/browse/dater-stamps/N=5+1212266/?cm_sp=copy_print_depot-_-customstampsdate_cpd_-_-category_custom-stamps--1212264-desktop_main_0_10_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsdate-cpd&promo_creative=customstampsdate_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_10_0,"Custom 2000 PLUS® R2046 Self-Inking Date Stamp, 1- 5/8"" Diameter Impression"
1632508162-1187,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,Message Stamps,https://www.officedepot.com/a/browse/message-stamps/N=5+1212270/?cm_sp=copy_print_depot-_-customstampsmessage_cpd_-_-category_custom-stamps--1212264-desktop_main_0_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsmessage-cpd&promo_creative=customstampsmessage_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_2_0,"Custom Office Depot® Brand Pre-Inked Stamp, 1/2"" x 1-1/16"" Impression2.0 out of 5 stars. 2 reviews"
1632508140-1086,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,Address Stamps,https://www.officedepot.com/a/browse/address-stamps/N=5+1212265/?cm_sp=copy_print_depot-_-customstampsaddress_cpd_-_-category_custom-stamps--1212264-desktop_main_0_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsaddress-cpd&promo_creative=customstampsaddress_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_3_0,"Custom 2000 PLUS® Self-Inking Stamp, P53, 1-1/8"" x 1-11/16"" Impression"
1632508140-1094,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,Address Stamps,https://www.officedepot.com/a/browse/address-stamps/N=5+1212265/?cm_sp=copy_print_depot-_-customstampsaddress_cpd_-_-category_custom-stamps--1212264-desktop_main_0_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsaddress-cpd&promo_creative=customstampsaddress_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_3_0,"Custom Office Depot Brand®, Pocket Stamp, 9/16"" x 1-1/2"""
1632507904-747,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,Stamp Ink Pads & Refills,https://www.officedepot.com/a/browse/stamp-refills-and-pads/N=5+1212275/?cm_sp=copy_print_depot-_-customstampsrefills_cpd_-_-category_custom-stamps--1212264-desktop_main_0_11_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsrefills-cpd&promo_creative=customstampsrefills_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_11_0,"2000 PLUS® Inspector Stamp Self-Inking Round Replacement Pad, 5/8"" Diameter"
1632507935-824,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,,https://www.officedepot.com/a/browse/notary-public-stamps/N=5+1212272/?cm_sp=copy_print_depot-_-customstampsnotary_cpd_-_-category_custom-stamps--1212264-desktop_main_0_9_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsnotary-cpd&promo_creative=customstampsnotary_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_9_0,"Custom ECO-GREEN Xstamper® Pre-Inked Notary Stamp, N12, 58% Recycled, 1"" x 2"" Im..."
1632508140-1093,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,Address Stamps,https://www.officedepot.com/a/browse/address-stamps/N=5+1212265/?cm_sp=copy_print_depot-_-customstampsaddress_cpd_-_-category_custom-stamps--1212264-desktop_main_0_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsaddress-cpd&promo_creative=customstampsaddress_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_3_0,"Custom ECO-GREEN Xstamper® Pre-inked Pink Pocket Stamp, 78% Recycled, 1/2"" x 1- ..."
1632507935-823,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,,https://www.officedepot.com/a/browse/notary-public-stamps/N=5+1212272/?cm_sp=copy_print_depot-_-customstampsnotary_cpd_-_-category_custom-stamps--1212264-desktop_main_0_9_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsnotary-cpd&promo_creative=customstampsnotary_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_9_0,"Custom ECO-GREEN Xstamper® Pre-Inked Notary Stamp, N18, 64% Recycled, 7/8"" x 2-3..."
1632507904-777,https://www.officedepot.com/a/browse/custom-stamps/N=5+1212264/,Stamp Ink Pads & Refills,https://www.officedepot.com/a/browse/stamp-refills-and-pads/N=5+1212275/?cm_sp=copy_print_depot-_-customstampsrefills_cpd_-_-category_custom-stamps--1212264-desktop_main_0_11_0&promo_name=copy_print_depot&promo_id=copy_print_depot-customstampsrefills-cpd&promo_creative=customstampsrefills_cpd&promo_position=category_custom-stamps--1212264-desktop_main_0_11_0,"Center Enterprise Washable 4-In-1 Stamp Pads, 3"" x 1 1/2"", Primary, Pack Of 2"
