web-scraper-order,web-scraper-start-url,cat,cat-href,name
"1632653920-1817","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Safety Glass Parts & Accessories","https://www.officedepot.com/a/browse/safety-glass-parts-and-accessories/N=5+654524/","Ergodyne Skullerz Safety Glasses, Odin, Matte Black Frame Anti-Fog Clear Lens"
"1632653920-1600","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Safety Glass Parts & Accessories","https://www.officedepot.com/a/browse/safety-glass-parts-and-accessories/N=5+654524/","Ergodyne Skullerz® Safety Glasses, Thor, Black Frame, Yellow Lens4.9 out of 5 stars. 10 reviews"
"1632653859-1180","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Safety Glasses","https://www.officedepot.com/a/browse/safety-glasses/N=5+654525/","3M SecureFit Protective Eyewear - Ultraviolet Protection - Polycarbonate Lens - ..."
"1632653859-1359","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Safety Glasses","https://www.officedepot.com/a/browse/safety-glasses/N=5+654525/","Ergodyne Skullerz® Safety Glasses, Kvasir, Matte Gray Frame, Smoke Lens5.0 out of 5 stars. 7 reviews"
"1632653940-1857","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Magnifiers","https://www.officedepot.com/a/browse/magnifiers/N=5+1181179/","Carson® MagniLamp™ Magnifier5.0 out of 5 stars. 9 reviews"
"1632653920-1714","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Safety Glass Parts & Accessories","https://www.officedepot.com/a/browse/safety-glass-parts-and-accessories/N=5+654524/","Sperian Wraparound Safety Eyewear, Black/Espresso0.0 out of 5 stars."
"1632653981-1996","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Eyeglasses","https://www.officedepot.com/a/browse/eyeglasses/N=5+1181178/","Wink® Coachella Half-Rim Reading Glasses, +2.50, Bronze"
"1632653859-1459","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Safety Glasses","https://www.officedepot.com/a/browse/safety-glasses/N=5+654525/","Ergodyne Skullerz® Safety Glasses, Dagr, Polarized, Black Frame, Copper Lens"
"1632653859-1320","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Safety Glasses","https://www.officedepot.com/a/browse/safety-glasses/N=5+654525/","Ergodyne Skullerz® Safety Glasses, Dagr, Polarized, Matte Gray Frame, Copper Len..."
"1632653859-1368","https://www.officedepot.com/a/browse/eye-protection/N=5+654523/","Safety Glasses","https://www.officedepot.com/a/browse/safety-glasses/N=5+654525/","GUNNAR VERTEX - Gaming glasses"
