web-scraper-order,web-scraper-start-url,nnn
1631890275-510,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Gaiam Relax Neck And Shoulder Wrap, 10-3/4""H x 5-3/4""W x 2""D, Purple"
1631890275-550,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief Deluxe Foot Warmer, Charcoal Gray4.4 out of 5 stars. 18 reviews"
1631890275-604,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"HealthSmart® Medium Ice Bag, 9"", Blue"
1631890275-540,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief Deluxe Heating Pad, 11-1/2"" x 23-1/2"", Sea Glass4.8 out of 5 stars. 47 reviews"
1631890275-644,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"PhysiciansCare Reusable Hot/Kold Pack - 6"" Width x 8.6"" Length - 1 / Each"
1631890275-614,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Curad Hot/Cold Reusable Gel Pack - 4"" Width10"" Length - 1 Each"
1631890275-621,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Gaiam Relax Hot & Cold Wrap, Purple"
1631890275-545,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief XL King Size Heating Pad, 23-1/2"" x 11-1/2"", Turquois...4.8 out of 5 stars. 74 reviews"
1631890275-612,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"First Aid Only Single Use Instant Cold Pack - 4"" x 5"" - 30 / Carton"
1631890275-560,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"First Aid Only Instant Cold Pack - 4"" Width x 5"" Depth - 1 Each"
1631890275-528,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Thermophore® Classic, Petite"
1631890275-634,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief Express Designer Series Heating Pad, 12"" x 15"", Deser..."
1631890275-602,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,Theratherm® Automatic Moist Heat Pack
1631890275-521,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief XL King Size Heating Pad, 23-1/2"" x 11-1/2"", Turquois..."
1631890275-629,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Elasto-Gel™ All-Purpose Therapy Wrap, Size: 9"" x 24"""
1631890275-554,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,Theratherm® Automatic Moist Heat Pack0.0 out of 5 stars.
1631890275-534,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Gaiam Relax Neck And Shoulder Wrap, 10-3/4""H x 5-3/4""W x 2""D, Purple5.0 out of 5 stars. 3 reviews"
1631890275-543,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Versa-Pac® Reusable Heavy-Duty Cold Pack, 11"" x 14""0.0 out of 5 stars."
1631890275-551,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief Express Designer Series Heating Pad, 12"" x 15"", Gray ...4.9 out of 5 stars. 28 reviews"
1631890275-641,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief Universal Joint And Muscle Heating Pad, 11-1/4"" x 20""..."
1631890275-539,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief Express Designer Series Heating Pad, 12"" x 15"", Palm ...5.0 out of 5 stars. 2 reviews"
1631890275-546,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment PureRelief XL King Size Heating Pad, 23-1/2"" x 11-1/2"", Sea Glas...4.7 out of 5 stars. 31 reviews"
1631890275-643,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"DMI® Rubber Ice Bag, Medium, 1 Qt, Blue"
1631890275-520,https://www.officedepot.com/a/browse/hot-and-cold-therapy/N=5+1181131/,"Pure Enrichment WeightedWarmth Weighted Lap Pad With Heat, 12"" x 19"", Blue"
