web-scraper-order,web-scraper-start-url,name
1632343917-1084,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Case Logic® CD Wallet, 320 Capacity, Black"
1632343917-1081,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Memorex® CD/DVD Sleeves, Multicolor, Pack Of 50"
1632343917-1045,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Slim CD Case, Assorted, Pack Of 25 (AbilityOne 7045-01-554-7682)"
1632343917-1028,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Verbatim TRIMpak CD/DVD Cases, Clear, Pack Of 200 Cases"
1632343917-1072,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Quality Park® Tyvek® CD/DVD Mailers, 4 7/8"" x 5"", White, Box Of 100"
1632343917-1029,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Verbatim Blu-Ray DVD Blue Cases - 30pk - Plastic
1632343917-1037,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Vaultz® CD Insert Pages, Letter Size, 200 Capacity, Pack Of 25"
1632343917-1063,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Atlantic Mitsu 52 CD/36 DVD Media Rack, Smoke"
1632343917-1036,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Case Logic 144 Capacity CD Wallet - Wallet - Nylon - 144 CD/DVD
1632343917-1078,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Slim Jewel Cases - 100 / pack - Jewel Case - Book Fold - Plastic - Clear, Black ..."
1632343917-1015,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Maxell CD/DVD Storage Sleeves
1632343917-1044,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Compucessory Slim CD/DVD Jewel Cases - Jewel Case - Black - 1 CD/DVD
1632343917-1019,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Compucessory CD/DVD White Window Envelopes - CD/DVD - 5"" Width x 5"" Length - 250..."
1632343917-1014,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Compucessory CD/DVD White Window Envelopes - CD/DVD - 5"" Width x 5"" Length - 100..."
1632343917-1058,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Find It® Gapless Mega CD/DVD Binder, 272 Capacity, White"
1632343917-1009,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Quality Park® CD/DVD Envelopes, 4 7/8"" x 5"", White, Box Of 100"
1632343917-1071,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Fellowes® Media Storage Diskettes, White/Blue, Box Of 125"
1632343917-1010,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Maxell CD-365 Slimline Jewel Cases, Clear, Pack Of 40"
1632343917-1068,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Verbatim CD/DVD Color TRIMpak Cases - 10pk, Assorted - Jewel Case - Book Fold - ..."
1632343917-1053,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"SKILCRAFT® Slim CD Jewel Cases, Pack Of 25 (AbilityOne 7045-01-502-6513)"
1632343917-1030,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Quality Park Tech-No-Tear™ CD/DVD Sleeves, White, Pack Of 100"
1632343917-1011,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Maxell CD-401 Multi-Color CD & DVD Sleeve
1632343917-1083,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Maxell Traditional CD & DVD Travel Case - Sleeve - Polypropylene, Leather - ..."
1632343917-1077,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Atlantic CD/DVD Sleeves, Clear, Pack Of 25"
1632343917-1082,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Memorex® Slim CD Jewel Cases, Clear, Pack Of 100"
1632343917-1007,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Verbatim® CD/DVD Paper Storage Sleeves, White, Box Of 100 Sleeves"
1632343917-1049,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Slim Jewel Cases - 50 pack - Jewel CasePlastic, Polystyrene - Clear, Black - 1 C..."
1632343917-1038,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Maxell® Standard Jewel Cases, Assorted Colors, Pack Of 10"
1632343917-1020,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Maxell White CD / DVD Sleeves
1632343917-1035,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Office Depot® Brand Color CD/DVD Envelopes, Assorted Colors, Pack of 50"
1632343917-1047,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Maxell® Slim Jewel Cases, Clear, Pack Of 30"
1632343917-1046,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Fellowes® Loose-Leaf Binder Sheets For CD-ROMs, 2 Capacity, Pack Of 10"
1632343917-1069,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Memorex® CD/DVD Sleeves, Multicolor, Pack Of 100"
1632343917-1056,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"ReBinder™ ReSleeve 100% Recycled Cardboard CD Sleeves (No View), Brown, Pack Of ..."
1632343917-1061,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Maxell Multicolor Slim Jewel Cases
1632343917-1016,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Maxell CD/DVD Jewel Cases CD-360
1632343917-1062,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Atlantic Parade 96 Disc Storage Cube, Black"
1632343917-1025,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"C-Shell CD Storage Cases, Clear, Box Of 25 (AbilityOne 7045-01-554-7681)"
1632343917-1065,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Ativa® 2-Sided CD Sleeves, 100 Capacity, Pack Of 50"
1632343917-1018,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Maxell® DVD Video Cases, Standard, Black, Pack Of 10"
1632343917-1017,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Maxell CD-356 Slim CD/DVD Jewel Case
1632343917-1067,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Maxell® CD/DVD Keepers, Assorted Colors, Pack Of 25"
1632343917-1021,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Quality Park CD/DVD Sleeves, 5"" x 5"", White, Box Of 250"
1632343917-1042,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Snap N Store® Doublewide CD/DVD Storage Box, 13 3/4"" x 10 5/8"" x 6 1/4"", Black"
1632343917-1076,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Tyvek® Windowed CD Sleeves®, 5"" x 5"", Case of 500"
1632343917-1080,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Case Logic® Koskin CD Wallet, 64-Capacity, Black"
1632343917-1032,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Maxell® Slim Jewel Cases, Assorted Colors, Pack Of 30"
1632343917-1059,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,Fellowes Slim Jewel Cases - 25 pack
1632343917-1041,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Windowed Paper CD Sleeves, 4.88"" x 5"", White, Case Of 500"
1632343917-1066,https://www.officedepot.com/a/browse/jewel-cases-and-sleeves/N=5+1461980/,"Maxell Traditional CD & DVD Travel Case - Leather, Polypropylene - Black - 6..."
