web-scraper-order,web-scraper-start-url,name
"1632381817-3983","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Amazon Fire TV Stick 4K With Alexa Voice Remote, 8GB, Black4.8 out of 5 stars. 155 reviews"
"1632381817-3994","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","NVIDIA SHIELD TV Pro Network Audio/Video Player - Wireless LAN - Black0.0 out of 5 stars."
"1632381817-3982","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Roku Express 4K+ Media Streaming Device, 3941R4.9 out of 5 stars. 285 reviews"
"1632381817-3987","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Line Roku Streambar 9102R Network Audio/Video Player - Wireless LAN4.3 out of 5 stars. 218 reviews"
"1632381817-3992","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Amazon - Fire TV Stick with all-new Alexa Voice Remote Streaming Media Player - ...4.7 out of 5 stars. 148 reviews"
"1632381817-3990","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Amazon Fire TV Stick With Alexa Voice Remote4.9 out of 5 stars. 47 reviews"
"1632381817-3993","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Google™ Chromecast 3rd Generation Streaming Media Device, Black4.0 out of 5 stars. 1091 reviews"
"1632381817-3986","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Roku® Streaming Stick® Plus, 3810R, Black4.5 out of 5 stars. 4389 reviews"
"1632381817-3995","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Polk Audio Omni P1 Wireless Music Streaming Adapter4.0 out of 5 stars. 1 review"
"1632381817-3984","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Line Google Chromecast Network/Streaming Audio/Video Player, Wireless LAN4.2 out of 5 stars. 2602 reviews"
"1632381817-3996","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Volkano Allcast Series Wireless Casting Receiver0.0 out of 5 stars."
"1632381817-3985","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Roku Express Streaming Player, Black4.2 out of 5 stars. 424 reviews"
"1632381817-3991","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","Roku Premiere 4K Streaming Media Player, Black, 3920R4.5 out of 5 stars. 10387 reviews"
"1632381817-3989","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","?Amazon Fire TV Stick (3rd Generation) Streaming Device, B08C1W5N874.9 out of 5 stars. 30 reviews"
"1632381817-3988","https://www.officedepot.com/a/browse/media-streaming-devices/N=5+510911/","NVIDIA SHIELD TV Network Audio/Video Player - Wireless LAN - Black0.0 out of 5 stars."
