web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632676268-8642,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Keyboards,https://www.officedepot.com/a/browse/wired-keyboards/N=5+1461911/,Adesso EasyTouch 425 - Rackmount Touchpad Keyboard - Cable Connectivity - USB In...0.0 out of 5 stars.
1632676070-6248,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Mice,https://www.officedepot.com/a/browse/wired-mice/N=5+1461912/,Ablenet TrackerPro 2 Handsfree Mouse Camera - Cable - White - 1 Pack - USB Type ...
1632676305-8971,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wireless Keyboards,https://www.officedepot.com/a/browse/wireless-keyboards/N=5+1461913/,"Logitech® Slim Wireless Keyboard, Chrome OS5.0 out of 5 stars. 1 review"
1632676268-8881,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Keyboards,https://www.officedepot.com/a/browse/wired-keyboards/N=5+1461911/,SIIG Industrial-/Medical-Grade Washable Backlit Wired Keyboard With Pointing Dev...
1632676268-8749,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Keyboards,https://www.officedepot.com/a/browse/wired-keyboards/N=5+1461911/,"BLOODY GAMING RBG OPTICAL MECHANICAL KEYBOARD, BLUE SWITCH - Cable Connectivity ..."
1632676167-6975,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Mousepads & Wrist Rests,https://www.officedepot.com/a/browse/mousepads-and-wrist-rests/N=5+1461910/,"3M™ Gel Wrist Rest for Keyboards, Soothing Gel Technology For Comfort And Suppor..."
1632676070-6382,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Mice,https://www.officedepot.com/a/browse/wired-mice/N=5+1461912/,"Urban Factory USB 2.0 Optical Krystal Mouse, Light Blue"
1632676268-8886,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Keyboards,https://www.officedepot.com/a/browse/wired-keyboards/N=5+1461911/,"Azio Retro Classic Vintage Typewriter Mechanical USB Keyboard, Artisan, MK-RETRO...0.0 out of 5 stars."
1632675998-5748,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wireless Mice,https://www.officedepot.com/a/browse/wireless-mice/N=5+1461914/,"Logitech® Pebble M350 Wireless Mouse, White, 910-005770"
1632676268-8684,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Keyboards,https://www.officedepot.com/a/browse/wired-keyboards/N=5+1461911/,"CHERRY Keyboard, Light Gray, KC 1000"
1632676285-8935,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Gaming Keyboards,https://www.officedepot.com/a/browse/gaming-keyboards/N=5+1461906/,CHERRY G80-11900 Series Compact Keyboard - PS/2 - QWERTY - 104 Keys - Light Gray...
1632676268-8720,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Keyboards,https://www.officedepot.com/a/browse/wired-keyboards/N=5+1461911/,SteelSeries Apex 3 - Keyboard - backlit - USB - key switch: Whisper Quiet Gaming...4.8 out of 5 stars. 88 reviews
1632676167-7082,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Mousepads & Wrist Rests,https://www.officedepot.com/a/browse/mousepads-and-wrist-rests/N=5+1461910/,AZIO GMP XXL Gaming Mouse Pad
1632676070-6323,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Mice,https://www.officedepot.com/a/browse/wired-mice/N=5+1461912/,Mad Catz The Authentic R.A.T. 1+ - Mouse - right and left-handed - optical - 3 b...
1632676070-6334,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wired Mice,https://www.officedepot.com/a/browse/wired-mice/N=5+1461912/,"Airo2Bic Ergonomic Left Hand Mouse, White"
1632676197-7337,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Keyboard Accessories,https://www.officedepot.com/a/browse/keyboard-accessories/N=5+1461909/,Adesso Smart Cat 4 Button Glidepoint Touchpad - Electrostatic - USB5.0 out of 5 stars. 1 review
1632675998-5881,https://www.officedepot.com/a/browse/mice-and-keyboards/N=5+1461905/,Wireless Mice,https://www.officedepot.com/a/browse/wireless-mice/N=5+1461914/,Microsoft Surface Dial 3D Input Device - Wireless - Bluetooth - Magnesium0.0 out of 5 stars.
