web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
"1632138988-12933","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch® 137 Photo-Safe Double-Sided Tape In Dispenser, 1/2"" x 400"", Clear, Pack ...4.4 out of 5 stars. 1014 reviews"
"1632139190-13057","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Invisible Office Tape","https://www.officedepot.com/a/browse/invisible-office-tape/N=5+371575/","Scotch® Magic™ Invisible Tape In Dispensers, 3/4"" x 300"", Clear, Pack of 4 rolls"
"1632138988-12948","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch® Magic™ Greener Invisible Tape, 3/4"" x 900"", Pack Of 12 Rolls4.8 out of 5 stars. 100 reviews"
"1632139054-13021","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Removable Office Tape","https://www.officedepot.com/a/browse/removable-office-tape/N=5+526441/","Scotch Flatback Write-On Paper Tape - 20 yd Length x 0.50"" Width - 3"" Core - 6.7..."
"1632139054-13018","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Removable Office Tape","https://www.officedepot.com/a/browse/removable-office-tape/N=5+526441/","Scotch® Tape Super-Hold, 3/4"" x 600"", Translucent, Pack of 2 rolls"
"1632139190-13120","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Invisible Office Tape","https://www.officedepot.com/a/browse/invisible-office-tape/N=5+371575/","Scotch 3/4""W Magic Tape - 72 yd Length x 0.75"" Width - 3"" Core - 12 / Bundle - C..."
"1632138988-12970","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch® 665 Permanent Double-Sided Tape, 3/4"" x 1,296"", Clear, Pack Of 2 Rolls4.6 out of 5 stars. 34 reviews"
"1632139054-13028","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Removable Office Tape","https://www.officedepot.com/a/browse/removable-office-tape/N=5+526441/","Scotch® Magic™ 811 Removable Tape, 3/4"" x 2,592"""
"1632139054-13001","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Removable Office Tape","https://www.officedepot.com/a/browse/removable-office-tape/N=5+526441/","Scotch® 667 Removable Double-Sided Tape, 3/4"" x 400"", Clear"
"1632138964-12923","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Double Sided Office Tape","https://www.officedepot.com/a/browse/double-sided-office-tape/N=5+526440/","Lineco Spine Repair Tape, 2"" x 540, Black5.0 out of 5 stars. 2 reviews"
"1632138988-12980","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch Transparent Tape - 3/4""W - 36 yd Length x 0.75"" Width - 1"" Core - 12 / Bu...0.0 out of 5 stars."
"1632139190-13112","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Invisible Office Tape","https://www.officedepot.com/a/browse/invisible-office-tape/N=5+371575/","Scotch 3/4""W Magic Tape - 27.78 yd Length x 0.75"" Width - 1"" Core - 12 / Bundle ..."
"1632139190-13124","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Invisible Office Tape","https://www.officedepot.com/a/browse/invisible-office-tape/N=5+371575/","Highland 3/4""W Matte-finish Invisible Tape - 27.78 yd Length x 0.75"" Width - 1"" ..."
