web-scraper-order,web-scraper-start-url,name
1632344277-1559,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,Maxell 16x DVD-R Media - 120mm
1632344277-1586,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,Maxell CD Recordable Media - CD-R - 48x - 700 MB - 1 Pack Slim Jewel Case - 120m...
1632344277-1539,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Verbatim® DVD+R Bulk Box, Pack Of 10"
1632344277-1514,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Verbatim® CD-R Bulk Box, Pack Of 10"
1632344277-1633,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,Verbatim CD-RW 700MB 4X-12X High Speed with Branded Surface - 5pk Slim Case
1632344277-1623,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Verbatim DVD-R 4.7GB 16X DataLifePlus White Thermal Printable, Hub Printable - 1..."
1632344277-1560,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Verbatim® Life Series DVD+R Spindle, Pack Of 50"
1632344277-1558,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,Compucessory CD Rewritable Media - CD-RW - 12x - 700 MB - 50 Pack - 120mm - 1.33...
1632344277-1532,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Verbatim® Digital Movie® DVD-R Bulk Box, Pack Of 10"
1632344277-1534,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Verbatim DVD-R 4.7GB 16X DataLifePlus White Inkjet Printable, Hub Printable - 50..."
1632344277-1510,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,CD-RW 700MB 12X DataLifePlus Silver Inkjet Printable with Branded Hub - 50pk Spi...
1632344277-1627,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,Verbatim CD-R 80min 52X with Digital Vinyl Surface - 10pk Slim Case - 700MB - 10...
1632344277-1621,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,Verbatim DVD-R 4.7GB 16X DataLifePlus White Inkjet Printable - 50pk Spindle - 4....
1632344277-1596,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Verbatim BD-R DL 50GB 6X DataLifePlus White Inkjet Printable, Hub Printable - 25..."
1632344277-1636,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Maxell® DVD-R Recordable Media Spindle, 4.7GB/120 Minutes, Pack Of 25"
1632344277-1525,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Verbatim BD-R 25GB 16X Disc Spindle, Box Of 25"
1632344277-1567,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,"Maxell® CD-RW Rewritable Media Spindle, 700MB/80 Minutes, 1x-4x, Pack Of 25"
1632344277-1644,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,Verbatim DVD-R 4.7GB 16X with Branded Surface - 1pk Jewel Case - 2 Hour Maximum ...
1632344277-1609,https://www.officedepot.com/a/browse/optical-discs/N=5+1461982/,Compucessory DVD Recordable Media - DVD-R - 16x - 4.70 GB - 100 Pack - 120mm - 2...
