web-scraper-order,web-scraper-start-url,name
1632403617-265,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® USB 3.0 Extension Cable, 10’, Black, 26859"
1632403617-298,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Volkano X&nbsp;Smart Series&nbsp;Auto Disconnect USB Type-C Cable, 6', B..."
1632403617-282,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® USB 3.0 Extension Charging Cable, 6’, Blue, 26900"
1632403617-279,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,C2G 2m USB Cable - USB A to USB B Cable - M/M - Type A USB - Type B USB - 6ft - ...
1632403617-254,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® USB-C-to-USB-B Cable, 6.5', White, 32462"
1632403617-252,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® USB 2.0 Printer Cable, 3ft, Black, 26862"
1632403617-272,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Atvia® USB-Type-C-To-USB-Type-C Premium Braided Charging Cable, 6', Gray, 45833"
1632403617-267,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa Braided USB-C Charge and Sync Cable,6',Gray, 47235"
1632403617-274,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® Braided USB Type-C Charge And Sync Cable, 9', Black, 45836"
1632403617-273,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® USB Type-A To Micro USB Cable, 9', Black, 46893"
1632403617-270,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Atvia® USB Type-C To Lightning Cable, 6', White, 45848"
1632403617-286,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa™ Gold Series USB A/B Device Cable, 16', Black"
1632403617-289,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Volkano X&nbsp;Smart Series&nbsp;Auto Disconnect Lightning Cable, 6', Bl..."
1632403617-305,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,Lind PACH329-1857 3 bay Desktop Battery Charger
1632403617-259,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® USB 2.0 to Serial Adapter, 1’, RS-232 DB9, Black, 26847"
1632403617-304,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Duracell® Mobile Rechargeable Powerbank, 1 Day, 3350 mAh, Pack of 1"
1632403617-291,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,4XEM 3FT USB To Parallel Cable - 3 ft Parallel/USB Data Transfer Cable for Print...
1632403617-280,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Duracell® Mobile Rechargeable Powerbank, 2 Day, 6700 mAh, Pack of 1"
1632403617-263,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® Braided USB Type-C Charge And Sync Cable, 6"", Black, 45839"
1632403617-283,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,Tripp Lite 10ft USB 2.0 High Speed Cable Reverisble A to B M/M - (Reversible A t...
1632403617-264,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,"Ativa® USB To Lightning Cable, 6', Gold, 47237"
1632403617-303,https://www.officedepot.com/a/browse/pda-accessories/N=5+509814/,Sabrent USB 2.0 to Serial DB9 Male (9 Pin) RS232 Cable Adapter 1 Ft Cable - 1 ft...
