web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632509752-2403,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Apparel,https://www.officedepot.com/a/browse/apparel/N=5+1212331/?cm_sp=copy_print_depot-_-promoproductsapparel_cpd_-_-category_promotional-products--1212330-2020_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsapparel-cpd&promo_creative=promoproductsapparel_cpd&promo_position=category_promotional-products--1212330-2020_main_1_1_0,"Men's Long Sleeve Oxford Shirt, Cotton/Polyester Blend"
1632509051-1500,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Home & Pet Supplies,https://www.officedepot.com/a/browse/home--pet-supplies/N=5+1212340/?cm_sp=copy_print_depot-_-promoproductshomepet_cpd_-_-category_promotional-products--1212330-2020_main_1_17_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductshomepet-cpd&promo_creative=promoproductshomepet_cpd&promo_position=category_promotional-products--1212330-2020_main_1_17_0,"Promotional Flashlights, 3 1/4"""
1632509061-1515,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Awards & Recognition,https://www.officedepot.com/a/browse/awards--recognition/N=5+1233640/%20?cm_sp=copy_print_depot-_-promoproductstrophies_cpd_-_-category_promotional-products--1212330-2020_main_1_16_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductstrophies-cpd&promo_creative=promoproductstrophies_cpd&promo_position=category_promotional-products--1212330-2020_main_1_16_0,"Custom Vertical Tweed Award, 4"" x 6"", Clear"
1632509125-1650,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Custom Calendars & Planners,https://www.officedepot.com/a/browse/custom-calendars-and-planners/N=5+1212334/?cm_sp=copy_print_depot-_-promoproductscustomcalendars_cpd_-_-category_promotional-products--1212330-2020_main_1_13_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductscustomcalendars-cpd&promo_creative=promoproductscustomcalendars_cpd&promo_position=category_promotional-products--1212330-2020_main_1_13_0,Mystic Weekly Calendar0.0 out of 5 stars.
1632509752-2336,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Apparel,https://www.officedepot.com/a/browse/apparel/N=5+1212331/?cm_sp=copy_print_depot-_-promoproductsapparel_cpd_-_-category_promotional-products--1212330-2020_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsapparel-cpd&promo_creative=promoproductsapparel_cpd&promo_position=category_promotional-products--1212330-2020_main_1_1_0,Ladies Cotton Vneck Tshirt Screened
1632509650-2279,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Writing Instruments,https://www.officedepot.com/a/browse/writing-instruments/N=5+1212344/%20?cm_sp=copy_print_depot-_-promoproductswriting_cpd_-_-category_promotional-products--1212330-2020_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductswriting-cpd&promo_creative=promoproductswriting_cpd&promo_position=category_promotional-products--1212330-2020_main_1_2_0,Color Grip Satin Pen
1632509650-2318,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Writing Instruments,https://www.officedepot.com/a/browse/writing-instruments/N=5+1212344/%20?cm_sp=copy_print_depot-_-promoproductswriting_cpd_-_-category_promotional-products--1212330-2020_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductswriting-cpd&promo_creative=promoproductswriting_cpd&promo_position=category_promotional-products--1212330-2020_main_1_2_0,Stylus Pen
1632509538-2144,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Drinkware,https://www.officedepot.com/a/browse/drinkware/N=5+1212337/?cm_sp=copy_print_depot-_-promoproductsdrinkware_cpd_-_-category_promotional-products--1212330-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsdrinkware-cpd&promo_creative=promoproductsdrinkware_cpd&promo_position=category_promotional-products--1212330-2020_main_1_3_0,"Custom Full-Color Mixing Glass, 16 Oz, Clear"
1632509315-1889,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Office Accessories,https://www.officedepot.com/a/browse/office-accessories/N=5+1212342/?cm_sp=copy_print_depot-_-promoproductsofficeaccessories_cpd_-_-category_promotional-products--1212330-2020_main_1_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsofficeaccessories-cpd&promo_creative=promoproductsofficeaccessories_cpd&promo_position=category_promotional-products--1212330-2020_main_1_7_0,Magna Shapes Clip
1632509125-1656,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Custom Calendars & Planners,https://www.officedepot.com/a/browse/custom-calendars-and-planners/N=5+1212334/?cm_sp=copy_print_depot-_-promoproductscustomcalendars_cpd_-_-category_promotional-products--1212330-2020_main_1_13_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductscustomcalendars-cpd&promo_creative=promoproductscustomcalendars_cpd&promo_position=category_promotional-products--1212330-2020_main_1_13_0,Seville Horizontal Monthly Pocket Calendar0.0 out of 5 stars.
1632509413-1933,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Bags & Totes,https://www.officedepot.com/a/browse/bags-and-totes/N=5+1212333/?cm_sp=copy_print_depot-_-promoproductsbagstotes_cpd_-_-category_promotional-products--1212330-2020_main_1_6_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsbagstotes-cpd&promo_creative=promoproductsbagstotes_cpd&promo_position=category_promotional-products--1212330-2020_main_1_6_0,Reversible Jute Cotton Tote
1632509217-1740,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Health & Wellness,https://www.officedepot.com/a/browse/health--fitness/N=5+1234648/?cm_sp=copy_print_depot-_-promoproductshealthfitness_cpd_-_-category_promotional-products--1212330-2020_main_1_11_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductshealthfitness-cpd&promo_creative=promoproductshealthfitness_cpd&promo_position=category_promotional-products--1212330-2020_main_1_11_0,"Custom Blue Light Blocking Glasses, Set Of 100 Pairs"
1632509413-2002,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Bags & Totes,https://www.officedepot.com/a/browse/bags-and-totes/N=5+1212333/?cm_sp=copy_print_depot-_-promoproductsbagstotes_cpd_-_-category_promotional-products--1212330-2020_main_1_6_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsbagstotes-cpd&promo_creative=promoproductsbagstotes_cpd&promo_position=category_promotional-products--1212330-2020_main_1_6_0,Fun Tote Bag
1632509315-1873,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Office Accessories,https://www.officedepot.com/a/browse/office-accessories/N=5+1212342/?cm_sp=copy_print_depot-_-promoproductsofficeaccessories_cpd_-_-category_promotional-products--1212330-2020_main_1_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsofficeaccessories-cpd&promo_creative=promoproductsofficeaccessories_cpd&promo_position=category_promotional-products--1212330-2020_main_1_7_0,Magna Clip
1632509538-2104,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Drinkware,https://www.officedepot.com/a/browse/drinkware/N=5+1212337/?cm_sp=copy_print_depot-_-promoproductsdrinkware_cpd_-_-category_promotional-products--1212330-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsdrinkware-cpd&promo_creative=promoproductsdrinkware_cpd&promo_position=category_promotional-products--1212330-2020_main_1_3_0,"Custom Camping Mugs With S'mores, 15 Oz"
1632509051-1444,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Home & Pet Supplies,https://www.officedepot.com/a/browse/home--pet-supplies/N=5+1212340/?cm_sp=copy_print_depot-_-promoproductshomepet_cpd_-_-category_promotional-products--1212330-2020_main_1_17_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductshomepet-cpd&promo_creative=promoproductshomepet_cpd&promo_position=category_promotional-products--1212330-2020_main_1_17_0,Colored Poly Cotton Twill Apron0.0 out of 5 stars.
1632509446-2015,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,"Masks, Sanitizers & More",https://www.officedepot.com/catalog/search.do?items=5052642+9504418+1454237+2051897+3235331+3316570+3557362+4533471+5138702+5394841+5830127+7039899+7138451+7424365+7939568+9695932+9807897+9936304+4657716+6106899+6725399+7132884+7730437+7766293+7791983+9731374+6353003+2336214+6289761+7218303+7219239+7219446+7267236+7550988+7668507+8776763+8851576+8902712+8946852+9995724+4385869+9956166+400558+7649373+832405+8827230+8999094+5327442+6045039+9947288+7301200+9803651+7780780+7932893+8300996+8875921+9565401+7217004+7364243+4176003+5180763+6106893+8823281+2135461+6048815+9635343+6451596&cm_sp=copy_print_depot-_-promoproducts_mask_sanitizees_-_-category_promotional-products--1212330-2020_main_1_4_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproducts-mask_sanitizees&promo_creative=promoproducts_mask_sanitizees&promo_position=category_promotional-products--1212330-2020_main_1_4_0,"Custom Multi-Functional Cooling Gaiters, One Size, Assorted Colors"
1632509538-2173,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Drinkware,https://www.officedepot.com/a/browse/drinkware/N=5+1212337/?cm_sp=copy_print_depot-_-promoproductsdrinkware_cpd_-_-category_promotional-products--1212330-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsdrinkware-cpd&promo_creative=promoproductsdrinkware_cpd&promo_position=category_promotional-products--1212330-2020_main_1_3_0,All-Purpose Basket Cooler0.0 out of 5 stars.
1632509446-2019,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,"Masks, Sanitizers & More",https://www.officedepot.com/catalog/search.do?items=5052642+9504418+1454237+2051897+3235331+3316570+3557362+4533471+5138702+5394841+5830127+7039899+7138451+7424365+7939568+9695932+9807897+9936304+4657716+6106899+6725399+7132884+7730437+7766293+7791983+9731374+6353003+2336214+6289761+7218303+7219239+7219446+7267236+7550988+7668507+8776763+8851576+8902712+8946852+9995724+4385869+9956166+400558+7649373+832405+8827230+8999094+5327442+6045039+9947288+7301200+9803651+7780780+7932893+8300996+8875921+9565401+7217004+7364243+4176003+5180763+6106893+8823281+2135461+6048815+9635343+6451596&cm_sp=copy_print_depot-_-promoproducts_mask_sanitizees_-_-category_promotional-products--1212330-2020_main_1_4_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproducts-mask_sanitizees&promo_creative=promoproducts_mask_sanitizees&promo_position=category_promotional-products--1212330-2020_main_1_4_0,"Holland USA 62% Alcohol Hand Sanitizer Gel, 2 Oz Flip-Top Bottle"
1632509538-2121,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Drinkware,https://www.officedepot.com/a/browse/drinkware/N=5+1212337/?cm_sp=copy_print_depot-_-promoproductsdrinkware_cpd_-_-category_promotional-products--1212330-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsdrinkware-cpd&promo_creative=promoproductsdrinkware_cpd&promo_position=category_promotional-products--1212330-2020_main_1_3_0,"Custom Vacuum-Insulated Camp Cup, 12 Oz"
1632509650-2233,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Writing Instruments,https://www.officedepot.com/a/browse/writing-instruments/N=5+1212344/%20?cm_sp=copy_print_depot-_-promoproductswriting_cpd_-_-category_promotional-products--1212330-2020_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductswriting-cpd&promo_creative=promoproductswriting_cpd&promo_position=category_promotional-products--1212330-2020_main_1_2_0,"Custom Miss Moptoppers Pen, Medium Point, Assorted Barrel Colors, Black Ink"
1632509217-1721,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Health & Wellness,https://www.officedepot.com/a/browse/health--fitness/N=5+1234648/?cm_sp=copy_print_depot-_-promoproductshealthfitness_cpd_-_-category_promotional-products--1212330-2020_main_1_11_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductshealthfitness-cpd&promo_creative=promoproductshealthfitness_cpd&promo_position=category_promotional-products--1212330-2020_main_1_11_0,Square Pocket Compact Mirrors
1632509051-1441,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Home & Pet Supplies,https://www.officedepot.com/a/browse/home--pet-supplies/N=5+1212340/?cm_sp=copy_print_depot-_-promoproductshomepet_cpd_-_-category_promotional-products--1212330-2020_main_1_17_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductshomepet-cpd&promo_creative=promoproductshomepet_cpd&promo_position=category_promotional-products--1212330-2020_main_1_17_0,"Custom Printed Personalized 1-Color Foil-Stamped Luncheon Napkins, 6-1/2"" x 6-1/...0.0 out of 5 stars."
1632509650-2215,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Writing Instruments,https://www.officedepot.com/a/browse/writing-instruments/N=5+1212344/%20?cm_sp=copy_print_depot-_-promoproductswriting_cpd_-_-category_promotional-products--1212330-2020_main_1_2_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductswriting-cpd&promo_creative=promoproductswriting_cpd&promo_position=category_promotional-products--1212330-2020_main_1_2_0,"Silver Polished Accent Pen, Medium Point"
1632509446-2045,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,"Masks, Sanitizers & More",https://www.officedepot.com/catalog/search.do?items=5052642+9504418+1454237+2051897+3235331+3316570+3557362+4533471+5138702+5394841+5830127+7039899+7138451+7424365+7939568+9695932+9807897+9936304+4657716+6106899+6725399+7132884+7730437+7766293+7791983+9731374+6353003+2336214+6289761+7218303+7219239+7219446+7267236+7550988+7668507+8776763+8851576+8902712+8946852+9995724+4385869+9956166+400558+7649373+832405+8827230+8999094+5327442+6045039+9947288+7301200+9803651+7780780+7932893+8300996+8875921+9565401+7217004+7364243+4176003+5180763+6106893+8823281+2135461+6048815+9635343+6451596&cm_sp=copy_print_depot-_-promoproducts_mask_sanitizees_-_-category_promotional-products--1212330-2020_main_1_4_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproducts-mask_sanitizees&promo_creative=promoproducts_mask_sanitizees&promo_position=category_promotional-products--1212330-2020_main_1_4_0,"Custom Composition Pen With Cello-Wrapping, Medium Point"
1632509098-1577,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Sports & Outdoor,https://www.officedepot.com/a/browse/sports-and-outdoor/N=5+1212343/?cm_sp=copy_print_depot-_-promoproductssports_cpd_-_-category_promotional-products--1212330-2020_main_1_14_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductssports-cpd&promo_creative=promoproductssports_cpd&promo_position=category_promotional-products--1212330-2020_main_1_14_0,"Custom Towel Cup Golf Kits, 3"" x 6"", Set Of 100 Kits"
1632509315-1886,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Office Accessories,https://www.officedepot.com/a/browse/office-accessories/N=5+1212342/?cm_sp=copy_print_depot-_-promoproductsofficeaccessories_cpd_-_-category_promotional-products--1212330-2020_main_1_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsofficeaccessories-cpd&promo_creative=promoproductsofficeaccessories_cpd&promo_position=category_promotional-products--1212330-2020_main_1_7_0,"Lil Sticky Notes Book, 70 Pages"
1632509538-2174,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Drinkware,https://www.officedepot.com/a/browse/drinkware/N=5+1212337/?cm_sp=copy_print_depot-_-promoproductsdrinkware_cpd_-_-category_promotional-products--1212330-2020_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductsdrinkware-cpd&promo_creative=promoproductsdrinkware_cpd&promo_position=category_promotional-products--1212330-2020_main_1_3_0,"Custom Silicone Coasters, 3-7/8"" x 3-7/8"", Set Of 125 Coasters0.0 out of 5 stars."
1632509051-1451,https://www.officedepot.com/a/browse/promotional-products/N=5+1212330/,Home & Pet Supplies,https://www.officedepot.com/a/browse/home--pet-supplies/N=5+1212340/?cm_sp=copy_print_depot-_-promoproductshomepet_cpd_-_-category_promotional-products--1212330-2020_main_1_17_0&promo_name=copy_print_depot&promo_id=copy_print_depot-promoproductshomepet-cpd&promo_creative=promoproductshomepet_cpd&promo_position=category_promotional-products--1212330-2020_main_1_17_0,"Custom Soft-Touch Finish Key Chain, 7/16"" x 3-1/2""0.0 out of 5 stars."
