web-scraper-order,web-scraper-start-url,name
1632582572-629,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Allermuir Ousby Ergonomic Fabric Mid-Back Task Chair, Light Gray/Snow/Pebble"
1632582572-900,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Boss CaressoftPlus™ Heavy-Duty Ergonomic Fabric High-Back Chair, Gray"
1632582572-440,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Shaquille O'Neal™ Zethus Ergonomic Bonded Leather High-Back Executive Chair, Bro..."
1632582572-502,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Respawn 400 Racing-Style Big And Tall Bonded Leather Gaming Chair, Gray/Black"
1632582572-623,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Allermuir Ousby Ergonomic Fabric Mid-Back Task Chair, Ink/Snow/Light Gray"
1632582572-907,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Lorell® Chadwick Executive Ergonomic Bonded Leather High-Back Chair, Black1.0 out of 5 stars. 2 reviews"
1632582572-592,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"AKRacing™ Master Max Gaming Chair, Red"
1632582572-860,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Vertagear PL 1000 Series Ergonomic Faux Leather High-Back Gaming Chair, Blue4.4 out of 5 stars. 9 reviews"
1632582572-474,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Essentials By OFM Ribbed Ergonomic Bonded Leather High-Back Chair, Ivory/Black"
1632582572-818,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"StyleWorks LA Mid Back Mesh/Fabric Chair, With Blue & Light Gray Slipcovers,...0.0 out of 5 stars."
1632582572-481,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"StyleWorks Milan Ergonomic High-Back Chair, Sapphire"
1632582572-832,https://www.officedepot.com/a/browse/recliners/N=5+651271/,Bush Business Furniture Soft Sense Big and Tall Bonded Leather High-Back Office ...
1632582572-612,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Flash Furniture LeatherSoft Recliner And Ottoman, Black/Mahogany"
1632582572-494,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"HON® Boda™ High-Back Ergonomic Mesh Task Chair, Black"
1632582572-465,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Shaquille O'Neal™ Zephyrus Ergonomic Bonded Leather High-Back Executive Chair, G..."
1632582572-482,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Boss Button-Tufted Ergonomic High-Back Chair, Champagne Velvet"
1632582572-730,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Flash Furniture Harmony Series LeatherSoft Sofa With 2 Built-In Recliners, Black"
1632582572-758,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"National® Niles Static Conference Ergonomic Chair, Ivory"
1632582572-920,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Arozzi Verona V2 High-Back Chair, Black/Red/Black"
1632582572-788,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Flash Furniture Contemporary Recliner With Maple Base Ottoman, Brown/Maple4.4 out of 5 stars. 7 reviews"
1632582572-744,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Arozzi Forte Ergonomic Faux Leather High-Back Gaming Chair, Black0.0 out of 5 stars."
1632582572-486,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"OFM Essentials Racing-Style Bonded Leather Gaming Chair, Gray/Black"
1632582572-616,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"StyleWorks NYC Ergonomic Mid-Back Executive Chair, Charcoal"
1632582572-720,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Bush® Business Furniture Laguna Mid-Back Leather Office Chair, Dark Gray, Standa...0.0 out of 5 stars."
1632582572-688,https://www.officedepot.com/a/browse/recliners/N=5+651271/,Sinfonia Song Ergonomic Mesh/Fabric High-Back Task Chair With Antimicrobial Prot...0.0 out of 5 stars.
1632582572-919,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Flash Furniture Microfiber Rocker Recliner, Sierra Graphite2.0 out of 5 stars. 1 review"
1632582572-561,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Arozzi Verona V2 High-Back Chair, Black/White"
1632582572-657,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"DHP Emily Chaise Lounger, Linen, Navy"
1632582572-775,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Powell Baird Sofa Bed, Blue4.6 out of 5 stars. 5 reviews"
1632582572-871,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Respawn 100 Racing-Style Bonded Leather Gaming Chair, Gray/Black4.5 out of 5 stars. 52 reviews"
1632582572-813,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"StyleWorks Tokyo Ergonomic Mid-Back Ergonomic Mesh Chair, Citron0.0 out of 5 stars."
1632582572-708,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"HON® Pillow-Soft® Bonded Leather Mid-Back Chair, Black"
1632582572-867,https://www.officedepot.com/a/browse/recliners/N=5+651271/,Sinfonia Sing Ergonomic Mesh/Fabric Mid-Back Task Chair With Antimicrobial Prote...0.0 out of 5 stars.
1632582572-587,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Allermuir Ousby Ergonomic Fabric Mid-Back Task Chair, Light Gray/Snow/Slate"
1632582572-844,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Bush Business Furniture Accord Task Chair With Arms, Black Fabric, Standard Deli...2.0 out of 5 stars. 1 review"
1632582572-787,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Sinfonia Sing Ergonomic Mesh Mid-Back Task Chair, Adjustable Height Arms, Copper...0.0 out of 5 stars."
1632582572-683,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"HON® Define™ Executive Ergonomic Bonded Leather Chair, Black2.0 out of 5 stars. 2 reviews"
1632582572-579,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Respawn 200 Racing-Style Bonded Leather Gaming Chair, Blue/Black4.5 out of 5 stars. 26 reviews"
1632582572-829,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Arozzi Forte Ergonomic Fabric High-Back Gaming Chair, Black/Blue"
1632582572-931,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"AKRacing™ Core Series EX Gaming Chair, Black/Red5.0 out of 5 stars. 1 review"
1632582572-433,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Realspace® Hurston Bonded Leather High-Back Executive Chair, Black"
1632582572-785,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"AKRacing™ Core Series EX Gaming Chair, Blue/Black0.0 out of 5 stars."
1632582572-663,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"HON® Wave™ HVL712 Mid-Back Mesh Task Chair, Black"
1632582572-742,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Sinfonia Sing Ergonomic Mesh Mid-Back Task Chair, Adjustable Height Arms, Black/...0.0 out of 5 stars."
1632582572-851,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Bush Business Furniture Accord Ergonomic Bonded Leather Office Chair, Black, Sta..."
1632582572-769,https://www.officedepot.com/a/browse/recliners/N=5+651271/,Sinfonia Song Ergonomic Mesh/Fabric Mid-Back Task Chair With Antimicrobial Prote...0.0 out of 5 stars.
1632582572-679,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Arozzi Forte Ergonomic Faux Leather High-Back Gaming Chair, Black/Red0.0 out of 5 stars."
1632582572-524,https://www.officedepot.com/a/browse/recliners/N=5+651271/,"Flash Furniture X30 LeatherSoft Gaming Racing Chair, Black"
