web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632412885-11116,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Computer accessories,https://www.officedepot.com/a/browse/computer-accessories/N=5+1478569/?cm_sp=school_supplies-_-computer-accessories_tech_-_-category_school-electronics--1155054-2020_main_2_4_0&promo_name=school_supplies&promo_id=school_supplies-computer-accessories-tech&promo_creative=computer-accessories_tech&promo_position=category_school-electronics--1155054-2020_main_2_4_0,"Ativa™ 3-Outlet/2-USB Surge Protector Cube Tap, White, 579105.0 out of 5 stars. 4 reviews"
1632412679-10531,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Label makers,https://www.officedepot.com/a/browse/label-makers/N=5+1476621/?cm_sp=school_supplies-_-label_makers_tech_-_-category_school-electronics--1155054-2020_main_2_14_0&promo_name=school_supplies&promo_id=school_supplies-label_makers-tech&promo_creative=label_makers_tech&promo_position=category_school-electronics--1155054-2020_main_2_14_0,DYMO® LabelWriter® 450 Label Printer Bundle With Labels For PC And Apple® Mac®4.5 out of 5 stars. 40 reviews
1632412885-11007,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Computer accessories,https://www.officedepot.com/a/browse/computer-accessories/N=5+1478569/?cm_sp=school_supplies-_-computer-accessories_tech_-_-category_school-electronics--1155054-2020_main_2_4_0&promo_name=school_supplies&promo_id=school_supplies-computer-accessories-tech&promo_creative=computer-accessories_tech&promo_position=category_school-electronics--1155054-2020_main_2_4_0,"j5create USB Type-C-To-4K HDMI Cable, 75.25"", Gray, JCC153G4.4 out of 5 stars. 25 reviews"
1632412783-10710,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Tablets & accessories,https://www.officedepot.com/a/browse/tablets-and-accessories/N=5+1155060/?cm_sp=school_supplies-_-tablets_tech_-_-category_school-electronics--1155054-2020_main_2_8_0&promo_name=school_supplies&promo_id=school_supplies-tablets-tech&promo_creative=tablets_tech&promo_position=category_school-electronics--1155054-2020_main_2_8_0,"iHome Nylon-Braided USB-A To USB-C Cable With Durstrain, White4.9 out of 5 stars. 34 reviews"
1632412679-10462,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Label makers,https://www.officedepot.com/a/browse/label-makers/N=5+1476621/?cm_sp=school_supplies-_-label_makers_tech_-_-category_school-electronics--1155054-2020_main_2_14_0&promo_name=school_supplies&promo_id=school_supplies-label_makers-tech&promo_creative=label_makers_tech&promo_position=category_school-electronics--1155054-2020_main_2_14_0,"Brother® TZe-231 Black-On-White Tapes, 0.5"" x 26.2', Pack Of 24.8 out of 5 stars. 1088 reviews"
1632412783-10764,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Tablets & accessories,https://www.officedepot.com/a/browse/tablets-and-accessories/N=5+1155060/?cm_sp=school_supplies-_-tablets_tech_-_-category_school-electronics--1155054-2020_main_2_8_0&promo_name=school_supplies&promo_id=school_supplies-tablets-tech&promo_creative=tablets_tech&promo_position=category_school-electronics--1155054-2020_main_2_8_0,"Solo New York Tech Booklet Case For Apple® iPad® 2/3/4, Vinyl, Black/Blue3.9 out of 5 stars. 58 reviews"
1632412828-10910,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Flash drives,https://www.officedepot.com/a/browse/flash-drives/N=5+1155058/?cm_sp=school_supplies-_-flash-drives_tech_-_-category_school-electronics--1155054-2020_main_2_6_0&promo_name=school_supplies&promo_id=school_supplies-flash-drives-tech&promo_creative=flash-drives_tech&promo_position=category_school-electronics--1155054-2020_main_2_6_0,"Sandisk Cruzer Snap USB Flash Drive, 32GB, Blue4.7 out of 5 stars. 104 reviews"
1632412828-10903,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Flash drives,https://www.officedepot.com/a/browse/flash-drives/N=5+1155058/?cm_sp=school_supplies-_-flash-drives_tech_-_-category_school-electronics--1155054-2020_main_2_6_0&promo_name=school_supplies&promo_id=school_supplies-flash-drives-tech&promo_creative=flash-drives_tech&promo_position=category_school-electronics--1155054-2020_main_2_6_0,"SanDisk® iXpand Flash Drive, USB 3.0, 128GB, Gray4.6 out of 5 stars. 42 reviews"
1632412719-10605,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Networking,https://www.officedepot.com/a/browse/networking/N=5+1478570/?cm_sp=school_supplies-_-networking_tech_-_-category_school-electronics--1155054-2020_main_2_12_0&promo_name=school_supplies&promo_id=school_supplies-networking-tech&promo_creative=networking_tech&promo_position=category_school-electronics--1155054-2020_main_2_12_0,"TP-Link® Archer Dual Band 802.11ac, Wireless Gateway Router, Archer C204.5 out of 5 stars. 121 reviews"
1632412734-10652,https://www.officedepot.com/a/browse/school-electronics/N=5+1155054/,Calculators,https://www.officedepot.com/a/browse/calculators/N=5+1155055/?cm_sp=school_supplies-_-calculators_tech_-_-category_school-electronics--1155054-2020_main_2_11_0&promo_name=school_supplies&promo_id=school_supplies-calculators-tech&promo_creative=calculators_tech&promo_position=category_school-electronics--1155054-2020_main_2_11_0,"Ativa® TrackBack 2-Line Calculator, Multicolor, DD-23614.7 out of 5 stars. 46 reviews"
