web-scraper-order,web-scraper-start-url,nnn
1631870643-169,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Polyester/Cotton Modern Fit Ladies' Tall Cargo Scrub Pants,...0.0 out of 5 stars."
1631870643-151,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Polyester/Cotton Modern Fit Ladies' Tall Cargo Scrub Pants,..."
1631870643-156,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Ladies' Modern-Fit Cargo Scrub Pants, Large, White"
1631870643-162,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Unisex Regular Non-Reversible Drawstring Cargo Scrub Pants,..."
1631870643-165,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Unisex Cargo Pants, Tall, X-Large, Caribbean Blue"
1631870643-208,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Unisex Reversible Drawstring Scrub Pants, 3X, Wine"
1631870643-154,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Ladies' Modern-Fit Cargo Scrub Pants, X-Large, Evergreen"
1631870643-183,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Ladies' Modern Fit Petite Cargo Scrub Pants, Small, Caribbe...0.0 out of 5 stars."
1631870643-198,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Unisex Reversible Drawstring Pants, 5X, Purple"
1631870643-164,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Ladies' Elastic-Waist Polyester Scrub Pants, X-Small, Carib..."
1631870643-153,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Ladies' Modern Fit Petite Cargo Scrub Pants, X-Large, Purpl..."
1631870643-161,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Unisex Tall Non-Reversible Drawstring Cargo Scrub Pants, X-..."
1631870643-185,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Unisex Cargo Pants, Tall, X-Large, Caribbean Blue0.0 out of 5 stars."
1631870643-207,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Ladies' Modern Fit Petite Cargo Scrub Pants, Medium, Wine"
1631870643-196,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Ladies' Elastic-Waist Polyester Scrub Pants, 3X, Royal Blue"
1631870643-181,https://www.officedepot.com/a/browse/scrub-pants/N=5+1484819/,"Medline ComfortEase™ Unisex Tall Non-Reversible Drawstring Cargo Scrub Pants, X-...0.0 out of 5 stars."
