web-scraper-order,web-scraper-start-url,name
1632402841-6,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"Nokia 3310 TA-1036 Cell Phone, Charcoal0.0 out of 5 stars."
1632402841-11,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"BLU Joy J010 Senior-Friendly Cell Phone, Red, PBN2011335.0 out of 5 stars. 1 review"
1632402841-7,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"Nokia 3310 TA-1036 Cell Phone, Blue5.0 out of 5 stars. 1 review"
1632402841-2,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"Nokia 3310 TA-1036 Cell Phone, Yellow0.0 out of 5 stars."
1632402841-9,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"BLU Tank Extreme 2.4 T450X Cell Phone, Black/Red0.0 out of 5 stars."
1632402841-5,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"BLU Zoey Flex Z170L Cell Phone, Black0.0 out of 5 stars."
1632402841-10,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"BLU Joy J010 Senior-Friendly Cell Phone, Black3.0 out of 5 stars. 1 review"
1632402841-8,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"BLU Tank Extreme 2.4 T450X Cell Phone, Black/Blue, PBN2011500.0 out of 5 stars."
1632402841-1,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"Motorola® TalkAbout® 2-Way Radios, T210TP, Black/Red, Set Of 3 Radios"
1632402841-4,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,"Nokia 3310 TA-1036 Cell Phone, Warm Red0.0 out of 5 stars."
1632402841-3,https://www.officedepot.com/a/browse/standard-cell-phones/N=5+1037100/,Motorola Solutions T482 Emergency Preparedness Rechargeable Two Pack
