web-scraper-order,web-scraper-start-url,nnn
1631867063-281,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Oklahoma Sound® The Power Plus Lectern With Wireless Handheld Microphone, Medium..."
1631867063-211,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Mayline® Lighted Mobile Lectern, Silver5.0 out of 5 stars. 1 review"
1631867063-285,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Mayline® Lighted Mobile Lectern, Silver"
1631867063-284,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,AmpliVox Pinnacle SW3250 - Lectern - mobile - mahogany
1631867063-196,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Oklahoma Sound? The Aristocrat Non-Sound Lectern, Mahogany4.5 out of 5 stars. 2 reviews"
1631867063-215,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Oklahoma Sound? The Aristocrat Sound Lectern With Headset Wireless Microphone, M..."
1631867063-263,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Oklahoma Sound? The Aristocrat Non-Sound Lectern, Medium Oak0.0 out of 5 stars."
1631867063-225,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Oklahoma Sound? Acrylic Curved Lectern, Clear0.0 out of 5 stars."
1631867063-241,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"AmpliVox SN3230 - Multimedia Computer Lectern Non-Sound - 43.50"" Height x 25.50""...0.0 out of 5 stars."
1631867063-259,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Balt® Metal Lectern, Silver0.0 out of 5 stars."
1631867063-282,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"AmpliVox Wireless Executive Sound Column Lectern - 20.75"" Table Top Width x 16.5..."
1631867063-283,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"H. Wilson Portable Adjustable-Height Lectern, Black/Red Oak"
1631867063-255,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Safco® Executive Mobile Lectern, Mahogany4.0 out of 5 stars. 1 review"
1631867063-265,https://www.officedepot.com/a/browse/standard-podiums-and-lecterns/N=5+531959/,"Bush Business Furniture Lectern, 48"" x 24"", Mocha Cherry, Standard Delivery"
