web-scraper-order,web-scraper-start-url,name
1632498718-552,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Custom Full-Color Double-Sided Stretch Fabric Display Kit, 54"" x 5'"
1632498718-574,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,Custom Printed Full-Color Double-Sided Replacement Graphic For Stretch Fabric Di...
1632498718-576,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Custom Full-Color Double-Sided Stretch Fabric Display Kit, 90"" x 2'"
1632498718-542,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Custom Full-Color Double-Sided Stretch Fabric Display Kit, 49-1/2"" x 3'"
1632498718-545,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Custom Full-Color Double-Sided Stretch Fabric Display Kit, 49-1/2"" x 6'"
1632498718-550,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Custom Full-Color Double-Sided Replacement Stretch Fabric For Tagalong Kit, 8'"
1632498718-530,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Add-On Accessory For Custom Stretch Fabric Displays, Left Shelf Kit"
1632498718-572,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Custom Full-Color Double-Sided Tagalong Kit Add-On For Stretch Fabric Displays, ..."
1632498718-573,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Custom Full-Color Step & Repeat Double Sided Fabric Display Kit, 4' W X 7.5'..."
1632498718-567,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,Custom Full-Color Step & Repeat Double Sided Replacement Graphic For Stretch...
1632498718-538,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,Motorized Add-On Spinner Base For Custom Stretch Fabric Display
1632498718-543,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Custom Full-Color Double-Sided Stretch Fabric Display Kit, 72"" x 5'"
1632498718-566,https://www.officedepot.com/a/browse/stretch-fabric-displays/N=5+1475471/?cm_sp=copy_print_depot-_-copy_print_stretch_fabric_-_-category_large-format-printing--1212308-2020_main_3_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-copy_print-stretch_fabric&promo_creative=copy_print_stretch_fabric&promo_position=category_large-format-printing--1212308-2020_main_3_3_0,"Add-On Accessory For Custom Stretch Fabric Displays, Connector Hardware, 1-3/4""H..."
