web-scraper-order,web-scraper-start-url,category,category-href,note
1632492417-41,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-mechanical-pencils-and-refills/N=5+988300/?cm_sp=office_supplies-_-mechanical-pencils_mechanical-pencils_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_5_0&promo_name=office_supplies&promo_id=office_supplies-mechanical-pencils-mechanical-pencils&promo_creative=mechanical-pencils_mechanical-pencils&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_5_0,"TUL® Mechanical Pencils, 0.7 mm, Lime & Purple Barrels, Pack Of 2 Pencils"
1632492452-67,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-ballpoint-pens/N=5+988298/?cm_sp=cleaning-_-pen_ballpoint_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_2_0&promo_name=cleaning&promo_id=cleaning-pen-ballpoint&promo_creative=pen_ballpoint&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_2_0,"TUL® Fine Writing Solid Metal Barrel Ballpoint Pen With 2 Refills, Medium Point,..."
1632492440-54,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-felt-tip-pens/N=5+1405533/?cm_sp=office_supplies-_-fine-liner_fine-liner_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_3_0&promo_name=office_supplies&promo_id=office_supplies-fine-liner-fine-liner&promo_creative=fine-liner_fine-liner&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_3_0,"TUL® Fine Liner Felt-Tip Pens, Fine Point, 1.0 mm, Silver Barrels, Assorted Inks...4.8 out of 5 stars. 62 reviews"
1632492479-83,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Medium Point, 0.7 mm, Silver Barrel, Blue Ink, Pack Of 12 Pens"
1632492479-112,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Medium Point, 0.7 mm, Sliver Barrel, Assorted Standar...4.8 out of 5 stars. 102 reviews"
1632492479-113,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Medium Point, 0.7 mm, Silver Barrel, Black And Blue I...4.8 out of 5 stars. 26 reviews"
1632492405-15,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-highlighters-and-markers/N=5+1405534+723178+723556/?cm_sp=office_supplies-_-permanent-marker_permanent-marker_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_6_0&promo_name=office_supplies&promo_id=office_supplies-permanent-marker-permanent-marker&promo_creative=permanent-marker_permanent-marker&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_6_0,"TUL® Permanent Markers, Fine Point, Silver Barrel, Blue Ink, Pack Of 12 Markers"
1632492417-42,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-mechanical-pencils-and-refills/N=5+988300/?cm_sp=office_supplies-_-mechanical-pencils_mechanical-pencils_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_5_0&promo_name=office_supplies&promo_id=office_supplies-mechanical-pencils-mechanical-pencils&promo_creative=mechanical-pencils_mechanical-pencils&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_5_0,"TUL® Mechanical Pencils, 0.7 mm, White Barrels, Pack Of 2 Pencils"
1632492479-81,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Fine Point, 0.5 mm, Silver Barrel, Blue Ink, Pack Of ..."
1632492452-63,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-ballpoint-pens/N=5+988298/?cm_sp=cleaning-_-pen_ballpoint_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_2_0&promo_name=cleaning&promo_id=cleaning-pen-ballpoint&promo_creative=pen_ballpoint&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_2_0,"TUL® BP3 Retractable Ballpoint Pens, Medium Point, 1.0 mm, Silver Barrel, Red In..."
1632492479-100,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Medium Point, 0.7 mm, Silver Barrel, Assorted Busines..."
1632492479-85,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Bold Point, 1.0 mm, Silver Barrel, Assorted Ink Color..."
1632492479-107,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Medium Point, 0.7 mm, Silver Barrel, Assorted Bright ...4.8 out of 5 stars. 157 reviews"
1632492405-19,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-highlighters-and-markers/N=5+1405534+723178+723556/?cm_sp=office_supplies-_-permanent-marker_permanent-marker_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_6_0&promo_name=office_supplies&promo_id=office_supplies-permanent-marker-permanent-marker&promo_creative=permanent-marker_permanent-marker&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_6_0,"TUL® Highlighters, Chisel Point, Assorted Barrel Colors, Assorted Ink Colors, Pa..."
1632492479-118,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Bold Point, 1.0 mm, Silver Barrel, Black Ink, Pack Of...4.5 out of 5 stars. 35 reviews"
1632492440-52,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-felt-tip-pens/N=5+1405533/?cm_sp=office_supplies-_-fine-liner_fine-liner_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_3_0&promo_name=office_supplies&promo_id=office_supplies-fine-liner-fine-liner&promo_creative=fine-liner_fine-liner&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_3_0,"TUL® Fine Liner Porous-Point Pens, Fine, 1.0 mm, Silver Barrel, Assorted Ink Col...4.7 out of 5 stars. 34 reviews"
1632492393-5,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-writing/N=5+988297+726582&viewAllSkus=true/?cm_sp=office_supplies-_-fine-writing_fine-writing_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_7_0&promo_name=office_supplies&promo_id=office_supplies-fine-writing-fine-writing&promo_creative=fine-writing_fine-writing&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_7_0,"TUL® Retractable Gel Pens, Needle Point, 0.7 mm, Silver Barrel, Black Ink, Pack Of 12 Pens"
1632492479-121,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Medium Point, 0.7 mm, Pearl White Barrels, Blue Ink, ...0.0 out of 5 stars."
1632492452-59,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-ballpoint-pens/N=5+988298/?cm_sp=cleaning-_-pen_ballpoint_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_2_0&promo_name=cleaning&promo_id=cleaning-pen-ballpoint&promo_creative=pen_ballpoint&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_2_0,"TUL® BP3 Retractable Ballpoint Pens, Medium Point, 1.0 mm, Silver Barrel, Blue I..."
1632492393-6,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-writing/N=5+988297+726582&viewAllSkus=true/?cm_sp=office_supplies-_-fine-writing_fine-writing_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_7_0&promo_name=office_supplies&promo_id=office_supplies-fine-writing-fine-writing&promo_creative=fine-writing_fine-writing&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_7_0,"TUL® Fine Writing Retractable Gel Pen with 2 Refills, Medium Point, 0.7 mm, Gunm..."
1632492479-114,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Bold Point, 1.0 mm, Silver Barrel, Assorted Inks, Pac...4.7 out of 5 stars. 26 reviews"
1632492452-69,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-ballpoint-pens/N=5+988298/?cm_sp=cleaning-_-pen_ballpoint_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_2_0&promo_name=cleaning&promo_id=cleaning-pen-ballpoint&promo_creative=pen_ballpoint&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_2_0,"TUL® BP3 Retractable Ballpoint Pens, Medium Point, 1.0 mm, Silver Barrel, Assort..."
1632492479-80,https://www.officedepot.com/a/browse/tul-writing/N=5+988297/?cm_sp=office_supplies-_-writing_tul_-_-category_tul--971469-desktop_header_5_1_0&promo_name=office_supplies&promo_id=office_supplies-writing-tul&promo_creative=writing_tul&promo_position=category_tul--971469-desktop_header_5_1_0,,https://www.officedepot.com/a/browse/tul-gel-pens/N=5+988299/?cm_sp=office_supplies-_-gel_gel_-_-category_tul-writing--988297-tul-wirting-desktop_main_2_1_0&promo_name=office_supplies&promo_id=office_supplies-gel-gel&promo_creative=gel_gel&promo_position=category_tul-writing--988297-tul-wirting-desktop_main_2_1_0,"TUL® Retractable Gel Pens, Medium Point, 0.7 mm, Silver Barrel, Assorted Standard & Bright Ink Colors, Pack Of 14 Pens"
