web-scraper-order,web-scraper-start-url,name
1632384479-4294,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Acroprint Time Recorder Device Battery - For Time Recorder Device - Battery Rech...0.0 out of 5 stars.
1632384479-4286,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Jabra Engage Battery Pack - For Wireless Headset - Battery Rechargeable - 3.8 V ...0.0 out of 5 stars.
1632384479-4277,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 3-Volt Lithium 2032 Coin Batteries, Pack Of 44.8 out of 5 stars. 281 reviews"
1632384479-4287,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 3-Volt Lithium 2025 Coin Batteries, Pack Of 43.6 out of 5 stars. 7 reviews"
1632384479-4295,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Bosch D126 Security Device Battery - For Security Device - Battery Rechargeable ...0.0 out of 5 stars.
1632384479-4276,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Motorola Talkabout T107 Two-Way Radio, Pink"
1632384479-4285,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 76A Alkaline Battery, Pack of 14.7 out of 5 stars. 33 reviews"
1632384479-4290,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Tripp Lite 12V 36-Amp Replacement Battery Pack for HCRK-36 - Sealed Lead Acid - ...0.0 out of 5 stars.
1632384479-4281,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 12-Volt Alkaline 21/23 Batteries, Pack Of 44.9 out of 5 stars. 9 reviews"
1632384479-4279,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 3-Volt Lithium 2032 Coin Batteries, Pack Of 24.8 out of 5 stars. 492 reviews"
1632384479-4283,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Midland AVP14 - Battery 2 x - NiMH - 700 mAh - for X-TALKER T51VP3, T55VP3, T61V...5.0 out of 5 stars. 4 reviews"
1632384479-4282,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 12-Volt Alkaline 21/23 Battery, Pack Of 24.8 out of 5 stars. 128 reviews"
1632384479-4289,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 3-Volt Lithium 2450 Coin Battery, Pack of 14.8 out of 5 stars. 17 reviews"
1632384479-4297,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Ring Quick-Release Rechargeable Battery Pack For Ring Video Doorbell 2 Systems A...4.7 out of 5 stars. 90 reviews
1632384479-4275,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® Silver Oxide 303/357 Button Batteries, Pack Of 34.7 out of 5 stars. 160 reviews"
1632384479-4293,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® Silver Oxide 376/377 Button Battery, Pack of 14.7 out of 5 stars. 14 reviews"
1632384479-4278,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 3-Volt Lithium 2032 Coin Battery, Pack of 14.8 out of 5 stars. 474 reviews"
1632384479-4299,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Wasp DT90 High-Capacity Battery - 5200mAh - For Handheld Device - Battery Rechar...0.0 out of 5 stars.
1632384479-4296,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Ergotron SV Life Replacement Battery - Battery backup - 40 Ah - for StyleView EM...0.0 out of 5 stars.
1632384479-4292,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® Medical Alkaline 1.5V Battery, 180 mAh Capacity, DURPX76A675PK090.0 out of 5 stars."
1632384479-4298,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Canon Rechargeable Li-ion Battery NB-6LH - Battery Rechargeable - 1060 mAh - 3.7...5.0 out of 5 stars. 2 reviews
1632384479-4280,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 3-Volt Lithium 2025 Coin Battery, Pack Of 24.6 out of 5 stars. 44 reviews"
1632384479-4284,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 3-Volt Lithium 2016 Coin Batteries, Pack Of 25.0 out of 5 stars. 20 reviews"
1632384479-4288,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® 3-Volt Lithium 1632 Coin Button Battery, Pack of 14.8 out of 5 stars. 30 reviews"
1632384479-4274,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,Motorola Solutions TALKABOUT T260 Two-Way Radio 2 Pack
1632384479-4291,https://www.officedepot.com/a/browse/watch-calculator-and-specialty-batteries/N=5+509513/,"Duracell® Silver Oxide 389/390 Button Battery, Pack of 14.6 out of 5 stars. 55 reviews"
