web-scraper-order,web-scraper-start-url,name
1632419309-14970,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Canvas, Professional Matte, 60"" x 50', White"
1632419309-14900,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"Epson® Premium Glossy Photo Paper, 13"" x 19"", Pack Of 20 Sheets0.0 out of 5 stars."
1632419309-14948,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Wallpaper, Durable Smooth, 42"" x 100', FSC® Certified, White"
1632419309-14995,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Inkjet Print Coated Paper, Matte, Smooth, 42"" x 225', 35 Lb, White"
1632419309-14921,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Wide-Format Inkjet Film Paper, 36"" x 500', 24 Lb, Bright White"
1632419309-14928,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Everyday Photo Paper, 24 1/64"" x 100 1/16', Satin, White"
1632419309-14901,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"Pacon® Bond Paper, Letter Size (8 1/2"" x 11""), 24 Lb, Assorted Bright Colors, Re...0.0 out of 5 stars."
1632419309-14968,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Canvas, Premium Satin, 30"" x 75', White"
1632419309-15048,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"Canon Pro Platinum Photo Paper, 13"" x 19"", 98 (U.S.) Brightness, 80 Lb, White, P..."
1632419309-14962,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Double Matte Film, 24"" x 25', White"
1632419309-15020,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"Canon® Photo Paper Pro Platinum, Letter Size (8 1/2"" x 11""), 80 Lb, Pack Of 20 S..."
1632419309-14874,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"Alliance® CAD Bond Paper, 3"" Core, 30"" x 150', 92 Brightness, 20 Lb, White, Pack..."
1632419309-14860,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"Alliance® CAD Bond Paper, 3"" Core, 24"" x 150', 92 Brightness, 20 Lb, White, Pack..."
1632419309-14892,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Inkjet Print Coated Paper, 36"" x 300', White3.8 out of 5 stars. 6 reviews"
1632419309-14924,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"HP Wallpaper, 54"" x 300', FSC® Certified, White"
1632419309-15016,https://www.officedepot.com/a/browse/wide-format-paper/N=5+530751/,"Canon® Photo Paper Plus Inkjet Print Photo Paper, Semi-gloss, 5"" x 7"", 69 Lb, Wh..."
