web-scraper-order,web-scraper-start-url,name
1632405283-3522,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Netgear Nighthawk X4S C7800 IEEE 802.11ac Cable Modem/Wireless Router - 2.40 GHz...
1632405283-3529,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"Netgear LAX20 IEEE 802.11ax 1 SIM Cellular, Ethernet Modem/Wireless Router - 4G ..."
1632405283-3444,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"TP-Link® Archer AX4400 Wireless Wi-Fi Router, Black"
1632405283-3524,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,MultiTech MultiConnect rCell MTR-C2  Wireless Router - 2G - 1 x Network Port - F...
1632405283-3508,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"Linksys® Max-Stream™ MU-MIMO 802.11ac, Wireless Gateway Router, Max-Stream AC220..."
1632405283-3539,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,NETGEAR® Insight WAC510 Dual Band Wireless Router 8-Pack
1632405283-3569,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"ARRIS SURFboard mAX Plus W130 Wireless-AX Tri-Band Router Bundle, 1001205"
1632405283-3455,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"TP-Link AC750 Travel Size Wi-Fi Router, TL-WR902AC"
1632405283-3448,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"Linksys® Single Band 802.11a, Wireless Gateway Router, E4500"
1632405283-3496,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"Netgear AirCard 797 IEEE 802.11ac Cellular Wireless Router - 4G - DC-HSPA+, LTE ...0.0 out of 5 stars."
1632405283-3434,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"TP-Link® Archer Dual Band 802.11ac, Wireless Gateway Router, Archer C20"
1632405283-3465,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Motorola MR2600 IEEE 802.11ac Ethernet Wireless Router - 2.40 GHz ISM Band - 5 G...
1632405283-3552,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"Motorola SURFboard® Wireless Cable Modem Gateway, SBG6580 Series"
1632405283-3415,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"Linksys® Dual Band 802.11ac, Wireless Gateway Router, WRT3200ACM"
1632405283-3446,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"Linksys® Wireless-AC Dual-Band Mesh Router, MR6350"
1632405283-3499,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,NETGEAR® NightHawk® M1 4G LTE Advanced Gigabit Ethernet Mobile Router4.4 out of 5 stars. 373 reviews
1632405283-3555,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"MultiTech MultiConnect rCell MTR-H5 Cellular Wireless Router - 3G - WCDMA 800, W..."
1632405283-3572,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Google Nest IEEE 802.11ac Ethernet Wireless Router - 2.40 GHz ISM Band - 5 GHz U...
1632405283-3437,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,TP-Link Archer AX1800 Wi-Fi 6 Dual-Band Wireless Router
1632405283-3491,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Google IEEE 802.11ac Ethernet Wireless Router - 2.40 GHz ISM Band - 5 GHz UNII B...4.0 out of 5 stars. 1014 reviews
1632405283-3420,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"ASUS® AC1200 Dual-Band Wireless Router, RT-ACRH12"
1632405283-3575,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Asus ZenWiFi AX XT8 IEEE 802.11ax Ethernet Wireless Router - 2.40 GHz ISM Band -...
1632405283-3438,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"TP-Link N450 Wireless Wi-Fi Router, TL-WR940N"
1632405283-3441,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Linksys® EA7450 4-Port Wi-Fi 5 Dual-Band Router
1632405283-3466,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Asus RT-AC1900P IEEE 802.11ac Ethernet Wireless Router - 2.40 GHz ISM Band - 5 G...
1632405283-3431,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"TP-Link Archer C80 AC1900 MU-MIMO Wi-Fi Wireless Router, Black"
1632405283-3486,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Cisco RV132W Wi-Fi 4 IEEE 802.11n ADSL2+ Wireless Router - 2.40 GHz ISM Band - 6...0.0 out of 5 stars.
1632405283-3538,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,TP-Link Archer C59 IEEE 802.11ac Ethernet Wireless Router - 2.40 GHz ISM Band - ...
1632405283-3409,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"NETGEAR DOCSIS 3.0 16x4 AC1750 WiFi Cable Modem Router, C6300"
1632405283-3424,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,"NETGEAR DOCSIS 3.0 8x4 AC1200 WiFi Cable Modem Router, C6220"
1632405283-3516,https://www.officedepot.com/a/browse/wifi-routers/N=5+509739/,Netgear Orbi Pro SRK60 IEEE 802.11ac Ethernet Wireless Router - 2.40 GHz ISM Ban...
