web-scraper-order,web-scraper-start-url,name
"1632425180-19706","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Trend® Skill Drill Flash Cards, Addition, Set Of 915.0 out of 5 stars. 2 reviews"
"1632425180-19785","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Educational Insights® Play Money Coins And Bills Tray, 10""H x 6 1/2""W x 1 1/2""D,..."
"1632425180-19720","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Hygloss Bright Study Buddies Flash Cards - 100 Sheets - Ring - 2"" x 3"" - Assorte...0.0 out of 5 stars."
"1632425180-19898","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Learning Resources® Attribute Blocks Desk Set, 8 1/2"" x 7 1/4"", Pre-K - Grade 5"
"1632425180-19806","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Learning Resources® Interlocking Base 10 Class Set, Grades 1 - 9"
"1632425180-19807","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Dowling Magnets Foam Fun Magnets Pattern Blocks, Assorted, Pack Of 200 Blocks, P..."
"1632425180-19916","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Teacher Created Resources Foam Blank Dice, 4"", Yellow, Pack Of 3 Dice"
"1632425180-19921","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Learning Resources Counting Dino-Sorters Math Activity Set - 3 Year & Up"
"1632425180-19750","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Learning Resources® Letter Construction Activity Set, Pre-K - Grade 4"
"1632425180-19784","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/?cm_sp=school_supplies-_-math_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_1_0&promo_name=school_supplies&promo_id=school_supplies-math-learn-from-anywhere&promo_creative=math_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_1_0","Learning Resources Place Value Disks - Theme/Subject: Learning - Skill Learning:..."
