web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632420540-15697,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 9-12,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394731&viewAllSkus=true?cm_sp=school_supplies-_-9-12_bts_-_-school-supplies_back-to-school_main_3_3_0&promo_name=school_supplies&promo_id=school_supplies-9-12-bts&promo_creative=9-12_bts&promo_position=school-supplies_back-to-school_main_3_3_0,"Office Depot® Brand 2-Pocket Paper Folder, Letter Size, Red4.8 out of 5 stars. 255 reviews"
1632420540-15945,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 9-12,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394731&viewAllSkus=true?cm_sp=school_supplies-_-9-12_bts_-_-school-supplies_back-to-school_main_3_3_0&promo_name=school_supplies&promo_id=school_supplies-9-12-bts&promo_creative=9-12_bts&promo_position=school-supplies_back-to-school_main_3_3_0,"Just Basics® Poly Spiral Notebook, 8 1/2"" x 10 1/2"", College Ruled, 140 Pages (7..."
1632421074-16120,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 6-8,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394730&viewAllSkus=true?cm_sp=school_supplies-_-6-8_bts_-_-school-supplies_back-to-school_main_3_2_0&promo_name=school_supplies&promo_id=school_supplies-6-8-bts&promo_creative=6-8_bts&promo_position=school-supplies_back-to-school_main_3_2_0,"Office Depot® Brand Tri-Fold Foam Display Board, 36"" x 48"", Black"
1632420540-15894,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 9-12,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394731&viewAllSkus=true?cm_sp=school_supplies-_-9-12_bts_-_-school-supplies_back-to-school_main_3_3_0&promo_name=school_supplies&promo_id=school_supplies-9-12-bts&promo_creative=9-12_bts&promo_position=school-supplies_back-to-school_main_3_3_0,"Elmer's® Glue-All Pourable Glue, 1 Gallon"
1632420540-15911,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 9-12,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394731&viewAllSkus=true?cm_sp=school_supplies-_-9-12_bts_-_-school-supplies_back-to-school_main_3_3_0&promo_name=school_supplies&promo_id=school_supplies-9-12-bts&promo_creative=9-12_bts&promo_position=school-supplies_back-to-school_main_3_3_0,"Just Basics® Poly Spiral Notebook, 8 1/2"" x 10 1/2"", Wide Ruled, 140 Pages (70 S..."
1632421161-16320,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades K-5,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394733&viewAllSkus=true?cm_sp=school_supplies-_-k-5_bts_-_-school-supplies_back-to-school_main_3_1_0&promo_name=school_supplies&promo_id=school_supplies-k-5-bts&promo_creative=k-5_bts&promo_position=school-supplies_back-to-school_main_3_1_0,"SanDisk® Cruzer™ Snap USB Flash Drives, 16GB, Pack Of 5 Flash Drives, SDCZ62-016..."
1632420540-15799,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 9-12,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394731&viewAllSkus=true?cm_sp=school_supplies-_-9-12_bts_-_-school-supplies_back-to-school_main_3_3_0&promo_name=school_supplies&promo_id=school_supplies-9-12-bts&promo_creative=9-12_bts&promo_position=school-supplies_back-to-school_main_3_3_0,"Post-it® 1"" x 1 1/2"" Durable Index Tabs, Assorted, 6 Tabs Per Pad, Pack Of 6 Pad...4.9 out of 5 stars. 320 reviews"
1632421161-16460,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades K-5,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394733&viewAllSkus=true?cm_sp=school_supplies-_-k-5_bts_-_-school-supplies_back-to-school_main_3_1_0&promo_name=school_supplies&promo_id=school_supplies-k-5-bts&promo_creative=k-5_bts&promo_position=school-supplies_back-to-school_main_3_1_0,"Crayola® Standard Crayons, Assorted Colors, Box Of 8 Crayons4.9 out of 5 stars. 15 reviews"
1632421161-16506,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades K-5,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394733&viewAllSkus=true?cm_sp=school_supplies-_-k-5_bts_-_-school-supplies_back-to-school_main_3_1_0&promo_name=school_supplies&promo_id=school_supplies-k-5-bts&promo_creative=k-5_bts&promo_position=school-supplies_back-to-school_main_3_1_0,"ZULU Echo Water Bottle, 16 Oz, Gray/Green"
1632421161-16509,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades K-5,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394733&viewAllSkus=true?cm_sp=school_supplies-_-k-5_bts_-_-school-supplies_back-to-school_main_3_1_0&promo_name=school_supplies&promo_id=school_supplies-k-5-bts&promo_creative=k-5_bts&promo_position=school-supplies_back-to-school_main_3_1_0,"ZULU Torque Water Bottle, 16 Oz, Purple4.2 out of 5 stars. 25 reviews"
1632421161-16291,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades K-5,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394733&viewAllSkus=true?cm_sp=school_supplies-_-k-5_bts_-_-school-supplies_back-to-school_main_3_1_0&promo_name=school_supplies&promo_id=school_supplies-k-5-bts&promo_creative=k-5_bts&promo_position=school-supplies_back-to-school_main_3_1_0,"Office Depot® Brand Durable View 3-Ring Binder, 1"" Round Rings, 49% Recycled, Bl..."
1632421074-15974,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 6-8,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394730&viewAllSkus=true?cm_sp=school_supplies-_-6-8_bts_-_-school-supplies_back-to-school_main_3_2_0&promo_name=school_supplies&promo_id=school_supplies-6-8-bts&promo_creative=6-8_bts&promo_position=school-supplies_back-to-school_main_3_2_0,"Office Depot® Brand 2-Pocket Poly Folder with Prongs, Letter Size, Blue4.9 out of 5 stars. 519 reviews"
1632420540-15937,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 9-12,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394731&viewAllSkus=true?cm_sp=school_supplies-_-9-12_bts_-_-school-supplies_back-to-school_main_3_3_0&promo_name=school_supplies&promo_id=school_supplies-9-12-bts&promo_creative=9-12_bts&promo_position=school-supplies_back-to-school_main_3_3_0,Webster's Thesaurus Of The English Language
1632421074-15971,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 6-8,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394730&viewAllSkus=true?cm_sp=school_supplies-_-6-8_bts_-_-school-supplies_back-to-school_main_3_2_0&promo_name=school_supplies&promo_id=school_supplies-6-8-bts&promo_creative=6-8_bts&promo_position=school-supplies_back-to-school_main_3_2_0,"BIC® Wite-Out® Correction Tape, Pack Of 4 Correction Tape Dispensers4.6 out of 5 stars. 2065 reviews"
1632421074-15989,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 6-8,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394730&viewAllSkus=true?cm_sp=school_supplies-_-6-8_bts_-_-school-supplies_back-to-school_main_3_2_0&promo_name=school_supplies&promo_id=school_supplies-6-8-bts&promo_creative=6-8_bts&promo_position=school-supplies_back-to-school_main_3_2_0,"Office Depot® Brand Notebook Filler Paper, College-Ruled, 8"" x 10 1/2"", White, P..."
1632421074-16114,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 6-8,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394730&viewAllSkus=true?cm_sp=school_supplies-_-6-8_bts_-_-school-supplies_back-to-school_main_3_2_0&promo_name=school_supplies&promo_id=school_supplies-6-8-bts&promo_creative=6-8_bts&promo_position=school-supplies_back-to-school_main_3_2_0,"Ziploc® Plastic Double Zipper Storage Bags, 1 Gallon, Clear, Box Of 38 Bags"
1632421074-16204,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 6-8,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394730&viewAllSkus=true?cm_sp=school_supplies-_-6-8_bts_-_-school-supplies_back-to-school_main_3_2_0&promo_name=school_supplies&promo_id=school_supplies-6-8-bts&promo_creative=6-8_bts&promo_position=school-supplies_back-to-school_main_3_2_0,"SanDisk Cruzer Glide™ 3.0 USB Flash Drive, 128GB, Black, SDCZ600-128G-A46"
1632420540-15690,https://www.officedepot.com/cm/school-supplies/back-to-school,School Supplies for Grades 9-12,https://www.officedepot.com/a/browse/school-supplies/N=5+502600+1394731&viewAllSkus=true?cm_sp=school_supplies-_-9-12_bts_-_-school-supplies_back-to-school_main_3_3_0&promo_name=school_supplies&promo_id=school_supplies-9-12-bts&promo_creative=9-12_bts&promo_position=school-supplies_back-to-school_main_3_3_0,"Office Depot® Brand 2-Pocket Poly Folder with Prongs, Letter Size, Orange4.9 out of 5 stars. 198 reviews"
