web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632431713-30324,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Xerox Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50559&promo_name=ink_and_toner&promo_id=ink_and_toner-xeroxinktoner-shopnow&promo_creative=ink_and_toner_xeroxinktoner&promo_position=inktonerv2-banner-ad6-inktonerv2&redirect=false,Xerox Toner Cartridge - Laser - High Yield - 25000 Pages - Black - 1 Each
1632429335-28534,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Oki Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50562&promo_name=ink_and_toner&promo_id=ink_and_toner-panasonicinktoner-shopnow&promo_creative=ink_and_toner_panasonicinktoner&promo_position=inktonerv2-banner-ad9-inktonerv2&redirect=false,OKI® 42127403 Cyan Toner Cartridge
1632429028-27989,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Office Depot Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50565&promo_name=ink_and_toner&promo_id=ink_and_toner-officedepotinktoner-shopnow&promo_creative=ink_and_toner_officedepotinktoner&promo_position=inktonerv2-banner-ad11-inktonerv2&redirect=false,Office Depot® Brand OD295-98A Remanufactured Black / Tri-Color Ink Cartridge Rep...
1632429159-28353,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Ricoh Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50563&promo_name=ink_and_toner&promo_id=ink_and_toner-kodakinktoner-shopnow&promo_creative=ink_and_toner_kodakinktoner&promo_position=inktonerv2-banner-ad10-inktonerv2&redirect=false,Ricoh Original Toner Cartridge - Laser - 10000 Pages - Yellow
1632438054-32548,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,"Epson® 410 Claria® Premium Magenta Ink Cartridge, T410320-S"
1632429335-28456,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Oki Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50562&promo_name=ink_and_toner&promo_id=ink_and_toner-panasonicinktoner-shopnow&promo_creative=ink_and_toner_panasonicinktoner&promo_position=inktonerv2-banner-ad9-inktonerv2&redirect=false,"OKI C16 Image Drum Type, Cyan"
1632438577-33691,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Brother Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50555&promo_name=ink_and_toner&promo_id=ink_and_toner-brotherinktoner-shopnow&promo_creative=ink_and_toner_brotherinktoner&promo_position=inktonerv2-banner-ad2-inktonerv2&redirect=false,"Brother® 1230 Correctable Film Typewriter Ribbons, Pack Of 24.6 out of 5 stars. 53 reviews"
1632438577-33765,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Brother Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50555&promo_name=ink_and_toner&promo_id=ink_and_toner-brotherinktoner-shopnow&promo_creative=ink_and_toner_brotherinktoner&promo_position=inktonerv2-banner-ad2-inktonerv2&redirect=false,Brother LC3037Y INKvestment Super High-Yield Yellow Ink Cartridge0.0 out of 5 stars.
1632429028-28111,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Office Depot Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50565&promo_name=ink_and_toner&promo_id=ink_and_toner-officedepotinktoner-shopnow&promo_creative=ink_and_toner_officedepotinktoner&promo_position=inktonerv2-banner-ad11-inktonerv2&redirect=false,Office Depot® Brand OM05040 Remanufactured High-Yield Yellow Ink Cartridge Repla...
1632438054-32759,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,"Epson® 48 Yellow Ink Cartridge, T048420"
1632429335-28417,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Oki Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50562&promo_name=ink_and_toner&promo_id=ink_and_toner-panasonicinktoner-shopnow&promo_creative=ink_and_toner_panasonicinktoner&promo_position=inktonerv2-banner-ad9-inktonerv2&redirect=false,OKI® 52123601 High-Yield Black Toner Cartridge
1632438577-33667,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Brother Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50555&promo_name=ink_and_toner&promo_id=ink_and_toner-brotherinktoner-shopnow&promo_creative=ink_and_toner_brotherinktoner&promo_position=inktonerv2-banner-ad2-inktonerv2&redirect=false,"Brother® High-Yield Ink Cartridge, Black, LC203BKS4.6 out of 5 stars. 556 reviews"
1632429756-28740,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Dell Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50561&promo_name=ink_and_toner&promo_id=ink_and_toner-dellinktoner-shopnow&promo_creative=ink_and_toner_dellinktoner&promo_position=inktonerv2-banner-ad8-inktonerv2&redirect=false,Dell™ G7D0Y High-Yield Black Toner Cartridge
1632431713-30137,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Xerox Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50559&promo_name=ink_and_toner&promo_id=ink_and_toner-xeroxinktoner-shopnow&promo_creative=ink_and_toner_xeroxinktoner&promo_position=inktonerv2-banner-ad6-inktonerv2&redirect=false,Xerox® 106R01294 Black Toner Cartridge
