web-scraper-order,web-scraper-start-url,nnn
1631528855-4242,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Corrugated Cartons, 13"" x 10"" x 10"", Kraft, Pack Of 250.0 out of 5 stars."
1631528855-3414,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Heavy-Duty Boxes, 12"" x 10"" x 4"", Kraft, Pack Of 25 Boxes0.0 out of 5 stars."
1631528855-3975,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Insulated Shipping Kit, 12 1/2""H x 13""W x 13""D, White0.0 out of 5 stars."
1631528855-3288,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Corrugated Cartons, 9"" x 5"" x 5"", Kraft, Pack Of 255.0 out of 5 stars. 3 reviews"
1631528855-3532,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Corrugated Trays, 1 3/4""H x 12""W x 15""D, White, Pack Of 504.0 out of 5 stars. 1 review"
1631528855-5139,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Long Corrugated Boxes, 12"" x 6"" x 2"", Kraft, Pack Of 25 Boxe..."
1631528855-4078,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Telescoping Boxes, Inner, 8"" x 8"" x 48"", Pack Of 200.0 out of 5 stars."
1631528855-4286,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand White Self-Seal Side-Loading Corrugated Cartons, 10 7/8"" x 2...0.0 out of 5 stars."
1631528855-3113,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Side-Loading Boxes, 60""H x 8""W x 20""D, Kraft, Bundle Of 50.0 out of 5 stars."
1631528855-4740,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Corrugated Boxes, Flat, 4""H x 26""W x 26""D, Kraft, Pack Of 15"
1631528855-4193,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand V3c Weather-Resistant Corrugated Boxes, 12"" x 12"" x 12"", Kra...0.0 out of 5 stars."
1631528855-2844,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand Corrugated Cartons, 12"" x 10"" x 4"", Kraft, Pack Of 25"
1631528855-4997,https://www.officedepot.com/a/browse/shipping-boxes/N=5+3914/,"Office Depot® Brand FOL Flat-Panel TV Boxes, 42""H x 8""W x 70""D, Kraft, Pack Of 5"
