web-scraper-order,web-scraper-start-url,nnn
1631519874-701,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand Kraft Clay Desiccants - 5 Gallon Pail 3"" x 6"" x 3/8"", Case of 1500.0 out of 5 stars."
1631519874-708,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand Kraft Clay Desiccants - 34 Gallon Drum 5"" x 5 1/2"" x 1/2"", Case o...0.0 out of 5 stars."
1631519874-696,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 34 Gallon Drum 5 3/4"" x 10"" x 1 1/2"", Case of 1500.0 out of 5 stars."
1631519874-703,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 34 Gallon Drum 3"" x 4"" x 1/4"", Case of 1,3000.0 out of 5 stars."
1631519874-711,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand Kraft Clay Desiccant Bags - 5 Gallon Pail 1"" x 3 1/2"" x 1/4"", Cas...0.0 out of 5 stars."
1631519874-713,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand String Sewn Desiccant Bags, 4 3/4"" x 9 1/2"" x 1 1/2"", Case of 1500.0 out of 5 stars."
1631519874-697,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand Kraft Clay Desiccant Bags - 5 Gallon Pail 1"" x 2 1/2"" x 1/4"", Cas...0.0 out of 5 stars."
1631519874-707,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 5 Gallon Pail 1"" x 3 1/2"" x 1/4"", Case of 7000.0 out of 5 stars."
1631519874-698,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand Kraft Clay Desiccants - 5 Gallon Pail 3"" x 4"" x 1/4"", Case of 3000.0 out of 5 stars."
1631519874-715,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand Kraft Clay Desiccants - 34 Gallon Drum 3"" x 6"" x 3/8"", Case of 80...0.0 out of 5 stars."
1631519874-705,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 34 Gallon Drum 5"" x 5 1/2"" x 1/2"", Case of 5000.0 out of 5 stars."
1631519874-699,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,null
1631519874-706,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 34 Gallon Drum 3"" x 6"" x 3/8"", Case of 8000.0 out of 5 stars."
1631519874-712,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 5 Gallon Pail 3"" x 6"" x 3/8"", Case of 1500.0 out of 5 stars."
1631519874-714,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand String Sewn Desiccant Bags, 8 3/4"" x 12 1/2"" x 2 1/4"", White, Cas...0.0 out of 5 stars."
1631519874-702,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 5 Gallon Pail 3"" x 4"" x 1/4"", Case of 3000.0 out of 5 stars."
1631519874-710,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 34 Gallon Drum 5"" x 8"" x 1 1/8"", Case of 3000.0 out of 5 stars."
1631519874-704,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Partners Brand Kraft Clay Desiccants - 34 Gallon Drum 3"" x 4"" x 1/4"", Case of 1,...0.0 out of 5 stars."
1631519874-709,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Container Dri II Cargo Desiccants Strips, 10"" x 5 3/4"" x 1"", White, Case Of 720.0 out of 5 stars."
1631519874-700,https://www.officedepot.com/a/browse/silica-gel-packets/N=5+534266/,"Tyvek Clay Desiccants - 5 Gallon Pail 1"" x 2 1/2"" x 1/4"", Case of 1,2000.0 out of 5 stars."
