web-scraper-order,web-scraper-start-url,nnn
1631563617-390,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"JAM Paper® Mailing Address Labels, 3 1/3"" x 4"", Neon Yellow, Pack Of 1205.0 out of 5 stars. 2 reviews"
1631563617-117,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"Avery® Easy Peel® White Inkjet Address Labels, 8162, 1 1/3"" x 4"", Box Of 350"
1631563617-271,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"JAM Paper® Mailing Address Labels, 302725795, 2 5/8"" x 1"", Pink, Pack Of 120"
1631563617-275,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"JAM Paper® Rectangular Mailing Address Labels, 302724405, 2"" x 4"", Lime Green, P..."
1631563617-226,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"JAM Paper® Rectangular Mailing Address Labels, 2"" x 4"", Neon Green, Pack Of 1204.7 out of 5 stars. 3 reviews"
1631563617-36,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"Avery® Easy Peel® Permanent Laser Address Labels, 1"" x 4"", FSC® Certified, White...4.8 out of 5 stars. 77 reviews"
1631563617-93,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"Avery® Laser Address Labels With Sure Feed™ Technology, 45160, 1"" x 2 5/8"", Whit..."
1631563617-73,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"Avery® Easy Peel® Permanent Laser Address Labels, 1 1/3"" x 4"", FSC® Certified, W...4.9 out of 5 stars. 236 reviews"
1631563617-478,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"JAM Paper® Rectangular Mailing Address Labels, 4514940, 2"" x 4"", Red, Pack Of 12...5.0 out of 5 stars. 1 review"
1631563617-236,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"Avery® Easy Peel® Address Labels With Sure Feed™ Technology, 5161, 1"" x 4"", Whit..."
1631563617-187,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"Avery® Copier Permanent Address Labels, 5360, 1 1/2"" x 2 13/16"", White, Pack Of ..."
1631563617-90,https://www.officedepot.com/a/browse/address-labels/N=5+1159755/,"Avery® Glossy Permanent Labels, 6521, Mailing, 1"" x 2 5/8"", Clear, Pack Of 300"
