web-scraper-order,web-scraper-start-url,nnn
1631301588-1398,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-Acto Mighty Mite Small Electric Pencil Sharpnr - Desktop - 1 Hole(s) - 3.5"" He..."
1631301588-1382,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® School Pro® Electric Pencil Sharpener, Black"
1631301588-1358,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Westcott iPoint Glow Color-Changing Pencil Sharpener, 6-3/8""H x 3-3/8""W x 5-15/1...4.2 out of 5 stars. 6 reviews"
1631301588-1421,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Elmer's X-ACTO QuietPro Electric Sharpener - Black, Silver - 1 Each"
1631301588-1412,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Swingline® Optima® Electric Pencil Sharpener, Black/Orange"
1631301588-1348,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Mighty Mite® Electric Pencil Sharpener, Gray"
1631301588-1414,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,X-Acto 1700 Series Electric Pencil Sharpener
1631301588-1372,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Elmer's® CrayonPro Electric Crayon Sharpener
1631301588-1408,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Elmer's X-Acto Mighty Mite Pencil Sharpener - AC Supply Powered - Black - 1 Each
1631301588-1399,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Westcott iPoint Glow Color-Changing Pencil Sharpener, 6-3/8""H x 3-3/8""W x 5-15/1..."
1631301588-1368,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Elmer's Teacher Pro Sharpener - Black - 1 Each
1631301588-1419,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,X-ACTO® Magnum Electric Pencil Sharpener
1631301588-1393,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Office Depot® Brand Dual-Powered Pencil Sharpener, 6"", Black/Silver"
1631301588-1337,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® TeacherPro® Classroom Electric Pencil Sharpener, Blue4.6 out of 5 stars. 232 reviews"
1631301588-1422,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Helix Electric Pencil Sharpener, Silver/Black"
1631301588-1410,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Elmer's X-ACTO MightyPro Electric Sharpener - Black, Yellow - 1 Each"
1631301588-1390,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Powerhouse® Electric Pencil Sharpener, Black"
1631301588-1411,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Swingline® Speed Pro™ Electric Pencil Sharpener - Graphite, Green"
1631301588-1366,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Elmer's X-ACTO XLR Electric Pencil Sharpener - AC Supply Powered - Black - 1 Eac...
1631301588-1396,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Westcott iPoint Heavy-Duty School Sharpener - Helical - Gray, Black - 1 Each"
1631301588-1397,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Royal Power Point P10 Electric Pencil Sharpener
1631301588-1344,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Office Depot® Brand Cordless Pencil Sharpener, Black/Silver3.9 out of 5 stars. 260 reviews"
1631301588-1375,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Quiet Electric Pencil Sharpener, Black"
1631301588-1357,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-Acto Mighty Mite Small Electric Pencil Sharpnr - Desktop - 1 Hole(s) - 3.5"" He...4.5 out of 5 stars. 168 reviews"
1631301588-1340,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Mighty Mite® Electric Pencil Sharpener, Gray4.3 out of 5 stars. 475 reviews"
1631301588-1362,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® XLR™ Electric Pencil Sharpener, Putty4.7 out of 5 stars. 114 reviews"
1631301588-1418,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Elmer's Powerhouse Electric Pencil Sharpener - Black - 1 Each
1631301588-1352,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Office Depot® Brand Dual-Powered Pencil Sharpener, 6"", Black/Silver4.1 out of 5 stars. 246 reviews"
1631301588-1354,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Business Source Electric Pencil Sharpener - Helical - AC Adapter Powered - 3.9"" ...0.0 out of 5 stars."
1631301588-1374,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Heavy-Duty Electric Pencil Sharpener, Black/Green (AbilityOne 7520-01-680-7013)"
1631301588-1341,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® XLR™ Electric Pencil Sharpener, Black4.2 out of 5 stars. 148 reviews"
1631301588-1350,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Westcott iPoint Aura Electric Pencil Sharpener, 7-3/4""H x 4-1/2""W x 2-1/2""D, Ass...4.8 out of 5 stars. 23 reviews"
1631301588-1384,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-Acto® Mighty Mite Battery Pencil Sharpener, Assorted Colors"
1631301588-1404,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Mighty Pro™ Electric Pencil Sharpener, Black"
1631301588-1365,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Westcott iPoint Apple Sharpener
1631301588-1346,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Quiet Pro™ Electric Pencil Sharpener, Black4.7 out of 5 stars. 38 reviews"
1631301588-1389,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Quiet Pro™ Electric Pencil Sharpener, Black"
1631301588-1376,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Model 2000 Electric Pencil Sharpener, Silver"
1631301588-1401,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Office Depot® Brand Cordless Pencil Sharpener, Mill, Black"
1631301588-1343,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Office Depot® Brand Dual-Powered Pencil Sharpener, Assorted Colors4.5 out of 5 stars. 345 reviews"
1631301588-1388,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Office Depot® Brand Cordless Pencil Sharpener, Black/Silver"
1631301588-1360,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Office Depot® Brand Cordless Pencil Sharpener, Mill, Black4.1 out of 5 stars. 145 reviews"
1631301588-1334,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® XLR™ Electric Pencil Sharpener, Black"
1631301588-1347,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Powerhouse® Electric Pencil Sharpener, Black4.2 out of 5 stars. 224 reviews"
1631301588-1379,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Elmer's SchoolPro Electric Pencil Sharpener - Black - 1 Each
1631301588-1349,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Powerhouse® Electric Pencil Sharpener, Blue4.3 out of 5 stars. 37 reviews"
1631301588-1402,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"SKILCRAFT® SpeedPro 6-Size Electric Pencil Sharpener, Black/Green"
1631301588-1403,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® XLR™ Electric Pencil Sharpener, Putty"
1631301588-1359,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Acme United iPoint Evolution Axis 6-Hole Electric Pencil Sharpener, Silver1.0 out of 5 stars. 1 review"
1631301588-1394,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Swingline® Compact Electric Pencil Sharpener, Graphite/Green"
1631301588-1342,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Powerhouse® Electric Pencil Sharpener, Blue"
1631301588-1383,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® TeacherPro® Classroom Electric Pencil Sharpener, Blue"
1631301588-1405,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Acme United iPoint Evolution Axis Single Hole Sharpener - Desktop - 1 Hole(s) - ...
1631301588-1356,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Royal Power Point P10 Electric Pencil Sharpener3.8 out of 5 stars. 17 reviews
1631301588-1395,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Business Source Electric Pencil Sharpener - Helical - AC Adapter Powered - 3.9"" ..."
1631301588-1364,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,Acme United iPoint Evolution Axis Single Hole Sharpener - Desktop - 1 Hole(s) - ...3.6 out of 5 stars. 7 reviews
1631301588-1361,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"SKILCRAFT® SpeedPro 6-Size Electric Pencil Sharpener, Black/Green0.0 out of 5 stars."
1631301588-1363,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® Mighty Pro™ Electric Pencil Sharpener, Black4.1 out of 5 stars. 40 reviews"
1631301588-1400,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Acme United iPoint Evolution Axis 6-Hole Electric Pencil Sharpener, Silver"
1631301588-1353,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Swingline® Compact Electric Pencil Sharpener, Graphite/Green4.5 out of 5 stars. 11 reviews"
1631301588-1392,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Westcott iPoint Aura Electric Pencil Sharpener, 7-3/4""H x 4-1/2""W x 2-1/2""D, Ass..."
1631301588-1387,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Office Depot® Brand Dual-Powered Pencil Sharpener, Assorted Colors"
1631301588-1355,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"Westcott iPoint Heavy-Duty School Sharpener - Helical - Gray, Black - 1 Each4.5 out of 5 stars. 31 reviews"
1631301588-1338,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-Acto® Mighty Mite Battery Pencil Sharpener, Assorted Colors4.5 out of 5 stars. 296 reviews"
1631301588-1335,https://www.officedepot.com/a/browse/electric-and-battery-pencil-sharpeners/N=5+4494/,"X-ACTO® School Pro® Electric Pencil Sharpener, Black4.6 out of 5 stars. 641 reviews"
