web-scraper-order,web-scraper-start-url,nnn
1631563191-6,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,2583 Reviews
1631563191-940,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Office Star™ Low-Back Mesh Visitors Chair, Steel0.0 out of 5 stars."
1631563191-936,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Lorell® Millenia Pneumatic Task Chair, Removeable Arms, Blue0.0 out of 5 stars."
1631563191-700,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Flash Furniture Mesh Mid-Back Swivel Task Chair With Adjustable Arms, Black/Silv...2.8 out of 5 stars. 4 reviews"
1631563191-1290,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Boss Office Products Mesh-Back Task Chair, Black0.0 out of 5 stars."
1631563191-469,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"HON® ValuTask Mesh Task Chair, Black5.0 out of 5 stars. 1 review"
1631563191-1622,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"OFM Anti-Microbial Vinyl Multi-Shift Task Chair, Navy/Black5.0 out of 5 stars. 1 review"
1631563191-639,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Lorell® Poly Task Chair, White0.0 out of 5 stars."
1631563191-1437,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Eurostyle Round Bungie High-Back Commercial Office Chair, Black/Silver0.0 out of 5 stars."
1631563191-691,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Linon Home Decor Products Marin Fabric Mid-Back Home Office Chair, Blue/Silver5.0 out of 5 stars. 1 review"
1631563191-1825,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"basyx by HON® Nesting Stackable Chair, Black/Silver0.0 out of 5 stars."
1631563191-688,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Office Star™ Student Task Chair, Green3.0 out of 5 stars. 1 review"
1631563191-335,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Linon Home Decor Products Dallas Fabric Mid-Back Home Office Chair, Light Grey/D...0.0 out of 5 stars."
1631563191-477,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Raynor® Eurotech Apollo Mesh/Fabric Synchro Tilt Task Chair, Black3.7 out of 5 stars. 3 reviews"
1631563191-2159,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"OSP Designs Race Bonded Leather High-Back Chair, Black/Silver0.0 out of 5 stars."
1631563191-1109,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Boss Office Products Modern Mid-Back Task Chair, White/Chrome0.0 out of 5 stars."
1631563191-877,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Linon Amberg Office Chair, Antique Brown/Gray0.0 out of 5 stars."
1631563191-1336,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Flash Furniture Mesh Mid-Back Swivel Chair With Flexible Dual Lumbar Support, Bl...3.7 out of 5 stars. 3 reviews"
1631563191-1019,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Boss Contemporary Mesh Mid-Back Task Chair, Black5.0 out of 5 stars. 1 review"
1631563191-189,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Boss Office Products Mesh Task Chair, Black/Pewter"
1631563191-686,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"HON® ComforTask 5900 Series Armless Task Chair, Navy/Black4.9 out of 5 stars. 8 reviews"
1631563191-1659,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Eurostyle Dirk Faux Leather Low-Back Commercial Office Chair, Chrome/Brown0.0 out of 5 stars."
1631563191-362,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"HON® Volt® 5705 Fabric Mid-Back Stool, Black4.6 out of 5 stars. 9 reviews"
1631563191-100,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Flash Furniture Flash Fundamentals LeatherSoft Mid-Back Task Chair, Black"
1631563191-1943,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Boss Mesh Mid-Back Multipurpose Task Chair, Red/Black/Pewter3.5 out of 5 stars. 2 reviews"
1631563191-1996,https://www.officedepot.com/a/browse/task-chairs/N=5+593071/,"Bush® Business Furniture Laguna Mid-Back Leather Office Chair, Light Gray, Stand...0.0 out of 5 stars."
