web-scraper-order,web-scraper-start-url,nnn
"1631768453-1459","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Swiss Mobility Carrying Case Business Card, License - Black - Leather - 0.8"" Hei...0.0 out of 5 stars."
"1631768453-1466","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","DYMO® LabelWriter® 30374 Business/Appointment Cards, White, 2"" x 3 1/2"", Roll Of...4.4 out of 5 stars. 5 reviews"
"1631768453-1375","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Deflecto® 4-Compartment Desktop Business Card Holder4.8 out of 5 stars. 85 reviews"
"1631768453-1504","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Azar Displays L-Shaped 8-Pocket Business/Gift Card Holders, 11""H x 8-1/2""W x 3""D...0.0 out of 5 stars."
"1631768453-1392","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","deflecto Wall Mount Business Card Holder - Acrylic - 1 Each - Clear4.0 out of 5 stars. 3 reviews"
"1631768453-1446","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Lorell® Vinyl Business Card Storage Holder, 7""L, Black4.9 out of 5 stars. 8 reviews"
"1631768453-1413","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Mobile Edge I.D. Sentry Credit Card Wallet - Leather - Black5.0 out of 5 stars. 1 review"
"1631768453-1400","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","deflecto 4-Tier Business Card Holder - 3.5"" x 3.9"" x 4.1"" - Plastic - 1 Each - B...5.0 out of 5 stars. 5 reviews"
"1631768453-1475","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Rolodex® Card File Refills, Unruled, 2 1/4"" x 4"", White, Pack Of 1003.9 out of 5 stars. 86 reviews"
"1631768453-1437","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Samsonite® Vinyl Business Card Case, Holds 72, 4 1/2"" x 1 3/8"" x 7 7/8"", Black4.7 out of 5 stars. 78 reviews"
"1631768453-1497","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Mind Reader Mesh Business Card Holders, 2-13/16”H x 3-5/8”W x 3-5/8”D, Black, Se...0.0 out of 5 stars."
"1631768453-1426","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","C-Line Business Card Holders Without Tabs, 8 1/8"" x 11 1/4"", 3-Hole Punched, Pac...4.9 out of 5 stars. 29 reviews"
"1631768453-1383","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Realspace® Rose Gold Acrylic Business Card Holder4.9 out of 5 stars. 12 reviews"
"1631768453-1443","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Realspace™ Gray Business Card Holder5.0 out of 5 stars. 3 reviews"
"1631768453-1439","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Realspace® Black Faux Leather Business Card Holder4.9 out of 5 stars. 37 reviews"
"1631768453-1492","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Advantus Vertical ID/Convention Neck Pouch - Vertical - Nylon - 12 / Pack - Blac...5.0 out of 5 stars. 1 review"
"1631768453-1377","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Rolodex® Card File Refills, Ruled, 2 1/4"" x 4"", White, Pack Of 1004.4 out of 5 stars. 110 reviews"
"1631768453-1391","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Realspace® Black Faux Leather Business Card Holder4.9 out of 5 stars. 37 reviews"
"1631768453-1441","https://www.officedepot.com/a/browse/business-card-holders/N=5+1170328/","Cardinal® Business Collection Card File Binder, 11 5/8""H x 10 1/2""W x 1 3/4""D, B...3.7 out of 5 stars. 7 reviews"
