web-scraper-order,web-scraper-start-url,nnn
1631830189-19661,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite Safe-IT UV Sanitizing Charging Cart 32-Port AC Antimicrobial for Chro...
1631830189-19737,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Bretford 20 Unit Network Ready Laptop Cart - 2 Shelf - 4 Casters - Steel, Alumin...0.0 out of 5 stars."
1631830189-19673,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite Safe-IT UV Sanitizing Charging Cart 32-Port USB Antimicrobial for iPa...0.0 out of 5 stars.
1631830189-19703,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Anywhere Cart 30 Bay Pre-Wired USB-C Cart - 4 Casters - 4"" Caster Size - Metal -...0.0 out of 5 stars."
1631830189-19733,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Bretford CoreX Cart - 2 Shelf - Steel - 33.2"" Width x 25.8"" Depth x 44.5"" Height...0.0 out of 5 stars."
1631830189-19716,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Bretford 36-Unit Device Cart - Lockable Handle - 4 Casters - 5"" Caster Size - Po...5.0 out of 5 stars. 1 review"
1631830189-19725,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Anywhere Cart 32 Device Basket Smart Charging Cart - 4 Casters - 4"" Caster Size ...0.0 out of 5 stars."
1631830189-19806,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Bretford PowerSync+ Cart 40 for iPad and iPad mini - Swing Handle - 5"" Caster Si...0.0 out of 5 stars."
1631830189-19633,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite 32-Port AC Charging Cart Storage Station Chromebook Laptop Tablet - P...
1631830189-19717,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Ergotron YES36 Adjusta Charging Cart & Mobile Makerspace - 60 lb Capacity - ...
1631830189-19740,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Anywhere Cart 36 Bay Secure Charging Cart with Intelli-Sense Smart Charging Syst...0.0 out of 5 stars.
1631830189-19736,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Kensington Charge & Sync Cabinet, Universal Tablet - Black - Tabletop - Blac...0.0 out of 5 stars."
1631830189-19803,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Balt™ Odyssey 8-Shelf Laptop Charging Cart, 40""H x 53""W x 24""D, Charcoal0.0 out of 5 stars."
1631830189-19678,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite 32-Port USB Charging Storage Station for Cell Phones & Smartphone...0.0 out of 5 stars.
1631830189-19647,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Bretford PowerSync+ Cart 40 for iPad and iPad mini - Swing Handle - 5"" Caster Si..."
1631830189-19688,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Tripp Lite CSCXS36AC 36-Device AC Charging Station Cart, 230V, Schuko Plug and O...0.0 out of 5 stars."
1631830189-19718,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite 36-Port AC Charging Cart Storage Station Chromebook Laptop Tablet - R...
1631830189-19738,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Anywhere Cart AC-SLIM Charging Cart - Metal - 22"" Width x 23.8"" Depth x 43.9"" He...0.0 out of 5 stars."
1631830189-19796,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite Safe-IT UV Sanitizing Charging Cart 32-Port AC Antimicrobial for Chro...0.0 out of 5 stars.
1631830189-19790,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite 32-Port AC Charging Cart Storage Station Chromebook Laptop White - 4 ...0.0 out of 5 stars.
1631830189-19625,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite Safe-IT UV Sanitizing Charging Cart 32-Port USB Antimicrobial for iPa...
1631830189-19767,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Luxor 18-Device 2-Shelf Charging Cart, 39""H x 25""W x 16""D, Black0.0 out of 5 stars."
1631830189-19747,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Bretford Basics MDMTAB36BP 36-Unit Tablet Cart0.0 out of 5 stars.
1631830189-19648,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Luxor 16 Tablet Wall/Desk Charging Box, 14 1/2""H x 25""W x 13""D, Gray"
1631830189-19702,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite 45-Port AC Charging Cart Storage Station Chromebook Laptop Tablet Bla...0.0 out of 5 stars.
1631830189-19762,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Bretford CUBE Cart Mini Charging Cart AC for 20 Devices, Charcoal Paint - 2 Shel...0.0 out of 5 stars."
1631830189-19750,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Luxor LLTM30-B 30-Tablet Charging Cart, 36 3/4""H x 26""W x 20 1/4""D, Black0.0 out of 5 stars."
1631830189-19623,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Tripp Lite 10-Device Desktop USB Charging Station for Tablets, iPads and E-Reade..."
1631830189-19662,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,"Sauder® Barrister Lane Entryway Storage With USB, 36""H x 34-7/16""W x 16-3/4""D, S..."
1631830189-19651,https://www.officedepot.com/a/browse/charging-carts-and-stations/N=5+925792/,Tripp Lite 45-Port AC Charging Cart Storage Station Chromebook Laptop Tablet Bla...
