web-scraper-order,web-scraper-start-url,nnn
1631650122-3799,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Pringles® Original Potato Chips, 2.38 Oz"
1631650122-3809,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Doritos Reduced Fat Nacho Cheese Chips, 1 Oz, Pack Of 72"
1631650122-3850,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Way Better Sweet Potato Whole Grain Corn Tortilla Chips, 1 Oz, Pack Of 12 Bags"
1631650122-3780,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Pringles Crisps Grab 'N Go Variety Pack - Cheddar Cheese, Original, Sour Cream &..."
1631650122-3788,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Office Snax Peanut Butter Pretzel Nuggets, 44-Oz Tub"
1631650122-3803,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"HERSHEY'S Dipped Pretzels, 4.25 oz, 4 Count"
1631650122-3812,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Snyder's® Fat-Free All-Natural Mini Pretzels, 1.5 Oz, Pack Of 48"
1631650122-3848,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Quest Tortilla-Style Protein Chips Variety Pack, 1.1 Oz Bags, Pack Of 6 Bags"
1631650122-3856,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Quest Protein Chips, Chili Lime, 1.1 Oz, Pack Of 8 Bags"
1631650122-3800,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Snyder's® Reese's® Dipped & Drizzed Chocolate Pretzels, 4.25 Oz"
1631650122-3787,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Nabisco® Wheat Thins Toasted Chips, Veggie Flavor, 1.7 Oz, Box Of 60"
1631650122-3831,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Whisps Gluten-Free Cheese Crisps, Parmesan & Cheddar, 0.63 Oz, Pack Of 14 Ba..."
1631650122-3807,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Lil' Drug Store PopChips Flavored Potato Snack - Gluten-free, No Artificial Colo..."
1631650122-3805,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Andy Capp's Snack Fries, Cheddar, 0.85 Oz Bag, Box Of 72"
1631650122-3864,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"General Mills Multigrain Tortilla Chips - Fat-free, Non-GMO, Gluten-free - 1.50 ..."
1631650122-3875,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"INVENTURE FOODS TGI Fridays Cheddar/Bacon Snack Chips - Trans Fat Free, Choleste..."
1631650122-3808,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Pringles® Sour Cream & Onion Potato Chips, 2.5 Oz"
1631650122-3873,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Snyder's Mini Pretzels Tub, 40 Oz"
1631650122-3846,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Pringles&reg Sour Cream & Onion - Sour Cream, Onion - Can - 1 Serving Ca..."
1631650122-3769,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Frito-Lay® Sunchips Variety Pack, 1.5 Oz Bags, Assorted Flavors, Pack Of 30 Bags"
1631650122-3825,https://www.officedepot.com/a/browse/chips-and-pretzels/N=5+1418010/,"Stacy's Pita Chips, Naked, 1.5 Oz, Pack Of 24"
