web-scraper-order,web-scraper-start-url,nnn
1631651081-4026,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"M&M's Chocolate Candies Lovers Variety Bag - Milk Chocolate, Peanut, Peanut ...4.9 out of 5 stars. 119 reviews"
1631651081-4093,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Almond Joy, 1.61 Oz. Bar"
1631651081-4027,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Goetze's® Caramel Cream® Assortment, 24 Oz Tub3.4 out of 5 stars. 5 reviews"
1631651081-3888,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Hershey's® Nuggets, 31.5 Oz Bag4.8 out of 5 stars. 106 reviews"
1631651081-4373,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Sweet's Candy Company Taffy, Strawberries & Cream, 3-Lb Bag"
1631651081-3935,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Hershey's® All-Time Greats Snack-Size Assortment, 30 Oz, Pack Of 2 Bags4.9 out of 5 stars. 20 reviews"
1631651081-4355,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Hershey's® Milk Chocolate With Almonds Appreciation XL Bars, 4.25 Oz, Box Of 120.0 out of 5 stars."
1631651081-4177,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Twix Caramel Fun-Size Candy, 10.83 Oz Bag, Pack Of 4 Bags5.0 out of 5 stars. 165 reviews"
1631651081-4247,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"barkTHINS Dark Chocolate, Almond And Sea Salt Snacking Chocolate, 20 Oz"
1631651081-4283,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Ghirardelli® Intense Dark, Chocolate Evening Dream 60% Cacao, 3.5 Oz, Pack Of 12...4.7 out of 5 stars. 31 reviews"
1631651081-4009,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Office Snax® All Tyme Mix Candy, 32 Oz. Tub3.9 out of 5 stars. 8 reviews"
1631651081-4191,https://www.officedepot.com/a/browse/chocolate-and-caramels/N=5+1418011/,"Russell Stover Sugar-Free Mint Patties, 10 Oz, Pack Of 25.0 out of 5 stars. 1 review"
