web-scraper-order,web-scraper-start-url,nnn
"1631787348-2854","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Azar Displays Large Lateral Desk File Holders, 7-1/2""H x 9-3/4""W x 4""D, Clear, P...0.0 out of 5 stars."
"1631787348-3250","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Azar Displays 2-Sided Aisle Acrylic Sign Holders With Telescopic Grippers, 5""H x...0.0 out of 5 stars."
"1631787348-3177","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","OIC® Unbreakable Wall Files, Smoke0.0 out of 5 stars."
"1631787348-3216","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Fellowes® Literature Organizer, 36 Compartments, 34 11/16""H x 29""W x 11 7/8""D, D...2.1 out of 5 stars. 15 reviews"
"1631787348-2479","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Brenton Studio™ 58% Recycled Vertical Sorter, 8 Compartments, Granite"
"1631787348-3142","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","CEP Ice Magazine File, Ice Black4.5 out of 5 stars. 4 reviews"
"1631787348-2857","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Brenton Studio™ Incline Sorter, 6 Compartments, Clear4.5 out of 5 stars. 41 reviews"
"1631787348-2834","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Storex Stacking Letter Size Wall Pockets, 7""H x 16""W x 4""D, Smoke, Pack Of 3 Wal...1.0 out of 5 stars. 1 review"
"1631787348-2476","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Brenton Studio® Black Mesh File Holder, Letter Size"
"1631787348-3138","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Mind Reader 5-Compartment Bamboo Desk Storage Organizer, Brown5.0 out of 5 stars. 4 reviews"
"1631787348-2835","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Azar Displays U-Frame Wall-Mount Acrylic Sign Holders, 7""H x 11""W x 1/4""D, Clear...0.0 out of 5 stars."
"1631787348-3004","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","CEP Origins Collection Magazine File, Black5.0 out of 5 stars. 1 review"
"1631787348-3025","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Mind Reader 6-Piece Mesh Desk Organizer Set With Trash Can, Black5.0 out of 5 stars. 2 reviews"
"1631787348-2524","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Brenton Studio® Black Mesh File Holder, Letter Size"
"1631787348-2888","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Mind Reader 5-Tier Desktop File Sorter, 14-1/2""H x 11-1/2""W x 13-3/4""D, Pink0.0 out of 5 stars."
"1631787348-2594","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Fellowes® Literature Organizer, 24 Compartments, 23 7/16""H x 29 7/16""W x 11 7/8""...3.0 out of 5 stars. 15 reviews"
"1631787348-2928","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Fellowes® Partitions Additions™ 95% Recycled Spring Clips, Dark Graphite, Pack O...1.5 out of 5 stars. 2 reviews"
"1631787348-3151","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Kantek Partition Incline Sorter, 7 1/2""H x 7 1/2""W x 8""D, Black5.0 out of 5 stars. 4 reviews"
"1631787348-2678","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Safco® Value Sorter® Steel Corrugated Literature Organizer, 72 Compartments, Bla...2.5 out of 5 stars. 2 reviews"
"1631787348-2730","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Storex Stacking Legal Size Wall Pocket, 7""H x 16""W x 4""D, Clear0.0 out of 5 stars."
"1631787348-2974","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Honey-Can-Do Vertical File Sorter, 11 1/2""H x 12 5/8""W x 3 5/8""D, Blue5.0 out of 5 stars. 1 review"
"1631787348-3095","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Azar Displays Wall-Mounted Acrylic Poster Frame, 22""H x 17""W x 1/4""D, Clear0.0 out of 5 stars."
"1631787348-3263","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Azar Displays Double-Foot 2-Sided Acrylic Sign Holders, 8""H x 2""W x 3""D, Clear, ...0.0 out of 5 stars."
"1631787348-2534","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Realspace® Espresso Wood Letter Sorter, Brown"
"1631787348-2663","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","See Jane Work® Connecting Wall File, Letter Size, Black4.7 out of 5 stars. 61 reviews"
"1631787348-3044","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Azar Displays Adhesive Back Acrylic Nameplate Holders, 8""H x 11""W x 1/4""D, Clear...0.0 out of 5 stars."
"1631787348-3080","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Azar Displays Single-Pocket Wall Files, Magnetic Tape Mount, 7""H x 14-3/4""W x 3""...3.0 out of 5 stars. 1 review"
"1631787348-3009","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","OIC Clear Wave 2-way Desktop Organizer - 3 Compartment(s) - 3 Tier(s) - 11.3"" He...5.0 out of 5 stars. 1 review"
"1631787348-3105","https://www.officedepot.com/a/browse/file-organizers/N=5+1170334/","Azar Displays Imperial Acrylic Block Sign Holder, 3""H x 11""W x 1-1/2""D, Clear0.0 out of 5 stars."
