web-scraper-order,web-scraper-start-url,nnn
1631829985-5966,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Suite Touch King Flat Sheets, 108” x 110”, White, Pack Of 12 Sheets"
1631829985-5689,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Suite Touch King Pleated Bed Skirts, 78” x 80” x 16”, White, Pack Of ...0.0 out of 5 stars."
1631829985-5518,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Dependability Standard Pillowcases, 42” x 34”, White, Pack Of 72 Pill..."
1631829985-5615,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Crown Touch Bath Mats, 21” x 32”, Beige, Pack Of 48 Mats"
1631829985-5931,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Millennium Wash Cloths, 13"" x 13"", Redwood, Pack Of 144 Wash Cloths"
1631829985-5916,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Lotus Extra-Wide Full Flat Sheets, 87"" x 120"", White, Pack Of 24 Shee..."
1631829985-6031,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"DMI® Hospital Bed Sheet Set, 6""H x 36""W x 80""D, Blue"
1631829985-5520,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Fibertone Pool Towels, Stripes, Coral, Set Of 48 Towels"
1631829985-6142,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Premier Hand Towels, 16"" x 30"", Blue, Pack Of 120 Towels0.0 out of 5 stars."
1631829985-5845,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Suite Touch King XL Flat Sheets, 108” x 120”, White, Pack Of 12 Sheet..."
1631829985-5987,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Lotus Egyptian Cotton Bath Sheets, 35"" x 70"", White, Pack Of 24 Bath ...0.0 out of 5 stars."
1631829985-6089,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Crown Touch Bath Towels, 27” x 50”, White, Pack Of 48 Towels"
1631829985-5598,https://www.officedepot.com/a/browse/linens/N=5+1181103/,"1888 Mills Durability Cotton Washcloths, 12"" x 12"", White, Pack Of 300 Washcloth..."
