web-scraper-order,web-scraper-start-url,nnn
1631714069-1985,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place Library Hutch, Grand Walnut5.0 out of 5 stars. 2 reviews"
1631714069-1977,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place Mid-Century Executive Desk, Walnut4.2 out of 5 stars. 205 reviews"
1631714069-1983,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place Credenza, Grand Walnut3.0 out of 5 stars. 5 reviews"
1631714069-1982,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place Organizer Hutch, Grand Walnut5.0 out of 5 stars. 5 reviews"
1631714069-1979,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place Credenza For 46"" TV, Grand Walnut5.0 out of 5 stars. 1 review"
1631714069-1980,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place 29-1/2""W Lateral 2-Drawer File Cabinet, Grand Walnut2.7 out of 5 stars. 3 reviews"
1631714069-1978,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place L-Shaped Desk, Grand Walnut5.0 out of 5 stars. 1 review"
1631714069-1986,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place Storage Cabinet With Letter-Size Lateral File, Grand Waln...4.0 out of 5 stars. 2 reviews"
1631714069-1981,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place Library Base, Grand Walnut3.4 out of 5 stars. 5 reviews"
1631714069-1984,https://www.officedepot.com/a/browse/sauder-clifford-place/N=5+501588+1256912/?cm_sp=furniture-_-sauder-clifford-place-collection_modern-home-office_-_-collections_home-and-small-office-all-collections_main_12_1_0&promo_name=furniture&promo_id=furniture-sauder-clifford-place-collection-modern-home-office&promo_creative=sauder-clifford-place-collection_modern-home-office&promo_position=collections_home-and-small-office-all-collections_main_12_1_0,"Sauder® Clifford Place Hutch, Grand Walnut0.0 out of 5 stars."
