web-scraper-order,web-scraper-start-url,nnn
1631695758-201,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Mind Reader 27""W Mobile Sitting/Standing Desk, White/Black"
1631695758-175,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Sauder® Harbor View Lift-Top Desk, Salt Oak"
1631695758-299,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Arozzi Arena 63""W Moto Motorized Desk, Black"
1631695758-130,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Ameriwood™ Home Wildwood L-Shaped Desk With Lift Top, Rustic Gray4.0 out of 5 stars. 3 reviews"
1631695758-36,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Realspace® Magellan Pneumatic Height-Adjustable Standing Desk, 60"", Espresso"
1631695758-875,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"OFM Height-Adjustable Sit-To-Stand Desktop Riser With Keyboard Tray, Black4.0 out of 5 stars. 1 review"
1631695758-673,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 60 Series 48""W x 30""D Height Adjustable Standing De...0.0 out of 5 stars."
1631695758-169,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Vari Electric Standing Desk, 48""W, White"
1631695758-634,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Move 40 Series by Bush Business Furniture Height-Adjustable Standing Desk, 48"" x...0.0 out of 5 stars."
1631695758-318,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 80 Series 60""W x 30""D Height Adjustable Standing De..."
1631695758-960,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 60 Series 60""W x 30""D Height Adjustable Standing De...0.0 out of 5 stars."
1631695758-887,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Mount-It! MI-STP108 Active Ergonomic 2-Piece Office Bundle0.0 out of 5 stars.
1631695758-1069,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Uncaged Ergonomics Rise Up - Electric Adjustable Height Standing Desk - Natural ...0.0 out of 5 stars.
1631695758-853,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"FlexiSpot EM6W Motorized Sit-Stand Desk Converter, White0.0 out of 5 stars."
1631695758-766,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Tripp Lite WorkWise Sit Stand Desktop Workstation Adjustable Standing Desk w/ Cl...
1631695758-692,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"South Shore Majyta 60""W Adjustable-Height Standing Desk, Pure White0.0 out of 5 stars."
1631695758-575,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"South Shore Talie 60""W Height-Adjustable Standing Desk, Natural Walnut/Matte Bla...0.0 out of 5 stars."
1631695758-64,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"FlexiSpot AlcoveRiser Sit-To-Stand Desk Converter, 28""W, Black"
1631695758-1187,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 80 Series 72""W x 30""D Height Adjustable Standing De...0.0 out of 5 stars."
1631695758-495,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Mind Reader 39""W Mobile Sitting/Standing Desk, White2.7 out of 5 stars. 3 reviews"
1631695758-1020,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Sauder® Via Sit-Stand Desk, Classic Cherry0.0 out of 5 stars."
1631695758-91,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Realspace® Electric Height-Adjustable Standing Desk, 48"", Black4.3 out of 5 stars. 191 reviews"
1631695758-752,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Ameriwood™ Home Lincoln Multipurpose Standing Desk, White"
1631695758-1297,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Mount-It! MI-STP105 PowerUp Narrow Ergonomic 2-Piece Office Bundle0.0 out of 5 stars.
1631695758-599,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Luxor Two-Tier Pneumatic Standing Desk Converter, White0.0 out of 5 stars."
1631695758-484,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Mind Reader 30""W Rolling Couch-Side Table Desk, Brown/White0.0 out of 5 stars."
1631695758-899,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Allermuir Slide Electric Height-Adjustable Standing Desk, 29""H x 60""W x 30""D, Wa...0.0 out of 5 stars."
1631695758-727,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Luxor Crank 48""W Adjustable Stand Up Desk, Dark Walnut/Silver0.0 out of 5 stars."
1631695758-584,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Mount-It! MI-7983 Triple-Monitor Electric Standing Desk Converter, Black3.5 out of 5 stars. 2 reviews"
1631695758-867,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 60 Series 72""W x 30""D Height Adjustable Standing De...0.0 out of 5 stars."
1631695758-231,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Lorell™ XL Height-Adjustable Desk Riser, 46"" x 24"", Black"
1631695758-202,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,VersaDesk Power Pro Corner Push-Button Electric Height-Adjustable Sit-to-Stand D...
1631695758-1348,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"National Public Seating 33""W Sit Stand Teacher's Desk, Gray Nebula4.0 out of 5 stars. 1 review"
1631695758-373,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Bush Furniture Cabot 3 Position L Shaped Sit to Stand Desk with Hutch and File C...
1631695758-904,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Boss 48""W Height-Adjustable Desk, Mocha0.0 out of 5 stars."
1631695758-122,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"VariDesk ProPlus Manual Standing Desk Converter, 36”W, Black5.0 out of 5 stars. 45 reviews"
1631695758-1375,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 80 Series 48""W x 30""D Height Adjustable Standing De...0.0 out of 5 stars."
1631695758-797,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 60 Series 48""W x 24""D Height Adjustable Standing De...0.0 out of 5 stars."
1631695758-958,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Ameriwood™ Home Motley Standing Desk, Brown Oak0.0 out of 5 stars."
1631695758-1270,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 60 Series 48""W x 30""D Height Adjustable Standing De...4.0 out of 5 stars. 1 review"
1631695758-1310,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 80 Series 48""W x 24""D Height Adjustable Standing De...5.0 out of 5 stars. 1 review"
1631695758-990,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Furniture Somerset 3 Position Sit to Stand L Shaped Desk, 72""W, Ash Gray, S...0.0 out of 5 stars."
1631695758-826,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Flash Furniture HERCULES Series Sit-Stand Height-Adjustable Desk Riser With Keyb...0.0 out of 5 stars.
1631695758-1004,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Components Elite 60""W 3 Position Sit to Stand L Shaped D...0.0 out of 5 stars."
1631695758-137,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"VariDesk Cube Series Corner Standing Desk Converter, 17-1/2""H x 36""W x 33-1/2""D,..."
1631695758-651,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Furniture Somerset 72""W 3 Position Sit to Stand L Shaped Desk With Hutch An...0.0 out of 5 stars."
1631695758-561,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Bush Business Furniture Office 500 Height-Adjustable U-Shaped Executive Desk Wit...0.0 out of 5 stars.
1631695758-1230,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Components 72""W 3 Position Bow Front Sit to Stand L Shap...0.0 out of 5 stars."
1631695758-471,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Lorell™ XL Height-Adjustable Desk Riser, 46"" x 24"", Black0.0 out of 5 stars."
1631695758-1172,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Bush Furniture Cabot 3 Position L Shaped Sit to Stand Desk with Hutch and Storag...0.0 out of 5 stars.
1631695758-408,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Allermuir Slide Electric Height-Adjustable Standing Desk, 29""H x 54""W x 24""D, Wa...0.0 out of 5 stars."
1631695758-37,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Realspace® Magellan Pneumatic Height-Adjustable Standing Desk, 60"" Gray"
1631695758-775,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 80 Series 48""W x 24""D Height Adjustable Standing De..."
1631695758-1298,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Sauder® Via Sit-Stand Desk, Bourbon Oak4.0 out of 5 stars. 1 review"
1631695758-1058,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 80 Series 60""W x 30""D Height Adjustable Standing De...0.0 out of 5 stars."
1631695758-1250,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Lorell® Deluxe Sit-To-Stand Desk Riser, White0.0 out of 5 stars."
1631695758-511,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Components 72""W 3 Position Sit to Stand L Shaped Desk wi...0.0 out of 5 stars."
1631695758-1182,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Move 80 Series 48""W x 24""D Height Adjustable Standing De...0.0 out of 5 stars."
1631695758-1100,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Business Furniture Components 60""W Right Hand 3 Position Sit to Stand L Sha...0.0 out of 5 stars."
1631695758-1023,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Mind Reader 44""W Adjustable-Height Over Bed Table Desk, White0.0 out of 5 stars."
1631695758-927,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Furniture Somerset 72""W 3 Position Sit to Stand L Shaped Desk With Hutch An...5.0 out of 5 stars. 1 review"
1631695758-1097,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Furniture Cabot 3 Position L Shaped Sit to Stand Desk with Hutch, 60""W, Har...2.0 out of 5 stars. 1 review"
1631695758-464,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"FlexiSpot AlcoveRiser Sit-To-Stand Desk Converter, 35""W, Black4.9 out of 5 stars. 28 reviews"
1631695758-1372,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,Bush Business Furniture Office 500 Height-Adjustable Standing Desk With Storage ...0.0 out of 5 stars.
1631695758-81,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"VariDesk Tall 40 Standing Desk Converter, 4-3/4""H x 40""W x 28""D, Black"
1631695758-745,https://www.officedepot.com/a/browse/standing-desks/N=5%20715982/,"Bush Furniture Somerset 3 Position Sit to Stand L Shaped Desk With Hutch, 72""W, ..."
