web-scraper-order,web-scraper-start-url,nnn
1631643740-2254,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Goldmax Plastic Coffee Stir Sticks, 7"", Red Stripe, Pack Of 10,0000.0 out of 5 stars."
1631643740-2240,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Boardwalk® Single-Tube Stir Straws, 5 1/4"", Black, 1,000 Straws Per Pack, Carton...5.0 out of 5 stars. 2 reviews"
1631643740-2248,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Genuine Joe 5-1/2"" Plastic Stir Stick/Straws - 5.50"" Length - Plastic - 40000 / ...0.0 out of 5 stars."
1631643740-2255,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,Starbucks Wooden Stir Sticks - Wood - 10000 / Carton - 10 Per Pack - Tan0.0 out of 5 stars.
1631643740-2241,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Royal Paper Wood Coffee Stir Sticks, 5-1/2"", Carton Of 10,000 Sticks5.0 out of 5 stars. 2 reviews"
1631643740-2234,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Dixie® Coffee Stirrers, Box Of 1,000 Stirrers4.8 out of 5 stars. 107 reviews"
1631643740-2232,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Eco-Products Wooden Stir Sticks, 7"", Pack Of 1,000 Stir Sticks4.8 out of 5 stars. 71 reviews"
1631643740-2236,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Royal Paper Wood Coffee Stir Sticks, 5 1/2"", Box Of 1004.5 out of 5 stars. 13 reviews"
1631643740-2237,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Dixie® Stir Sticks, White/Red, Box Of 1,0004.6 out of 5 stars. 15 reviews"
1631643740-2247,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Royal Paper Products Beverage Plugs, 3"", Black, Pack Of 400 Plugs0.0 out of 5 stars."
1631643740-2250,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Parasol Bamboo Drink Umbrellas, Assorted Colors, Pack Of 14,4000.0 out of 5 stars."
1631643740-2256,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Amscan Plastic Drink Stirrers, 4-3/4"", Black, Pack Of 2,000 Stirrers0.0 out of 5 stars."
1631643740-2251,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Amscan Neon Cocktail Stirrers, 7"", Assorted Colors, Pack Of 100 Stirrers0.0 out of 5 stars."
1631643740-2245,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Johnson-Rose Corporation Wooden Muddler, 8"", Brown0.0 out of 5 stars."
1631643740-2233,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Genuine Joe Plastic Stir Sticks, White/Red, Box Of 1,000 Stir Sticks4.7 out of 5 stars. 35 reviews"
1631643740-2242,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Genuine Joe Plastic Stirrers - 5.50"" Length - Plastic, Polypropylene - 1000 / Bo...4.0 out of 5 stars. 1 review"
1631643740-2235,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,null
1631643740-2249,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Goldmax Wooden Frill Picks, 4"", Tan, Case Of 10,0000.0 out of 5 stars."
1631643740-2238,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Office Snax Breakroom Stir Sticks, White, Box Of 1,0004.7 out of 5 stars. 7 reviews"
1631643740-2243,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"ECO Products Renewable Paper-Wrapped Wooden Stir Sticks, 7"", 500 Sticks Per Pack...0.0 out of 5 stars."
1631643740-2246,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Royal Paper Products Wooden Coffee Stir Sticks, 7"", Brown, Pack of 5,000 Stir St...0.0 out of 5 stars."
1631643740-2244,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Stir Stick Plastic Stir Sticks, 5"", Red/White, Case Of 10,0000.0 out of 5 stars."
1631643740-2253,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Eco-Products 7"" Wooden Stir Sticks - 7"" Length - Wood - 10000 / Carton - Woodgra...5.0 out of 5 stars. 1 review"
1631643740-2239,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Genuine Joe Wooden Stirrers - 7"" Length - Wood - 1000 / Box - Woodgrain0.0 out of 5 stars."
1631643740-2252,https://www.officedepot.com/a/browse/stir-sticks/N=5+1154880/,"Dixie® Unwrapped Stir Straws, 5 1/2"", White, Carton Of 10,0000.0 out of 5 stars."
