web-scraper-order,web-scraper-start-url,nnn
1631827266-16239,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios Midtown Table With 4 Stacking Chairs, 30""H x 36""W x 72""D, Kensington...0.0 out of 5 stars."
1631827266-16152,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios Jive Round Pedestal Table With 4 Stacking Chairs, 29""H x 36""W x 36""D...0.0 out of 5 stars."
1631827266-16195,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios Square Bistro Pedestal Table With 4 Stacking Bar Stools, White0.0 out of 5 stars."
1631827266-16626,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Baxton Studio Alma Dining Set, 29-15/16""H x 35-7/16""W x 35-7/16""D, Gray/Dark Bro...0.0 out of 5 stars."
1631827266-16434,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios KOOL Round Pedestal Table With 4 Stacking Chairs, Studio Teak/Navy0.0 out of 5 stars."
1631827266-16786,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Midtown Bistro Table With 4 Stacking Chairs, 41""H x 36""W x 72""D, Kensington ...0.0 out of 5 stars."
1631827266-16218,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Flash Furniture Square Glass Metal Table With Rattan Edging And 2 Rattan Chairs,...5.0 out of 5 stars. 1 review"
1631827266-16787,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios Square Bistro Pedestal Table With 4 Stacking Bar Stools, Studio Teak...0.0 out of 5 stars."
1631827266-16508,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Baxton Studio Julia Dining Set, 29-15/16”H x 35-7/16”W x 35-7/16”D, Gray/Dark Br...0.0 out of 5 stars."
1631827266-16172,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios Round Bistro Pedestal Table With 4 Stacking Bar Stools, Designer Whi...0.0 out of 5 stars."
1631827266-16059,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Monarch Specialties Holly Dining Table With 2 Chairs, White"
1631827266-16247,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Lumisource Dakota Industrial Farmhouse Table With 2 Bar Stools, Black/Brown0.0 out of 5 stars."
1631827266-16385,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Flash Furniture Square Table With 4 Trapezoidal-Back Banquet Chairs, 30"" x 36"", ...0.0 out of 5 stars."
1631827266-16892,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios Midtown Table With 4 Stacking Chairs, 30""H x 36""W x 72""D, Designer W...0.0 out of 5 stars."
1631827266-16079,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios KOOL Round Pedestal Table With 4 Stacking Chairs, Studio Teak/Sky Bl..."
1631827266-16441,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"KFI Studios Midtown Table With 4 Stacking Chairs, Designer White/Sky Blue0.0 out of 5 stars."
1631827266-16196,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Baxton Studio Callie 5-Piece Dining Set, 29-15/16""H x 35-7/16""W x 35-7/16""D, Gra...0.0 out of 5 stars."
1631827266-16673,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Flash Furniture Square Aluminum Indoor-Outdoor Table with 4 Slat-Back Chairs, 27...0.0 out of 5 stars."
1631827266-16671,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,Lumisource Oregon Industrial Farmhouse Dining Table With 1 Bench And 4 Dining Ch...0.0 out of 5 stars.
1631827266-16884,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Baxton Studio Timothy Dining Set, 29-1/2”H x 39-7/16”W x 39-7/16”D, Light Gray/W..."
1631827266-16642,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Linon 3-Piece Dixon Bistro Set, Brown0.0 out of 5 stars."
1631827266-16066,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Flash Furniture Space-Saver Glass Top Bistro Set With 2 Chairs, 29-1/2""H x 19-3/..."
1631827266-16356,https://www.officedepot.com/a/browse/table-sets/N=5+573241/,"Baxton Studio Quinlan Dining Set, 29-15/16”H x 35-7/16”W x 35-7/16”D, Sand/Dark ..."
