web-scraper-order,web-scraper-start-url,nnn
1631785291-7663,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 24 Oz, Onyx"
1631785291-7645,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its® 5151 Wide Mouth Water Bottle, 34 Oz, Orange"
1631785291-7660,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Kids' Insulated Water Bottle With Straw Lid, 16 Oz, Atlantic/Sail..."
1631785291-7634,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Jumbo Javelin Thermal Water Bottle, 32 Oz, Silver"
1631785291-7605,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Pogo Insulated Stainless Steel Water Bottle, 20 Oz, Gray"
1631785291-7667,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Thermos Licensed Hydration Bottle, 12 Oz, LOL Surprise"
1631785291-7715,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 18 Oz, Midnight"
1631785291-7626,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,Thermos Hydration Bottle with Meter 24 oz - Smoke - 24 fl oz - Smoke - Copolyest...
1631785291-7607,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Pogo Insulated Stainless Steel Water Bottle, 20 Oz, Pink"
1631785291-7710,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 32 Oz, Blush"
1631785291-7686,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5155 Low-Profile Hydration Pack, 70 Oz, Hi-Vis Lime"
1631785291-7640,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Handy Solutions Silicone Travel Bottle, 1.25 Oz"
1631785291-7611,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"ZULU Torque Water Bottle, 16 Oz, Blue"
1631785291-7669,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ello Cooper Stainless-Steel Water Bottle, 22 Oz, Yucca"
1631785291-7697,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL Statement Water Bottle With Lid, 24 Oz, Philadelphia Eagles"
1631785291-7689,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its® 5156 Premium Low-Profile Hydration Pack, 101 Oz, Black"
1631785291-7658,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Insulated Water Bottle With Straw Lid, 22 Oz, Cobalt"
1631785291-7720,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 18 Oz, Blush"
1631785291-7706,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, Atlanta Falcons"
1631785291-7609,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Thermos® Licensed FUNtainer Hydration Bottle, 16 Oz, Mickey Mouse"
1631785291-7678,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5050B Bladder Replacement, 2 L, Blue"
1631785291-7676,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Tritan Water Bottles With Spout Lid, 18 Oz, Black/Royal, Pack Of 2 Bottle..."
1631785291-7675,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ello Syndicate Water Bottle, 20 Oz, Mint"
1631785291-7685,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5158 Hydration Pack Pressure Pump, Blue"
1631785291-7683,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis Water Bottle With Lid, 24 Oz, Nurses Call The Shots"
1631785291-7632,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 24 Oz, Blush"
1631785291-7625,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 32 Oz, Coral"
1631785291-7664,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Insulated Water Bottle With Straw Lid, 22 Oz, Coral"
1631785291-7644,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 24 Oz, Teal"
1631785291-7633,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Straw Reusable Water Bottle, 24 Oz, Blush"
1631785291-7646,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5152 Insulated Stainless Steel Water Bottle, 25.36 Oz, Black"
1631785291-7690,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL Statement Water Bottle With Lid, 24 Oz, Pittsburgh Steelers"
1631785291-7701,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Traveler FlipLock Bottle, 17 Oz, Bluestone"
1631785291-7709,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, Pittsburgh Steelers"
1631785291-7670,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ello Syndicate Glass Water Bottle, 20 Oz, Gray"
1631785291-7617,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"ZULU Torque Water Bottle, 16 Oz, Purple"
1631785291-7705,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5157 Premium Cargo Hydration Pack, 3 Liter, Black"
1631785291-7687,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Luster Eclipse 4-Piece Stainless-Steel Hydration Bottle Set, 23 Oz, A..."
1631785291-7629,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Traveler FlipLock Bottle, 17 Oz, Onyx"
1631785291-7636,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Traveler FlipLock Bottle, 17 Oz, Aqua"
1631785291-7641,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Traveler FlipLock Bottle, 17 Oz, Ash Rose"
1631785291-7623,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"ZULU Echo Water Bottle, 16 Oz, Gray/Green"
1631785291-7642,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5152 Insulated Stainless Steel Water Bottle, 25.36 Oz, Orange"
1631785291-7703,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Kendrick 4-Piece Stainless-Steel Travel Water Bottle Set, 10 Oz, Asso..."
1631785291-7718,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Coleman Water Jug, 2 Gallons, Blue"
1631785291-7695,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, Green Bay Packers"
1631785291-7694,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Javelin Thermal Water Bottle, 16 Oz, Blue"
1631785291-7613,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Kids' Insulated Water Bottle With Straw Lid, 16 Oz, Blush/Super P..."
1631785291-7624,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Tritan Water Bottles With Spout Lid, 24 Oz, Clear/Royal, Pack Of 2 Bottle..."
1631785291-7668,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 32 Oz, Cobalt"
1631785291-7692,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its® 5156 Premium Low-Profile Hydration Pack, 101 Oz, Hi-Vis Lime"
1631785291-7698,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 64 Oz, Onyx"
1631785291-7702,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Luster 2-Piece Stainless-Steel Thermal Hydration Bottle Set, 16.9 Oz/..."
1631785291-7666,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Samsonite® 6-Piece Travel Bottle Set, Clear"
1631785291-7721,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5159 Hydration Pack Cleaning Kit, Blue"
1631785291-7699,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Luster Javelin Thermal Travel Bottles, 16 Oz, Black/Brown/Gray, Set O..."
1631785291-7681,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, Philadelphia Eagles"
1631785291-7662,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Thermos Licensed Hydration Bottle, 12 Oz, Paw Patrol"
1631785291-7606,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Pogo Tritan Chug Water Bottles, 32 Oz, Gray/Blue, Pack Of 2 Bottles"
1631785291-7608,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Thermos® Licensed FUNtainer Hydration Bottle, 16 Oz, Princess"
1631785291-7723,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Javelin Stainless-Steel Thermal Travel Bottle, 16 Oz, Purple"
1631785291-7691,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 32 Oz, Teal"
1631785291-7643,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 32 Oz, Midnight"
1631785291-7638,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its® 5151 Wide Mouth Water Bottle, 34 Oz, Lime"
1631785291-7639,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Reusable Straw Tumbler, 24 Oz, Arctic"
1631785291-7679,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis Water Bottle With Lid, 24 Oz, Palm And Hammock"
1631785291-7637,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Reusable Straw Tumbler, 24 Oz, Onyx"
1631785291-7635,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 18 Oz, Teal"
1631785291-7630,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Traveler FlipLock Bottle, 17 Oz, Mint"
1631785291-7650,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5157 Premium Cargo Hydration Pack, 3 Liter, Hi-Vis Lime"
1631785291-7717,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL Statement Water Bottle With Lid, 24 Oz, Dallas Cowboys"
1631785291-7631,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Luster Javelin Thermal Travel Bottles, 16 Oz, Orange/Pink/Purple/Blue..."
1631785291-7677,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, Miami Dolphins"
1631785291-7648,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, Seattle Seahawks"
1631785291-7714,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,Genuine Joe High Capacity Vacuum Airpot - 3.2 quart (3 L) - Stainless Steel - St...
1631785291-7696,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL Statement Water Bottle With Lid, 24 Oz, Atlanta Falcons"
1631785291-7722,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL Statement Water Bottle With Lid, 24 Oz, Green Bay Packers"
1631785291-7682,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5155 Low-Profile Hydration Pack, 70 Oz, Hi-Vis Orange"
1631785291-7716,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Reusable Straw Tumbler, 24 Oz, Steel"
1631785291-7719,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Coleman Water Jug, 1 Gallon, Blue"
1631785291-7713,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"MABIS Rubber Water Bottle, Red"
1631785291-7684,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, Denver Broncos"
1631785291-7647,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5050M Mouthpiece Replacement, Black"
1631785291-7680,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Straw Reusable Water Bottle, 32 Oz, Blush"
1631785291-7707,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Takeya Actives Spout Reusable Water Bottle, 24 Oz, Arctic"
1631785291-7651,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its 5051B Bladder Replacement, 3 L, Blue"
1631785291-7649,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Coleman Water Jug, 1/2 Gallon, Blue"
1631785291-7700,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, New York Giants"
1631785291-7693,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, New England Patriots"
1631785291-7708,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis NFL All-Over Water Bottle With Lid, 24 Oz, Dallas Cowboys"
1631785291-7704,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Mr. Coffee Javelin Maura Stainless-Steel Thermal Bottle, 15 Oz, Rainbow"
1631785291-7652,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Tervis Water Bottle With Lid, 24 Oz, Watercolor Pineapple"
1631785291-7688,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Bunn Stainless Steel Lever-Action Airpot, 3.8-Liter Capacity"
1631785291-7711,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,iHome Aquio iBTB2 Water Bottle - 16 fl oz - Midnight - Stainless Steel
1631785291-7712,https://www.officedepot.com/a/browse/water-bottles/N=5+1211738/,"Ergodyne Chill-Its® 5151 Wide Mouth Water Bottle, 34 Oz, Black"
