web-scraper-order,web-scraper-start-url,name
"1630643978-4906","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Aerating Glass Wine Decanter"
"1630643978-4839","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Schott Zwiesel Modo White Wine Glasses - Set of 4"
"1630643978-4804","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Monique Lhuillier Celebration Linen Coasters - Set of 4"
"1630643978-5009","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Greenpoint Waxed Canvas 6-Pack Beer Cooler"
"1630643978-5023","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Bleecker Stainless Steel Straws, Set of 4"
"1630643978-4884","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Mason Stoneware Espresso Cup & Saucer - Set of 4"
"1630643978-5044","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Schott Zwiesel Prizma White Wine Glasses - Set of 6"
"1630643978-4855","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Rebecca Atwood Lemon Stoneware Mugs - Set of 4"
"1630643978-4705","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Glass Skull Double Shot Glasses - Set of 2"
"1630643978-4966","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Leila Creamer"
"1630643978-4676","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Vintage Rounded Rectangle Pivot Mirror"
"1630643978-5160","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Watercolor Heart Stoneware Mug"
"1630643978-4724","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Schott Zwiesel Classico Wine Glasses"
"1630643978-4925","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Geo Outdoor Goblets - Set of 6"
"1630643978-4764","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","RBT Electric Corkscrew with Coaster"
"1630643978-5121","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Golden Rabbit Highland Plaid Enamel Grande Mugs - Set of 4"
"1630643978-4753","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Bodum Pavina Double Walled Drinking Glasses - Set of 2"
"1630643978-4696","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Handmade Hammered Glass Liquor Decanter"
"1630643978-4941","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Great White Traditional Porcelain Mug"
"1630643978-5096","https://www.potterybarn.com/shop/dinnerware-entertaining/all-glassware/?cm_type=gnav","Wicker Stand-Up Cooler with Bottle Opener"
