web-scraper-order,web-scraper-start-url,name
"1630644991-5666","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Pick-Stitch Handcrafted Cotton/Linen Quilt & Shams"
"1630644991-5803","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Signature Home Scent Collection - Grey Moss"
"1630644991-5866","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Black Wood & Iron Handled Canisters"
"1630644991-5825","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Bamboo Edge Recycled Aluminum Napkin Holder"
"1630644991-5796","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Signature Home Scent Collection - Ocean"
"1630644991-5740","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Handmade Reclaimed Oak Cutting Boards"
"1630644991-5670","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Vintage Blacksmith Lazy Susan"
"1630644991-5692","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Olive Wood Kitchen Utensils, Set of 3"
"1630644991-5769","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Golden Rabbit Enamel Colanders - Set of 3"
"1630644991-5699","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Vintage Blacksmith Metal Wall Mug Rack - Large"
"1630644991-5878","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Chateau Acacia Wood Turkey Carving Platter"
"1630644991-5698","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Chateau Handcrafted Wood Paper Towel Holder"
"1630644991-5757","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Handcrafted Ceramic Oval Baker"
"1630644991-5858","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Yamazaki Wood Handle 2.5 Gallon Trash Can"
"1630644991-5788","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Costa Nova Pearl Rectangular Bakers"
"1630644991-5909","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Tosca Magnetic Kitchen Organization Rack"
"1630644991-5856","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Blacksmith Kitchen Shelf and Pot Holder"
"1630644991-5729","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Handcrafted Ceramic Pie Dish"
"1630644991-5872","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Golden Rabbit Solid Enamel Dutch Oven"
"1630644991-5772","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Savannah Handwoven Seagrass Collection"
"1630644991-5711","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Mason Stoneware Cream & Sugar Set"
"1630644991-5832","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Gabriella Creamer"
"1630644991-5882","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Reclaimed Wood Lid Canister"
"1630644991-5732","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Pumpkin Salt & Pepper Shakers - Set of 4"
"1630644991-5844","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Bamboo Kitchen Compost Bin"
"1630644991-5778","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Gabriella Salt & Pepper Shakers"
"1630644991-5852","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Metal Caddy"
"1630644991-5767","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Golden Rabbit Enamel Lidded Mixing Bowls - Set of 3"
"1630644991-5798","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Fountain Diffuser"
"1630644991-5867","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Casafina Fattoria Mixing Bowl - Set of 3"
"1630644991-5734","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Emma Beaded Stoneware Sugar Bowl"
"1630644991-5678","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Quinn Handcrafted Stoneware Canisters"
"1630644991-5824","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Wheaton Striped Tea Towel"
"1630644991-5908","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Union St. Elixir Restoring Sage + Vetiver Liquid Soap Set"
"1630644991-5730","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Monaco Washed Cotton Dish Towels - Set of 4"
"1630644991-5720","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","French Striped Organic Cotton Grain Sack Tea Towels - Set of 2"
"1630644991-5897","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Union St. Elixir Uplifting Rose + Ivy Liquid Soap Set"
"1630644991-5863","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","U.S. Apothecary Milk + Oatmeal Soap & Lotion Set"
"1630644991-5793","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Daily Organization System - Creamy White"
"1630644991-5664","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Farmhouse Bed"
"1630644991-5828","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Brabantia Bo Touch Trash Can - Small"
"1630644991-5899","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Golden Rabbit Sea Glass Enamel Roasting Pan"
"1630644991-5674","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Mason Stoneware Canisters"
"1630644991-5831","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","3-Tier Mesh Narrow Rolling Cart"
"1630644991-5726","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Emma Beaded Stoneware Creamer"
"1630644991-5787","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","K. Hall Milk Soap & Lotion Caddy Set"
"1630644991-5912","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Corn on the Cob Salt & Pepper Shakers"
"1630644991-5784","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Wynne Coil Handwoven Abaca Flatware Caddy"
"1630644991-5823","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Tava Handwoven Rattan Napkin Holders"
"1630644991-5904","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Golden Rabbit Swirl Enamel Roasting Pan"
"1630644991-5773","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Broom & Dust Pan Set"
"1630644991-5715","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Handcrafted White Enamel Tiered Stand"
"1630644991-5837","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Wynne Coil Handwoven Abaca Napkin Holder"
"1630644991-5791","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Beachcomber Handwoven Seagrass Basket Collection"
"1630644991-5814","https://www.potterybarn.com/shop/dinnerware-entertaining/kitchen-accessories/?cm_type=gnav","Emma Beaded Stoneware Gravy Boat"
