web-scraper-order,web-scraper-start-url,name
"1630643515-4143","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Marble Serveware Collection"
"1630643515-4353","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Glass Serving Platter on Coral Stand"
"1630643515-4417","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Greenpoint Waxed Canvas Picnic Bag, Set for 2"
"1630643515-4340","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Olive Wood Salt Cellar"
"1630643515-4208","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Mendocino Stoneware Gravy Boat"
"1630643515-4573","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Golden Rabbit Solid Enamel Oval Serving Platter"
"1630643515-4213","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Mendocino Stoneware Skinny Serving Platter"
"1630643515-4363","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Aaron Probyn Bone China Serving Bowl"
"1630643515-4336","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Chateau Handcrafted Wood Lazy Susan"
"1630643515-4449","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Harrison Stainless Steel Salt & Pepper Shakers"
"1630643515-4351","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Quinn Handcrafted Stoneware Spoon Rest"
"1630643515-4609","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Costa Nova Pearl Stoneware Serving Bowl"
"1630643515-4358","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Reclaimed Pine Wood Pizza Paddle"
"1630643515-4179","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Black Marble Rectangular Platter"
"1630643515-4523","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Reclaimed Wood Rectangle Footed Serving Board"
"1630643515-4649","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Camryn Serving Utensils"
"1630643515-4160","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Cambria Handcrafted Stoneware Oval Serving Bowl"
"1630643515-4226","https://www.potterybarn.com/shop/dinnerware-entertaining/all-serveware/?cm_type=gnav","Classic Porcelain Serving Bowl"
