web-scraper-order,web-scraper-start-url,name
"1630645709-6567","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Trenton File Organizer"
"1630645709-6572","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Malcolm 30"" Writing Desk with Drawer"
"1630645709-6618","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Marble Desk Accessories Collection"
"1630645709-6371","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Warren 32"" x 67"" Etagere Bookcase"
"1630645709-6619","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Bedford Desk Organizer"
"1630645709-6412","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Acrylic Memo Tablet with Pens"
"1630645709-6409","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Black Marble Book Ends - Set of 2"
"1630645709-6488","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Aubrey 36"" 3-Drawer Lateral File Cabinet"
"1630645709-6555","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Dillon 36"" Writing Desk with Drawer"
"1630645709-6686","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Knox Crane LED Task Lamp"
"1630645709-6376","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Vail 5-Piece Fireplace Tool Set"
"1630645709-6634","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Aubrey Whiteboard - Dutch White"
"1630645709-6625","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Open Book Display Rack"
"1630645709-6494","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Daily Organization System - Espresso"
"1630645709-6552","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Aubrey 36"" x 84"" Open Bookcase"
"1630645709-6574","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Aubrey Wall Organizer - Dutch White"
"1630645709-6334","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Belgian Flax Linen Diamond Quilt & Shams"
"1630645709-6725","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Brokers Wood & Galvanized Card Caddy"
"1630645709-6702","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Black Acrylic Desktop Accessories - Deluxe Set"
"1630645709-6661","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Payne LED USB Task Lamp"
"1630645709-6588","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Burke Leather Swivel Desk Chair"
"1630645709-6510","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Stella Petite USB Table Lamp"
"1630645709-6683","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Acrylic Memo Display"
"1630645709-6698","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Mission Essential Office Set"
"1630645709-6449","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Livingston Corner Desk with Drawers"
"1630645709-6521","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Seagrass Handcrafted Waste Basket"
"1630645709-6554","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Dolores 65"" x 31"" Cane Storage Cabinet"
"1630645709-6493","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Bedford 70"" Desk with Drawers"
"1630645709-6436","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Livingston 57"" Writing Desk with Drawers"
"1630645709-6440","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Whitney Corner Desk with Drawers"
"1630645709-6714","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Easton Forged-Iron Table Lamp"
"1630645709-6593","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Galvanized System White Board Calendar"
"1630645709-6466","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Aubrey 102.5"" x 84"" Wall Bookcase"
"1630645709-6435","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Faris Ceramic Table Lamp"
"1630645709-6550","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Dayton 36"" Writing Desk with Drawer"
"1630645709-6531","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Reed Open Floating Shelves"
"1630645709-6499","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Printer's 64"" Desk with Drawers"
"1630645709-6544","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Trenton Tiered Shelf"
"1630645709-6330","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Banks Extending Dining Table"
"1630645709-6345","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Sabina Leather Desk Chair"
"1630645709-6540","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Mateo 33"" Rustic Desk with Drawer"
"1630645709-6462","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Livingston 48.5"" x 73.5"" Glass Cabinet"
"1630645709-6580","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Trenton Corkboard"
"1630645709-6442","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Aubrey 36"" x 84"" Wide Bookcase with Doors"
"1630645709-6666","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Create Pegboard Organization System"
"1630645709-6549","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Acrylic & Matte Black Modular Wall Organization Collection"
"1630645709-6501","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Livingston 35"" Glass Door Cabinet"
"1630645709-6517","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Wade 34.5"" Charging Console Table"
"1630645709-6537","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Mateo Floating Shelves"
"1630645709-6582","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Burke Upholstered Swivel Desk Chair"
"1630645709-6445","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Logan 62"" Desk with Drawers"
"1630645709-6336","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Farmhouse Bed"
"1630645709-6465","https://www.potterybarn.com/shop/organization/home-office-solutions/?cm_type=gnav","Graham 60"" Desk with Drawers"
