web-scraper-order,web-scraper-start-url,name
"1630646631-8087","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Saddle Leather Toiletry Case"
"1630646631-8092","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Pretty Useful Eyebrow Kit"
"1630646631-8034","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Mark & Graham Commute Clutch"
"1630646631-7983","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","The Prepster Backpack"
"1630646631-7952","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Big Sur Square Arm Upholstered Sofa Double Wide Chaise Sectional"
"1630646631-7997","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Quinton Duffle Bag"
"1630646631-7992","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Quinton Garment Bag"
"1630646631-8054","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Mini Golf Club Bag"
"1630646631-8068","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","High Performance Tool Kit Bucket Bag - Black"
"1630646631-8044","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Ryland Duffle Bag"
"1630646631-7978","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","BookBook Hardback Leather Case for Kindle Paperwhite"
"1630646631-8060","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Bric's Bellagio Trunk"
"1630646631-8083","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Personalized Reese Tech Portfolio Collection - Merlot"
"1630646631-8061","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Max Black/Gray Toiletry Bag"
"1630646631-8039","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Jute And Canvas Market Bag"
"1630646631-8081","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Travel Cord Roll"
"1630646631-7995","https://www.potterybarn.com/shop/organization/all-luggage-travel-bags/?cm_type=gnav","Navy Anchor Beverage Bucket Bag"
