web-scraper-order,web-scraper-start-url,name
"1630596829-5888","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Davey Cast Stone Round Accent Stool"
"1630596829-5510","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Abbott Indoor/Outdoor 96"" Concrete & FSC® Acacia Chunky Leg Dining Table"
"1630596829-5697","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Burton 36"" Cast Stone Round Pedestal Dining Table"
"1630596829-5968","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Build Your Own - Cammeray All-Weather Wicker Patio Sectional Components, Black"
"1630596829-5707","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Reyes 47"" Teak Round Dining Table"
"1630596829-5822","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Cammeray All-Weather Wicker U-Shaped 8-Piece Patio Sectional, Gray"
"1630596829-5273","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Torrey All-Weather Wicker Square Arm 110"" XL Sofa"
"1630596829-5452","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Cammeray All-Weather Wicker Patio Lounge Chair, Black"
"1630596829-5945","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Tropez Faux Teak Swivel Rock Dining Chair, Shadow"
"1630596829-5750","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Huntington All-Weather Wicker 6-Piece Slope Arm Sectional"
"1630596829-5710","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Torrey All-Weather Wicker 5-Piece Roll Arm Sectional, Espresso"
"1630596829-5952","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Indio FSC® Eucalyptus Banquette"
"1630596829-5428","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Cammeray All-Weather Wicker 75"" Sofa, Black"
"1630596829-5837","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Abbott Rectangle Fire Table Lid"
"1630596829-5751","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Malibu Metal & All-Weather Wicker Stacking Dining Chair, Black"
"1630596829-5339","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Malibu 77"" Metal Sofa, Black"
"1630596829-5711","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Yvonne Metal Chaise Lounge"
"1630596829-5424","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Abbott Indoor/Outdoor Concrete & FSC® Acacia Side Table, Brown"
"1630596829-5264","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Torrey All-Weather Wicker Papasan Swivel Chair"
"1630596829-5749","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Malibu 48"" Metal Coffee Table, White"
"1630596829-5950","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","10' Rectangular Outdoor Umbrella – FSC® Eucalyptus Frame​, More Finishes Available"
"1630596829-5305","https://www.potterybarn.com/shop/outdoor/view-all-outdoor-furniture/?cm_type=gnav","Torrey All-Weather Wicker 4-Piece Square Arm Sectional"
